Strain_ID,Alias,Platform,Sequenced_By,BioProject,BioSample,SRA,RefSeq,Genbank,Assembly_Name
B-17/2013,Gr-39,ONT MinION; Illumina iSeq,External,PRJNA739533,SAMN19791464,,GCF_019134655.1,GCA_019134655.1,ASM1913465v1
PAli,,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN03269135,SRS807376,GCF_002151465.1,GCA_002151465.1,ASM215146v1
PAbe,,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN03269134,SRS805762,GCF_002151485.1,GCA_002151485.1,ASM215148v1
B31_NRZ,,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN06324250,SRS1972498,GCF_002151505.1,GCA_002151505.1,ASM215150v1
B408,,PacBio Sequel,External,PRJNA820963,SAMN27029187,,GCF_024662155.1,GCA_024662155.1,ASM2466215v1
B379,,PacBio Sequel,External,PRJNA820963,SAMN27029186,,GCF_024662175.1,GCA_024662175.1,ASM2466217v1
B31-5A4,,PacBio Sequel,External,PRJNA820963,SAMN27029185,,GCF_024662195.1,GCA_024662195.1,ASM2466219v1
MM1,,PacBio,External,PRJNA397229,SAMN07452586,,GCF_003367295.1,GCA_003367295.1,ASM336729v1
GMT-0122,,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233980,,GCF_040790715.1,GCA_040790715.1,ASM4079071v1
Bb16-183,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233985,,GCF_040790735.1,GCA_040790735.1,ASM4079073v1
Bb16-150,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233984,,GCF_040790745.1,GCA_040790745.1,ASM4079074v1
Bb16-134,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233983,,GCF_040790755.1,GCA_040790755.1,ASM4079075v1
Bb16-23-2,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233982,,GCF_040790765.1,GCA_040790765.1,ASM4079076v1
P1286,,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233978,,GCF_040790775.1,GCA_040790775.1,ASM4079077v1
