Strain_ID,Alias,Platform,Sequenced_By,BioProject,BioSample,SRA,RefSeq,Genbank,Assembly_Name
B-17/2013,Gr-39,ONT MinION; Illumina iSeq,External,PRJNA739533,SAMN19791464,a,GCF_019134655.1,GCA_019134655.1,ASM1913465v1
PAli,,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN03269135,SRS807376,GCF_002151465.1,GCA_002151465.1,ASM215146v1
PAbe,,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN03269134,SRS805762,GCF_002151485.1,GCA_002151485.1,ASM215148v1
B31_NRZ,,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN06324250,SRS1972498,GCF_002151505.1,GCA_002151505.1,ASM215150v1
B408,,PacBio Sequel,External,PRJNA820963,SAMN27029187,a,GCF_024662155.1,GCA_024662155.1,ASM2466215v1
B379,,PacBio Sequel,External,PRJNA820963,SAMN27029186,a,GCF_024662175.1,GCA_024662175.1,ASM2466217v1
B31-5A4,,PacBio Sequel,External,PRJNA820963,SAMN27029185,a,GCF_024662195.1,GCA_024662195.1,ASM2466219v1
MM1,,PacBio,External,PRJNA397229,SAMN07452586,a,GCF_003367295.1,GCA_003367295.1,ASM336729v1
GMT-0122,,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233980,a,GCF_040790715.1,GCA_040790715.1,ASM4079071v1
Bb16-183,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233985,a,GCF_040790735.1,GCA_040790735.1,ASM4079073v1
Bb16-150,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233984,a,GCF_040790745.1,GCA_040790745.1,ASM4079074v1
Bb16-134,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233983,a,GCF_040790755.1,GCA_040790755.1,ASM4079075v1
Bb16-23-2,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233982,a,GCF_040790765.1,GCA_040790765.1,ASM4079076v1
P1286,,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233978,a,GCF_040790775.1,GCA_040790775.1,ASM4079077v1
Bb16-15-2,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233981,a,GCF_040790785.1,GCA_040790785.1,ASM4079078v1
297,,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233979,a,GCF_040790795.1,GCA_040790795.1,ASM4079079v1
B31,,PacBio RSII; Illumina MiSeq,External,PRJNA1130942,SAMN42233977,a,GCF_040790805.1,GCA_040790805.1,ASM4079080v1
UNY167P,B331P,PacBio RSII,Internal,PRJNA342676,SAMN05763278,SRR35050639,GCF_002442595.2,GCA_002442595.2,ASM244259v2
UNY186P,B418P,PacBio RSII,Internal,PRJNA548188,SAMN50685797,SRR35049690,c,c,c
UNY196P,B500P,PacBio RSII,Internal,PRJNA342676,SAMN18927101,SRR35050638,GCF_019464575.1,GCA_019464575.1,ASM1946457v1
ESI26H,EU57_B190413,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670685,SRR35038857,c,c,c
ESI361H,EU51_B192411,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670488,SRR35038858,c,c,c
ESI403H,EU14_B89613,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670498,SRR35038859,c,c,c
ESI425H,L113H,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50671110,SRR35038856,c,c,c
PFhe_I_PB_Ill_cons,PFhe_I,PacBio RSII; Illumina MiSeq,External,PRJNA270494,SAMN03269138,a,GCF_040819585.1,GCA_040819585.1,PFhe_I_PB_Ill_cons
UCT109H,K69,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009644,SRS5039840,c,c,c
UCT110H,K70,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009645,SRS5039838,c,c,c
UCT113H,K76,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009651,SRS5039852,c,c,c
UCT124H,K90,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009665,SRS5039847,c,c,c
UCT29H,K1,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009576,SRS5039819,c,c,c
UCT30H,K11,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009586,SRS5039824,c,c,c
UCT31H,K10,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009585,SRS5039823,c,c,c
UCT32H,K15,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009590,SRS5039831,c,c,c
UCT35H,K24,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009599,SRS5039828,c,c,c
UCT50H,K21,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009596,SRS5039836,c,c,c
UCT92H,K72,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009647,SRS5039843,c,c,c
UCT96H,K84,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009659,SRS5039850,c,c,c
UNY1032P,BL206,PacBio RSII,Internal,PRJNA548188,SAMN50671267,SRR35049689,c,c,c
UNY1038P,BL224,PacBio RSII,Internal,PRJNA548188,SAMN50671268,SRR35049680,c,c,c
UNY1083P,BL515,PacBio RSII,Internal,PRJNA548188,SAMN50671269,SRR35049679,c,c,c
UNY1085P,BL522P,PacBio RSII,Internal,PRJNA548188,SAMN50671270,SRR35049678,c,c,c
UNY1090P,BL546P,PacBio RSII,Internal,PRJNA548188,SAMN50671271,SRR35049677,c,c,c
UNY1128P,MR614,PacBio RSII,Internal,PRJNA548188,SAMN50671272,SRR35049676,c,c,c
UNY149P,B247,PacBio RSII,Internal,PRJNA548188,SAMN50671273,SRR35049675,c,c,c
UNY169P,B348,PacBio RSII,Internal,PRJNA548188,SAMN50671274,SRR35049674,c,c,c
UNY172P,B356,PacBio RSII,Internal,PRJNA548188,SAMN50671275,SRR35049673,c,c,c
UNY193P,B477,PacBio RSII,Internal,PRJNA548188,SAMN50671276,SRR35049688,c,c,c
UNY203P,MR616,PacBio RSII,Internal,PRJNA548188,SAMN50671277,SRR35049687,c,c,c
UNY208P,MR641,PacBio RSII,Internal,PRJNA548188,SAMN50671278,SRR35049686,c,c,c
UNY990P,B483P,PacBio RSII,Internal,PRJNA548188,SAMN50671279,SRR35049685,c,c,c
URI101H,K57,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009632,SRS5039856,c,c,c
URI102H,K58,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009633,SRS5039825,c,c,c
