#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	144282	144470	-	AIIKEN_00141	7.3	9.3		SO:0001217, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
contig_1	157593	157976	+	AIIKEN_00152	14.8	10.2		SO:0001217, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
contig_1	272235	273239	-	AIIKEN_00259	38.8	4.3		RefSeq:WP_024705689.1, SO:0001217, UniParc:UPI0004225316, UniRef:UniRef100_UPI0004225316, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
contig_1	368059	368484	+	AIIKEN_00354	16.5	9.7		SO:0001217, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
contig_1	416296	416712	+	AIIKEN_00399	16.2	10.4		RefSeq:WP_217820978.1, SO:0001217, UniParc:UPI001C38E256, UniRef:UniRef100_UPI001C38E256, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
contig_2	14109	15602	-	AIIKEN_00427	59.3	6.0		SO:0001217, UniRef:UniRef50_D6RY37
contig_2	94684	95052	+	AIIKEN_00496	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
contig_2	112515	112829	-	AIIKEN_00511	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
contig_2	140110	140406	+	AIIKEN_00531	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
contig_2	189051	189593	+	AIIKEN_00581	21.1	9.9		RefSeq:WP_210375934.1, SO:0001217, UniParc:UPI001AEF7735, UniRef:UniRef100_UPI001AEF7735, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
contig_2	242258	243532	+	AIIKEN_00632	48.5	4.6		SO:0001217, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
contig_2	264786	265220	-	AIIKEN_00656	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
contig_2	340774	341112	-	AIIKEN_00719	12.1	9.6		
contig_3	14408	14830	+	AIIKEN_00736	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
contig_4	8629	8802	-	AIIKEN_00849	6.7	9.4		RefSeq:WP_010890345.1, SO:0001217, UniParc:UPI00000568C0, UniRef:UniRef100_O50838, UniRef:UniRef50_O50838, UniRef:UniRef90_O50838
contig_4	8963	9184	-	AIIKEN_00850	8.9	9.5		SO:0001217, UniParc:UPI00000568BF, UniRef:UniRef100_O50837, UniRef:UniRef50_O50837, UniRef:UniRef90_O50837
contig_4	12357	12461	-	AIIKEN_00852	4.3	8.0		
contig_4	22792	23178	-	AIIKEN_00864	14.5	9.1		RefSeq:WP_012686343.1, SO:0001217, UniParc:UPI00016B364B, UniRef:UniRef100_UPI00016B364B, UniRef:UniRef50_UPI00016B364B, UniRef:UniRef90_UPI00016B364B
contig_4	24177	24452	-	AIIKEN_00865	10.7	6.1		RefSeq:WP_010258413.1, SO:0001217, UniParc:UPI00016B3647, UniRef:UniRef100_O50813, UniRef:UniRef50_O50813, UniRef:UniRef90_O50813
contig_4	29377	29937	+	AIIKEN_00870	22.5	9.1		
contig_4	30050	30406	+	AIIKEN_00871	14.4	9.6		SO:0001217, UniRef:UniRef50_Q44728
