#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
NZ_CP161126.1	144356	144544	-	MDGKNB_00141	7.3	9.3		SO:0001217, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
NZ_CP161126.1	157617	158051	+	MDGKNB_00152	16.9	10.1		RefSeq:WP_002556754.1, SO:0001217, UniParc:UPI00016B2B02, UniRef:UniRef100_A0A0H3C1D3, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
NZ_CP161126.1	272310	273323	-	MDGKNB_00259	39.1	4.3		RefSeq:WP_002661829.1, SO:0001217, UniParc:UPI00016C43D1, UniRef:UniRef100_UPI00016C43D1, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
NZ_CP161126.1	368143	368568	+	MDGKNB_00354	16.5	9.8		SO:0001217, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
NZ_CP161126.1	416380	416796	+	MDGKNB_00400	16.3	10.4		RefSeq:WP_002556999.1, SO:0001217, UniParc:UPI000005747C, UniRef:UniRef100_O51365, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
NZ_CP161126.1	534870	535292	-	MDGKNB_00523	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
NZ_CP161126.1	563826	565319	-	MDGKNB_00552	59.2	5.8		RefSeq:WP_002661448.1, SO:0001217, UniParc:UPI00016C3EEF, UniRef:UniRef100_UPI00016C3EEF, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
NZ_CP161126.1	644407	644775	+	MDGKNB_00621	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
NZ_CP161126.1	662237	662551	-	MDGKNB_00636	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
NZ_CP161126.1	689829	690125	+	MDGKNB_00656	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
NZ_CP161126.1	738775	739314	+	MDGKNB_00706	21.1	9.9		RefSeq:WP_002656268.1, SO:0001217, UniParc:UPI00000575A2, UniRef:UniRef100_O51644, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
NZ_CP161126.1	791944	793218	+	MDGKNB_00757	48.5	4.5		RefSeq:WP_002661569.1, SO:0001217, UniParc:UPI00016C4D28, UniRef:UniRef100_UPI00016C4D28, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
NZ_CP161126.1	814489	814923	-	MDGKNB_00781	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
NZ_CP161126.1	906798	907055	+	MDGKNB_00853	10.4	9.0		SO:0001217, UniRef:UniRef50_A0A7U8EX85, UniRef:UniRef90_A0A7U8EX85
NZ_CP161126.1	909274	909603	-	MDGKNB_00857	13.1	9.9		RefSeq:WP_106011532.1, SO:0001217, UniParc:UPI000D038282, UniRef:UniRef100_UPI000D038282, UniRef:UniRef50_UPI000D038282, UniRef:UniRef90_UPI000D038282
NZ_CP161131.1	23744	23848	+	MDGKNB_01005	3.8	4.3		SO:0001217, UniRef:UniRef50_G0ANK8, UniRef:UniRef90_G0ANK8
NZ_CP161129.1	27837	28364	+	MDGKNB_01093	20.7	9.0		RefSeq:WP_075552646.1, SO:0001217, UniParc:UPI00094A3F9A, UniRef:UniRef100_A0A1L6VUV3, UniRef:UniRef90_A0A0H3C0R6
NZ_CP161143.1	5883	6047	-	MDGKNB_01145	6.3	8.6		
NZ_CP161142.1	5941	6039	+	MDGKNB_01153	3.9	9.1		
NZ_CP161142.1	6291	6974	+	MDGKNB_01154	26.6	9.3		RefSeq:WP_106011586.1, SO:0001217, UniParc:UPI000D03AD59, UniRef:UniRef100_UPI000D03AD59, UniRef:UniRef50_C0R8X6, UniRef:UniRef90_UPI000D03AD59
NZ_CP161140.1	156	470	-	MDGKNB_01164	11.9	8.5	PF03796.19|DnaB_C	PFAM:PF03796.19
NZ_CP161135.1	13966	14085	-	MDGKNB_01189	4.4	4.6		SO:0001217, UniRef:UniRef50_A0A0H3C151, UniRef:UniRef90_A0A0H3C151
