Assembly	UCT29H
# misassemblies	19
  # contig misassemblies	19
    # c. relocations	3
    # c. translocations	14
    # c. inversions	2
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	12
Misassembled contigs length	395586
# local misassemblies	11
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	3448
# indels	436
    # indels (<= 5 bp)	377
    # indels (> 5 bp)	59
Indels length	3463
