group	reason
group_722	no_BB_mapping_for_BB_RS02715
group_681	no_blast_hit
group_439	no_blast_hit
group_651	no_blast_hit
group_702	no_blast_hit
group_462	no_blast_hit
group_734	no_blast_hit
group_511	no_blast_hit
group_203	no_BB_mapping_for_BB_RS04670
group_121	no_BB_mapping_for_BB_RS04670
group_852	no_blast_hit
group_179	no_blast_hit
group_663	no_BB_mapping_for_BB_RS04425
group_14	no_BB_mapping_for_BB_RS04910
group_746	no_BB_mapping_for_BB_RS04910
group_648	no_blast_hit
group_122	no_BB_mapping_for_BB_RS04670
group_479	no_blast_hit
group_604	no_blast_hit
group_374	no_BB_mapping_for_BB_RS07780
group_369	no_blast_hit
group_531	no_BB_mapping_for_BB_RS07805
group_619	no_blast_hit
group_861	no_blast_hit
group_402	no_BB_mapping_for_BB_RS07920
group_832	no_BB_mapping_for_BB_RS07955
group_677	no_BB_mapping_for_BB_RS04340
group_389	no_BB_mapping_for_BB_RS04475
group_484	no_blast_hit
group_261	no_BB_mapping_for_BB_RS05830
group_672	no_BB_mapping_for_BB_RS07885
group_665	no_BB_mapping_for_BB_RS05770
group_131	no_BB_mapping_for_BB_RS06255
group_486	no_blast_hit
group_607	no_BB_mapping_for_BB_RS07930
group_660	no_blast_hit
group_562	no_BB_mapping_for_BB_RS05810
group_643	no_blast_hit
group_683	no_BB_mapping_for_BB_RS06255
group_697	no_BB_mapping_for_BB_RS07960
group_647	no_BB_mapping_for_BB_RS07695
group_650	no_BB_mapping_for_BB_RS07900
group_611	no_BB_mapping_for_BB_RS05820
group_152	no_BB_mapping_for_BB_RS05810
group_35	no_blast_hit
group_225	no_blast_hit
group_592	no_blast_hit
group_691	no_blast_hit
group_102	no_blast_hit
group_762	no_BB_mapping_for_BB_RS05020
group_193	no_blast_hit
group_87	no_blast_hit
group_869	no_blast_hit
aac3Ia	no_blast_hit
aph3Ia	no_blast_hit
group_693	no_blast_hit
group_610	no_BB_mapping_for_BB_RS07930
dcm	no_blast_hit
group_317	no_blast_hit
group_813	no_BB_mapping_for_BB_RS07955
group_686	no_BB_mapping_for_BB_RS04820
group_675	no_BB_mapping_for_BB_RS04830
group_363	no_BB_mapping_for_BB_RS05795
group_713	no_blast_hit
group_506	no_blast_hit
group_169	no_blast_hit
group_526	no_blast_hit
group_760	no_blast_hit
group_541	no_BB_mapping_for_BB_RS04495
group_94	no_BB_mapping_for_BB_RS07930
group_252	no_blast_hit
tnpA	no_blast_hit
group_543	no_blast_hit
group_735	no_blast_hit
group_350	no_blast_hit
group_149	no_blast_hit
group_703	no_blast_hit
group_170	no_blast_hit
