contig_id	assembly_id	contig_len	plasmid_id_pf32	plasmid_name_pf32	strain_pf32	query_length_pf32	ref_length_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	ref_covered_length_pf32	covered_intervals_pf32	query_intervals_pf32	subject_hit_coords_pf32	concat_call_pf32	multiple_loci_pf32	plasmid_id_wp	plasmid_name_wp	strain_wp	query_length_wp	ref_length_wp	overall_percent_identity_wp	query_coverage_percent_wp	query_covered_length_wp	ref_covered_length_wp	covered_intervals_wp	query_intervals_wp	subject_hit_coords_wp	_score_wp	final_call
NZ_CP094579.1 Borreliella burgdorferi strain B379 chromosome 1	GCF_024662175.1_ASM2466217v1_genomic	920773	B379_chromosome_ParA_2	chromosome	B379	920773	380	100.0	0.11913902775168256	1097	365	[(1, 366)]	[(368230, 369327)]	[(1, 366)]		False	gb|CP094579.1|	chromosome	B379	920773	920773	99.49253760808622	99.99989139559912	920772	920772	[(1, 920773)]	[(1, 920773)]	[(1, 920773), (906315, 916546), (906441, 916672), (906312, 916609), (906375, 916672), (906315, 916483), (906502, 916672), (906315, 916420), (906565, 916672), (906315, 916357)]	9949.242955481184	chromosome
NZ_CP094580.1 Borreliella burgdorferi strain B379 plasmid p26, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	26515	JD1_cp26_ParA_1	cp26	JD1	26515	253	100.0	2.7531585894776542	730	242	[(206, 253), (1, 196)]	[(9273, 9860), (9889, 10032)]	[(1, 196), (206, 253)]	cp26*	True	gb|CP094580.1|	cp26	B379	26515	26515	98.24711561505015	99.99622854987743	26514	26514	[(1, 26515)]	[(1, 26515)]	[(1, 26515), (17972, 19311), (19439, 20776)]	9824.341027408786	cp26*
NZ_CP094581.1 Borreliella burgdorferi strain B379 plasmid p32-11, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	30287	RS00880_JD1_JD1_cp32-11_ParA_X	cp32-11	RS00880	30287	252	100.0	2.492818701092878	755	251	[(1, 252)]	[(20914, 21669)]	[(1, 252)]		False	gb|CP094581.1|	cp32-11	B379	30287	30287	100.0	99.99669825337604	30286	30286	[(1, 30287)]	[(1, 30287)]	[(1, 30287)]	9999.669825337603	cp32-11
NZ_CP094582.1 Borreliella burgdorferi strain B379 plasmid p32-12, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	30796	297_cp32-12_ParA_X	cp32-12	297	30796	260	100.0	2.5295492921158593	779	259	[(1, 260)]	[(20742, 21521)]	[(1, 260)]		False	gb|CP094582.1|	cp32-12	B379	30796	30796	99.8470655706366	99.99675282504221	30795	30795	[(1, 30796)]	[(1, 30796)]	[(1, 30796), (22328, 22618), (22382, 22671)]	9984.38233617273	cp32-12
NZ_CP094583.1 Borreliella burgdorferi strain B379 plasmid p32-2, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	30302	B379_cp32-2_ParA_1	cp32-2	B379	30302	251	100.0	2.4816843772688273	752	250	[(1, 251)]	[(21184, 21936)]	[(1, 251)]		False	gb|CP094583.1|	cp32-2	B379	30302	30302	100.0	99.99669988779618	30301	30301	[(1, 30302)]	[(1, 30302)]	[(1, 30302)]	9999.669988779619	cp32-2
NZ_CP094584.1 Borreliella burgdorferi strain B379 plasmid p32-3, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	30263	S35_B31_cp32-3_ParA_X	cp32-3	S35	30263	246	100.0	2.435317053828107	737	245	[(1, 246)]	[(21421, 22158)]	[(1, 246)]		False	gb|CP094584.1|	cp32-3	B379	30263	30263	100.0	99.99669563493376	30262	30262	[(1, 30263)]	[(1, 30263)]	[(1, 30263)]	9999.669563493375	cp32-3
NZ_CP094585.1 Borreliella burgdorferi strain B379 plasmid p32-5, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	30637	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	30637	257	100.0	2.5133009106635766	770	256	[(1, 257)]	[(20753, 21523)]	[(1, 257)]		False	gb|CP094585.1|	cp32-5	B379	30637	30637	100.0	99.9967359728433	30636	30636	[(1, 30637)]	[(1, 30637)]	[(1, 30637)]	9999.673597284329	cp32-1+5
NZ_CP094586.1 Borreliella burgdorferi strain B379 plasmid p32-6, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	30642	RS01520_MM1_plsm_cp32-6_ParA_X	cp32-6	RS01520	30642	249	100.0	2.43456693427322	746	248	[(1, 249)]	[(20917, 21663)]	[(1, 249)]		False	gb|CP094586.1|	cp32-6	B379	30642	30642	100.0	99.99673650545003	30641	30641	[(1, 30642)]	[(1, 30642)]	[(1, 30642)]	9999.673650545003	cp32-6
NZ_CP094587.1 Borreliella burgdorferi strain B379 plasmid p32-7, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	21166	O32_B31_cp32-7_ParA_X	cp32-7	O32	21166	249	100.0	3.5245204573372386	746	248	[(1, 249)]	[(12211, 12957)]	[(1, 249)]		False	gb|CP094587.1|	cp32-7	B379	21166	21166	100.0	99.9952754417462	21165	21165	[(1, 21166)]	[(1, 21166)]	[(1, 21166)]	9999.52754417462	cp32-7
NZ_CP094588.1 Borreliella burgdorferi strain B379 plasmid p32-9, complete sequence	GCF_024662175.1_ASM2466217v1_genomic	21173	RS01730_MM1_plsm_cp32-9_ParA_X	cp32-9	RS01730	21173	251	100.0	3.5091862277428802	743	247	[(1, 248)]	[(12597, 13340)]	[(1, 248)]		False	gb|CP094588.1|	cp32-9	B379	21173	21173	100.0	99.99527700373116	21172	21172	[(1, 21173)]	[(1, 21173)]	[(1, 21173)]	9999.527700373115	cp32-9
