contig_id	assembly_id	contig_len	plasmid_id_pf32	plasmid_name_pf32	strain_pf32	query_length_pf32	ref_length_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	ref_covered_length_pf32	covered_intervals_pf32	query_intervals_pf32	subject_hit_coords_pf32	concat_call_pf32	multiple_loci_pf32	plasmid_id_wp	plasmid_name_wp	strain_wp	query_length_wp	ref_length_wp	overall_percent_identity_wp	query_coverage_percent_wp	query_covered_length_wp	ref_covered_length_wp	covered_intervals_wp	query_intervals_wp	subject_hit_coords_wp	_score_wp	final_call
contig_1 [gcode=11] [topology=linear]	URI107H	910570	NE_5261_chromosome_ParA_2	chromosome	NE_5261	910570	380	100.0	0.12047398882018956	1097	365	[(1, 366)]	[(368726, 369823)]	[(1, 366)]		False	gb|CP124084.1|	chromosome	Am388	910570.0	910563	99.97731124092314	99.99989017867928	910569	910560	[(1, 910561)]	[(1, 910570)]	[(1, 910561), (434993, 438186), (438240, 441431), (213192, 213999), (213354, 214160), (213192, 213838), (213516, 214161), (213192, 213676), (213678, 214161), (213192, 213514)]	9997.720144451952	chromosome
contig_10 [gcode=11] [topology=linear]	URI107H	30299	RS01165_B31_NRZ_p_cp32-4_ParA_X	cp32-4	RS01165	30299	251	100.0	2.4819300967028615	752	250	[(1, 251)]	[(14683, 15435)]	[(1, 251)]		False	gb|CP019848.1|	cp32-4	PAli	30299.0	30299	99.99009868312486	99.99339912208323	30297	30297	[(5927, 30299), (1, 5926)]	[(24374, 30299), (1, 24373)]	[(5927, 30299), (1, 5926)]	9998.349845878192	cp32-4
contig_11 [gcode=11] [topology=linear]	URI107H	30231	S35_B31_cp32-3_ParA_X	cp32-3	S35	30231	246	100.0	2.4378948761205383	737	245	[(1, 246)]	[(25558, 26295)]	[(1, 246)]		False	gb|CP019847.1|	cp32-3	PAli	30231.0	30418	99.83793080637693	99.99669213721015	30230	30222	[(17321, 30224), (1, 17320)]	[(17329, 30231), (1, 17329)]	[(17320, 1), (30224, 17321)]	9983.462830461363	cp32-3
contig_12 [gcode=11] [topology=linear]	URI107H	29838	M32_B31_cp32-6_ParA_X	cp32-6	M32	29838	249	100.0	2.500167571553053	746	248	[(1, 249)]	[(20036, 20782)]	[(1, 249)]		False	gb|AE001578.1|	cp32-6	B31	29838.0	29838	99.9631342583283	99.99329713787787	29836	29836	[(11665, 29838), (1, 11664)]	[(11665, 29838), (1, 11664)]	[(29838, 11665), (11664, 1)]	9995.6433867266	cp32-6
contig_13 [gcode=11] [topology=linear]	URI107H	29805	RS06245_ZS7_ZS7_lp28-2_ParA_X	lp28-2	RS06245	29805	255	100.0	2.5633283006207015	764	254	[(1, 255)]	[(5961, 6725)]	[(1, 255)]		False	gb|CP094610.1|	lp28-2	B31-5A4	29805.0	29936	99.99328971649052	99.99664485824526	29804	29804	[(69, 29873)]	[(1, 29805)]	[(69, 29873)]	9998.99347998753	lp28-2
contig_14 [gcode=11] [topology=linear]	URI107H	29727	RS00880_JD1_JD1_cp32-11_ParA_X	cp32-11	RS00880	29727	252	100.0	2.539778652403539	755	251	[(1, 252)]	[(19012, 19767)]	[(1, 252)]		False	gb|AE001578.1|	cp32-6	B31	29727.0	29838	96.92853779564635	92.6161402092374	27532	27553	[(1691, 16494), (23002, 29838), (1, 1690), (17228, 21453)]	[(15543, 19739), (1, 14801), (28038, 29727), (21190, 28037)]	[(1691, 16494), (23002, 29838), (17228, 21453), (1, 1690)]	8977.14704675795	cp32-11
contig_15 [gcode=11] [topology=linear]	URI107H	28108	H28_B31_lp28-3_ParA_X	lp28-3	H28	28108	251	100.0	2.6753949053650206	752	250	[(1, 251)]	[(11096, 11848)]	[(1, 251)]		False	gb|AE000784.1|	lp28-3	B31	28108.0	28601	99.56467027174098	99.87903799629999	28074	26967	[(1634, 28601)]	[(1, 1161), (1194, 28108)]	[(28601, 10068), (10263, 1634), (27441, 28601), (5922, 5385), (8863, 8326)]	9944.423485160296	lp28-3
contig_16 [gcode=11] [topology=linear]	URI107H	26680	F24_B31_lp28-1_ParA_X	lp28-1	F24	26680	254	100.0	2.8523238380809595	761	253	[(1, 254)]	[(17723, 18484)]	[(1, 254)]	lp28-1*	True	gb|CP094609.1|	lp28-1	B31-5A4	26680.0	28447	95.85123383766059	97.66866566716642	26058	25713	[(1, 22784), (24127, 27057)]	[(1, 3617), (4238, 26680)]	[(1, 22447), (3617, 1), (19473, 22784), (24127, 27057), (18910, 21850), (24134, 26783), (20082, 22784), (24407, 27057), (18940, 21283), (24127, 26210)]	9361.662111475862	lp28-1*
contig_17 [gcode=11] [topology=linear]	URI107H	26499	I21_B31_lp28-4_ParA_X	lp28-4	I21	26499	250	100.0	2.826521755537945	749	249	[(1, 250)]	[(12966, 13715)]	[(1, 250)]		False	gb|AE000789.1|	lp28-4	B31	26499.0	27323	96.68098292921606	99.99622627268954	26498	26150	[(18, 26168)]	[(1, 26499)]	[(26168, 7335), (7914, 18), (24198, 21953), (25289, 23017), (23139, 21953), (25293, 24081), (7919, 8705), (16923, 17714), (6094, 6812), (18530, 19250)]	9667.733445255924	lp28-4
contig_18 [gcode=11] [topology=linear]	URI107H	26498				26498										False	gb|CP124081.1|	cp26	Am388	26498.0	26498	98.25505656496401	99.99245226054796	26496	26496	[(1, 9668), (9669, 26498)]	[(1, 9668), (9669, 26498)]	[(26498, 9669), (9668, 1), (19294, 17966), (20759, 19431)]	9824.764052929604	cp26
contig_19 [gcode=11] [topology=linear]	URI107H	21938	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	21938	246	100.0	6.609535964992251	1450	241	[(1, 242)]	[(68, 793), (6466, 7191)]	[(1, 242), (1, 242)]	lp17*	True	gb|CP124082.1|	lp17	Am388	21938.0	16904	99.95441699334489	99.98632509800346	21935	16903	[(1, 16904)]	[(3630, 20538), (1, 3629), (20539, 21938)]	[(16904, 1), (13281, 16904), (1, 1400)]	9994.074832477983	lp17*
contig_2 [gcode=11] [topology=linear]	URI107H	53613	A20_B31_lp54_ParA_X	lp54	A20	53613	250	100.0	1.3970492231361797	749	249	[(1, 250)]	[(39312, 40061)]	[(1, 250)]		False	gb|AE000790.2|	lp54	B31	53613.0	53657	99.98321302669129	99.99813478074347	53612	53612	[(3, 53615)]	[(1, 53613)]	[(53615, 3)]	9998.134812054861	lp54
contig_20 [gcode=11] [topology=linear]	URI107H	985				985										False	gb|CP019923.1|	lp28-1	PAbe	985.0	28157	98.98373983739837	99.79695431472081	983	983	[(675, 1658)]	[(1, 984)]	[(675, 1658)]	9878.275762453055	lp28-1
contig_21 [gcode=11] [topology=linear]	URI107H	876				876										False	gb|CP094613.1|	lp36	B31-5A4	876.0	36662	99.02597402597402	99.88584474885845	875	461	[(36201, 36662)]	[(1, 876)]	[(36201, 36662), (36662, 36201)]	9891.29306766293	lp36
contig_22 [gcode=11] [topology=linear]	URI107H	875				875										False	gb|AE000788.1|	lp36	B31	875.0	36849	100.0	99.88571428571429	874	874	[(34651, 35525)]	[(1, 875)]	[(35525, 34651)]	9988.57142857143	lp36
contig_23 [gcode=11] [topology=linear]	URI107H	807				807										False	gb|CP019926.1|	lp56	PAbe	807.0	52971	100.0	99.87608426270135	806	806	[(1102, 1908)]	[(1, 807)]	[(1102, 1908)]	9987.608426270135	lp56
contig_24 [gcode=11] [topology=linear]	URI107H	723				723										False	gb|CP094609.1|	lp28-1	B31-5A4	723.0	28447	93.0739514348786	99.86168741355463	722	6281	[(23108, 23827), (20310, 22762), (24668, 27057), (19153, 19874)]	[(1, 723)]	[(23108, 23827), (25238, 25954), (21446, 22189), (25808, 26536), (20310, 21028), (26381, 27057), (24668, 25378), (22043, 22762), (20882, 21595), (19153, 19874)]	9294.52184453421	lp28-1
contig_25 [gcode=11] [topology=linear]	URI107H	615				615										False	gb|AE000794.2|	lp28-1	B31	615.0	28155	92.44541484716157	99.83739837398375	614	4518	[(18725, 19158), (21027, 21467), (23487, 24100), (25969, 26390), (19882, 20324), (24240, 24671), (19307, 19743), (24810, 25238), (25380, 25826), (22689, 23117)]	[(1, 615)]	[(23487, 24100), (25380, 25826), (18725, 19158), (19882, 20324), (22689, 23117), (24810, 25238), (19307, 19743), (25969, 26390), (21027, 21467), (24240, 24671)]	9229.509709944261	lp28-1
