contig_id	assembly_id	contig_len	plasmid_id_pf32	plasmid_name_pf32	strain_pf32	query_length_pf32	ref_length_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	ref_covered_length_pf32	covered_intervals_pf32	query_intervals_pf32	subject_hit_coords_pf32	concat_call_pf32	multiple_loci_pf32	plasmid_id_wp	plasmid_name_wp	strain_wp	query_length_wp	ref_length_wp	overall_percent_identity_wp	query_coverage_percent_wp	query_covered_length_wp	ref_covered_length_wp	covered_intervals_wp	query_intervals_wp	subject_hit_coords_wp	_score_wp	final_call
contig_1 [gcode=11] [topology=linear]	ESI26H	910396	NE_5261_chromosome_ParA_2	chromosome	NE_5261	910396	380	100.0	0.1204970144860039	1097	365	[(1, 366)]	[(368852, 369949)]	[(1, 366)]		False	gb|CP124100.1|	chromosome	NE_5261	910396.0	910422	99.95206999082606	99.99989015768962	910395	910419	[(1, 910420)]	[(1, 910396)]	[(1, 910420), (438379, 441570), (435132, 438325), (213346, 214318), (213184, 214157), (213184, 213995), (213508, 214318), (213670, 214318), (213184, 213833), (213184, 213671)]	9995.196020116311	chromosome
contig_10 [gcode=11] [topology=linear]	ESI26H	24163	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	24163	246	100.0	3.000455241484915	725	241	[(1, 242)]	[(18524, 19249)]	[(1, 242)]		False	gb|CP001564.1|	lp17	Bol26	24163.0	17287	98.66715894406498	99.98758432313868	24160	17286	[(1, 17287)]	[(4756, 22086), (22087, 24163), (1, 4755)]	[(1, 13714), (4755, 1), (13532, 17287), (17287, 15211), (486, 1166), (1166, 486), (2604, 3293), (3293, 2604)]	9865.490874844223	lp17
contig_11 [gcode=11] [topology=linear]	ESI26H	18933	N32_B31_cp32-9_ParA_X	cp32-9	N32	18933	251	100.0	3.9243648655786196	743	247	[(1, 248)]	[(14279, 15022)]	[(1, 248)]		False	gb|CP001570.1|	cp32-9	Bol26	18933.0	30597	99.92605894158656	99.98943643374002	18931	18931	[(1, 5188), (16853, 30597)]	[(1, 5187), (5188, 18933)]	[(30597, 16853), (5188, 1)]	9991.550318613929	cp32-9
contig_12 [gcode=11] [topology=linear]	ESI26H	11699	P32_B31_cp32-1_ParA_X	cp32-1	P32	11699	246	100.0	6.299683733652449	737	245	[(1, 246)]	[(6785, 7522)]	[(1, 246)]		False	gb|CP001206.1|	cp32-1	ZS7	11699.0	30330	99.88033165227797	99.991452260877	11698	11697	[(16729, 28426)]	[(1, 11699)]	[(28426, 16729)]	9987.179414209315	cp32-1
contig_13 [gcode=11] [topology=linear]	ESI26H	3042				3042										False	gb|CP124099.1|	lp54	NE_5261	3042.0	53730	100.0	99.93425378040762	3040	1520	[(1, 1521)]	[(1522, 3042), (1, 1521)]	[(1, 1521), (1521, 1)]	9993.425378040762	lp54
contig_14 [gcode=11] [topology=linear]	ESI26H	2402				2402										False	gb|CP001572.1|	cp32-5	Bol26	2402.0	30186	99.75020815986679	99.95836802664446	2401	2401	[(1206, 3607)]	[(1, 2402)]	[(3607, 1206)]	9970.868017978359	cp32-5
contig_15 [gcode=11] [topology=linear]	ESI26H	1297				1297										False	gb|CP019921.1|	cp32-9-4	PAbe	1297.0	62238	98.96519285042334	99.92289899768697	1296	3186	[(60256, 61552), (29950, 31246), (1, 595)]	[(1, 1297)]	[(60256, 61552), (29950, 31246), (1, 595)]	9888.888969479463	cp32-9-4
contig_16 [gcode=11] [topology=linear]	ESI26H	1254				1254										False	gb|CP001570.1|	cp32-9	Bol26	1254.0	30597	99.60159362549801	99.92025518341308	1253	1253	[(14170, 15423)]	[(1, 1254)]	[(14170, 15423)]	9952.21665173437	cp32-9
contig_17 [gcode=11] [topology=linear]	ESI26H	1083				1083										False	gb|CP001572.1|	cp32-5	Bol26	1083.0	30186	100.0	99.90766389658357	1082	1082	[(14450, 15532)]	[(1, 1083)]	[(14450, 15532)]	9990.766389658356	cp32-5
contig_18 [gcode=11] [topology=linear]	ESI26H	1081				1081										False	gb|CP019847.1|	cp32-3	PAli	1081.0	30418	99.72247918593895	99.90749306197965	1080	1080	[(5412, 6492)]	[(1, 1081)]	[(5412, 6492)]	9963.022897392606	cp32-3
