contig_id	assembly_id	contig_len	plasmid_id_pf32	plasmid_name_pf32	strain_pf32	query_length_pf32	ref_length_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	ref_covered_length_pf32	covered_intervals_pf32	query_intervals_pf32	subject_hit_coords_pf32	concat_call_pf32	multiple_loci_pf32	plasmid_id_wp	plasmid_name_wp	strain_wp	query_length_wp	ref_length_wp	overall_percent_identity_wp	query_coverage_percent_wp	query_covered_length_wp	ref_covered_length_wp	covered_intervals_wp	query_intervals_wp	subject_hit_coords_wp	_score_wp	final_call
contig_1 [gcode=11] [topology=linear]	ESI403H	910442	NE_5261_chromosome_ParA_2	chromosome	NE_5261	910442	380	100.0	0.12049092638520631	1097	365	[(1, 366)]	[(368717, 369814)]	[(1, 366)]		False	gb|CP001205.1|	chromosome	ZS7	910442.0	906707	99.94248938792278	99.92662904391494	909774	906426	[(1, 906093), (906094, 906428)]	[(138340, 438182), (909796, 910130), (49, 138088), (438236, 909795)]	[(552989, 906093), (212885, 437686), (1, 138039), (434493, 553112), (138037, 213684), (213047, 213695), (212885, 213522), (213209, 213695), (212885, 213372), (906428, 906094)]	9986.916062792365	chromosome
contig_10 [gcode=11] [topology=linear]	ESI403H	29808	RS06245_ZS7_ZS7_lp28-2_ParA_X	lp28-2	RS06245	29808	255	100.0	2.563070316693505	764	254	[(1, 255)]	[(23082, 23846)]	[(1, 255)]		False	gb|CP094610.1|	lp28-2	B31-5A4	29808.0	29936	99.66123297779566	99.99664519592056	29807	29804	[(69, 29873)]	[(1, 29808)]	[(29873, 69)]	9965.78895386861	lp28-2
contig_11 [gcode=11] [topology=linear]	ESI403H	26514	NE_5261_cp26_ParA_1	cp26	NE_5261	26514	253	100.0	2.8588670136531644	758	252	[(1, 253)]	[(21225, 21983)]	[(1, 253)]		False	gb|CP001212.1|	cp26	ZS7	26514.0	26514	98.2233328768999	99.9924568152674	26512	26512	[(4745, 26514), (1, 4744)]	[(4745, 26514), (1, 4744)]	[(26514, 4745), (4744, 1), (20782, 19443), (19317, 17976)]	9821.592370945049	cp26
contig_12 [gcode=11] [topology=linear]	ESI403H	25492	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	25492	250	100.0	2.9381766828809037	749	249	[(1, 250)]	[(12496, 13245)]	[(1, 250)]		False	gb|CP001207.1|	lp28-4	ZS7	25492.0	28885	98.01581936181721	99.99607720069041	25491	25555	[(1133, 1724), (1752, 26716)]	[(1, 25492)]	[(26716, 1752), (24179, 22968), (25240, 24062), (1724, 1133), (8952, 9738), (17944, 18736)]	9801.197439793199	lp28-4
contig_13 [gcode=11] [topology=linear]	ESI403H	24417	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	24417	252	100.0	3.0921079575705455	755	251	[(1, 252)]	[(11501, 12256)]	[(1, 252)]		False	gb|CP001198.1|	lp25	ZS7	24417.0	24326	98.97544871551625	99.59454478437154	24318	24325	[(1, 24326)]	[(60, 24378)]	[(24326, 1), (16577, 17581), (11292, 12299)]	9857.414759650752	lp25
contig_14 [gcode=11] [topology=linear]	ESI403H	23639	O32_B31_cp32-7_ParA_X	cp32-7	O32	23639	249	99.59839357429718	3.155801852870257	746	248	[(1, 249)]	[(11638, 12384)]	[(1, 249)]		False	gb|CP001208.1|	cp32-4	ZS7	23639.0	30964	98.64815155416589	91.84398663226024	21711	21714	[(9273, 20980), (1, 1920), (22876, 30964)]	[(1, 11718), (13644, 21719), (21720, 23639)]	[(9273, 20980), (22876, 30964), (1, 1920)]	9060.239512637994	cp32-7
contig_15 [gcode=11] [topology=linear]	ESI403H	11798	F24_B31_lp28-1_ParA_X	lp28-1	F24	11798	254	100.0	6.450245804373623	761	253	[(1, 254)]	[(3875, 4636)]	[(1, 254)]		False	gb|CP001210.1|	lp28-1	ZS7	11798.0	23422	98.50544445235214	99.99152398711647	11797	14018	[(3132, 3445), (6033, 17831), (1397, 1716), (1967, 2284), (4878, 5194), (824, 1143), (4283, 4603), (245, 561)]	[(1, 11798)]	[(6033, 17831), (4878, 5194), (245, 561), (824, 1143), (3132, 3445), (1967, 2284), (1397, 1716), (4283, 4603)]	9849.709511818937	lp28-1
contig_16 [gcode=11] [topology=linear]	ESI403H	9095	DN127_cp9_ParA_X	cp9	DN127	9095	246	91.869918699187	8.10335349092908	737	245	[(1, 246)]	[(4607, 5344)]	[(1, 246)]		False	gb|CP001501.1|	cp9	94a	9095.0	8696	84.13161182840483	51.995601979109395	4729	4771	[(2718, 3347), (189, 1853), (6152, 8630)]	[(2993, 4639), (6176, 6805), (272, 2726)]	[(6152, 8630), (189, 1853), (2718, 3347)]	4374.473802490669	cp9
contig_17 [gcode=11] [topology=linear]	ESI403H	3518				3518										False	gb|CP001210.1|	lp28-1	ZS7	3518.0	23422	99.94321408290745	99.97157475838546	3517	3520	[(20953, 21947), (18400, 20926)]	[(1, 3518)]	[(20926, 18400), (21947, 20953)]	9991.480498282705	lp28-1
contig_18 [gcode=11] [topology=linear]	ESI403H	3457				3457										False	gb|CP094609.1|	lp28-1	B31-5A4	3457.0	28447	92.05053449951409	99.91321955452705	3454	8135	[(24127, 28388), (18910, 22784)]	[(3, 3457)]	[(26619, 24345), (27057, 24911), (22272, 19976), (21678, 19406), (22784, 20560), (21111, 18910), (26637, 28388), (26037, 24127), (27057, 25485), (20541, 18910)]	9197.065263561517	lp28-1
contig_19 [gcode=11] [topology=linear]	ESI403H	2179				2179										False	gb|CP002311.1|	cp32-8	JD1	2179.0	31085	99.58696649839376	99.95410738871043	2178	2178	[(1921, 4099)]	[(1, 2179)]	[(4099, 1921)]	9954.126343896358	cp32-8
contig_2 [gcode=11] [topology=linear]	ESI403H	53787	A20_B31_lp54_ParA_X	lp54	A20	53787	250	100.0	1.3925297934445127	749	249	[(1, 250)]	[(13669, 14418)]	[(1, 250)]		False	gb|CP124103.1|	lp54	NE_5248	53787.0	53675	99.89019374290447	99.89216725231003	53729	53673	[(2, 53675)]	[(1, 11391), (11443, 53782)]	[(11348, 53675), (2, 11391)]	9978.247940231866	lp54
contig_20 [gcode=11] [topology=linear]	ESI403H	1194				1194										False	gb|AE001576.1|	cp32-3	B31	1194.0	30223	98.3249581239531	99.91624790619765	1193	1193	[(5299, 6492)]	[(1, 1194)]	[(5299, 6492)]	9824.2608912794	cp32-3
contig_21 [gcode=11] [topology=linear]	ESI403H	690				690										False	gb|CP094586.1|	cp32-6	B379	690.0	30642	100.0	99.85507246376811	689	689	[(8583, 9272)]	[(1, 690)]	[(9272, 8583)]	9985.50724637681	cp32-6
contig_22 [gcode=11] [topology=linear]	ESI403H	613				613										False	gb|CP001269.1|	cp32-8	156a	613.0	30946	100.0	99.836867862969	612	612	[(4100, 4712)]	[(1, 613)]	[(4100, 4712)]	9983.6867862969	cp32-8
contig_23 [gcode=11] [topology=linear]	ESI403H	538				538										False	gb|CP001200.1|	cp32-12	ZS7	538.0	29806	100.0	99.81412639405205	537	537	[(6496, 7033)]	[(1, 538)]	[(7033, 6496)]	9981.412639405205	cp32-12
contig_24 [gcode=11] [topology=linear]	ESI403H	465				465										False	gb|CP001565.1|	cp32-12	Bol26	465.0	31433	99.56896551724138	99.56989247311829	463	463	[(7527, 7990)]	[(1, 464)]	[(7527, 7990)]	9914.071190211347	cp32-12
contig_25 [gcode=11] [topology=linear]	ESI403H	455				455										False	gb|CP001208.1|	cp32-4	ZS7	455.0	30964	100.0	99.78021978021978	454	454	[(8020, 8474)]	[(1, 455)]	[(8474, 8020)]	9978.021978021978	cp32-4
contig_26 [gcode=11] [topology=linear]	ESI403H	293				293										False	gb|CP094585.1|	cp32-5	B379	293.0	30637	100.0	99.65870307167235	292	292	[(4868, 5160)]	[(1, 293)]	[(5160, 4868)]	9965.870307167235	cp32-5
contig_27 [gcode=11] [topology=linear]	ESI403H	203				203										False	gb|AE001575.1|	cp32-1	B31	203.0	30750	100.0	99.50738916256158	202	202	[(7325, 7527)]	[(1, 203)]	[(7325, 7527)]	9950.738916256158	cp32-1
contig_28 [gcode=11] [topology=linear]	ESI403H	162				162										False														unclassified
contig_29 [gcode=11] [topology=linear]	ESI403H	155				155										False														unclassified
