contig_id	assembly_id	contig_len	plasmid_id_pf32	plasmid_name_pf32	strain_pf32	query_length_pf32	ref_length_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	ref_covered_length_pf32	covered_intervals_pf32	query_intervals_pf32	subject_hit_coords_pf32	concat_call_pf32	multiple_loci_pf32	plasmid_id_wp	plasmid_name_wp	strain_wp	query_length_wp	ref_length_wp	overall_percent_identity_wp	query_coverage_percent_wp	query_covered_length_wp	ref_covered_length_wp	covered_intervals_wp	query_intervals_wp	subject_hit_coords_wp	_score_wp	final_call
contig_1 [gcode=11] [topology=linear]	XYZ459H	903233	RS00395_29805_29805_lp54_ParA_X	lp54	RS00395	903233	380	99.72527472527473	0.12078832372156466	1091	363	[(1, 364)]	[(368762, 369853)]	[(1, 364)]		False	gb|CP002228.1|	chromosome	N40	903233.0	902191	99.4743326759289	99.96080745499776	902879	902100	[(19951, 902101), (1, 19951)]	[(20306, 903233), (197, 20149)]	[(212838, 843612), (19951, 213156), (843264, 902101), (1, 19951), (437231, 440422), (433984, 437177), (212838, 213156), (212838, 213156), (212838, 213156), (843297, 843612)]	9943.534615332921	chromosome
contig_10 [gcode=11] [topology=linear]	XYZ459H	26537	RS05220_29805_29805_cp26_ParA_X	cp26	RS05220	26537	253	99.60474308300395	2.8563891924482796	758	252	[(1, 253)]	[(6688, 7446)]	[(1, 253)]		False	gb|CP002239.1|	cp26	N40	26537.0	26498	97.06304704595186	99.99246335305423	26535	26496	[(2586, 26498), (1, 2585)]	[(1, 23952), (23953, 26537)]	[(2586, 26498), (1, 2585), (19422, 20759), (17955, 19300)]	9705.57317467812	cp26
contig_11 [gcode=11] [topology=linear]	XYZ459H	23858	RS05540_29805_29805_lp25_ParA_X	lp25	RS05540	23858	252	100.0	3.1645569620253164	755	251	[(1, 252)]	[(11468, 12223)]	[(1, 252)]		False	gb|CP001459.1|	lp25	WI91-23	23858.0	24661	95.65952427757027	99.06530304300443	23635	23720	[(19886, 24568), (270, 19308)]	[(31, 940), (7049, 23830), (1011, 6956)]	[(17031, 270), (23665, 19886), (19308, 17124), (24568, 23661), (16312, 17314), (11331, 12047)]	9476.539761507138	lp25
contig_12 [gcode=11] [topology=linear]	XYZ459H	16977	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	16977	246	100.0	4.270483595452671	725	241	[(1, 242)]	[(13456, 14181)]	[(1, 242)]		False	gb|CP124090.1|	lp17	Am293	16977.0	16928	98.09797565898111	96.07115509218355	16310	16310	[(1327, 16891), (134, 880)]	[(98, 841), (1410, 16977)]	[(1327, 16891), (134, 880)]	9424.385833763221	lp17
contig_13 [gcode=11] [topology=linear]	XYZ459H	13528	S35_B31_cp32-3_ParA_X	cp32-3	S35	13528	246	100.0	5.4479597871082195	737	245	[(1, 246)]	[(6326, 7063)]	[(1, 246)]		False	gb|CP094582.1|	cp32-12	B379	13528.0	30796	89.93210796489485	88.57924305144884	11983	11962	[(18138, 21445), (14370, 17754), (22905, 28176)]	[(1, 3398), (3715, 7029), (8256, 13528)]	[(22905, 28176), (14370, 17754), (18138, 21445)]	7966.118049551559	cp32-3
contig_14 [gcode=11] [topology=linear]	XYZ459H	12936	RS06545_29805_29805_cp32-7_ParA_X	cp32-7	RS06545	12936	249	100.0	5.766852195423624	746	248	[(1, 249)]	[(4, 750)]	[(1, 249)]		False	gb|CP017209.1|	cp32-7	B331	12936.0	30054	93.0191124068675	95.00618429189858	12290	12291	[(1, 4016), (27297, 30054), (20775, 26294)]	[(6159, 8919), (8920, 12935), (1, 5516)]	[(20775, 26294), (1, 4016), (27297, 30054)]	8837.390935995683	cp32-7
contig_15 [gcode=11] [topology=linear]	XYZ459H	11792	RS05205_B331_B331_cp32_4_ParA_X	cp32-4	RS05205	11792	251	100.0	6.377204884667571	752	250	[(1, 251)]	[(4187, 4939)]	[(1, 251)]		False	gb|CP074066.1|	cp32-4	B500	11792.0	30617	98.78761447884867	95.26797829036636	11234	11300	[(17078, 18158), (18652, 28872)]	[(1572, 11792), (7, 1021)]	[(18652, 28872), (17385, 18158), (17078, 17541)]	9411.296311528036	cp32-4
contig_16 [gcode=11] [topology=linear]	XYZ459H	9944	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	9944	257	100.0	7.7433628318584065	770	256	[(1, 257)]	[(2112, 2882)]	[(1, 257)]		False	gb|CP001492.1|	cp32-7	94a	9944.0	30433	93.69996519317786	86.25301689460981	8577	8485	[(22939, 28693), (18903, 21634)]	[(4329, 9943), (94, 2824), (4029, 4262)]	[(23086, 28693), (18903, 21634), (22939, 23172)]	8081.904680831522	cp32-1+5
contig_17 [gcode=11] [topology=linear]	XYZ459H	7932				7932										False	gb|CP074066.1|	cp32-4	B500	7932.0	30617	99.87392839132627	99.98739283913262	7931	7931	[(9888, 17819)]	[(1, 7932)]	[(9888, 17819)]	9986.133712450941	cp32-4
contig_18 [gcode=11] [topology=linear]	XYZ459H	1180				1180										False	gb|CP074068.1|	cp32-6	B500	1180.0	30008	98.64406779661017	99.91525423728814	1179	1179	[(9747, 10926)]	[(1, 1180)]	[(10926, 9747)]	9856.047112898594	cp32-6
contig_19 [gcode=11] [topology=linear]	XYZ459H	1162				1162										False	gb|CP031407.1|	cp32-7	MM1	1162.0	14018	95.39530842745438	98.62306368330465	1146	1145	[(1876, 3021)]	[(16, 1162)]	[(1876, 3021)]	9408.177578129322	cp32-7
contig_2 [gcode=11] [topology=linear]	XYZ459H	32754	RS06330_29805_29805_lp36_ParA_X	lp36	RS06330	32754	249	100.0	2.277584417170422	746	248	[(1, 249)]	[(14825, 15571)]	[(1, 249)]		False	gb|CP001497.1|	lp17	94a	32754.0	18110	88.2051282051282	11.24442816144593	3683	3636	[(1281, 3850), (105, 1172)]	[(6522, 7604), (8119, 10720)]	[(1281, 3850), (105, 1172)]	991.8162275736922	lp36
contig_20 [gcode=11] [topology=linear]	XYZ459H	1106				1106										False	gb|CP074071.1|	cp32-11	B500	1106.0	30176	85.87921847246892	99.90958408679927	1105	1107	[(14442, 15549)]	[(1, 1106)]	[(14442, 15549)]	8580.15699928374	cp32-11
contig_21 [gcode=11] [topology=linear]	XYZ459H	878				878										False	gb|CP074066.1|	cp32-4	B500	878.0	30617	100.0	99.88610478359908	877	877	[(9010, 9887)]	[(1, 878)]	[(9010, 9887)]	9988.610478359908	cp32-4
contig_22 [gcode=11] [topology=linear]	XYZ459H	733				733										False														unclassified
contig_23 [gcode=11] [topology=linear]	XYZ459H	440				440										False														unclassified
contig_24 [gcode=11] [topology=linear]	XYZ459H	231				231										False														unclassified
