contig_id	assembly_id	contig_len	plasmid_id_pf32	plasmid_name_pf32	strain_pf32	query_length_pf32	ref_length_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	ref_covered_length_pf32	covered_intervals_pf32	query_intervals_pf32	subject_hit_coords_pf32	concat_call_pf32	multiple_loci_pf32	plasmid_id_wp	plasmid_name_wp	strain_wp	query_length_wp	ref_length_wp	overall_percent_identity_wp	query_coverage_percent_wp	query_covered_length_wp	ref_covered_length_wp	covered_intervals_wp	query_intervals_wp	subject_hit_coords_wp	_score_wp	final_call
contig_1 [gcode=11] [topology=linear]	UWI247P	912339	B379_chromosome_ParA_2	chromosome	B379	912339	380	100.0	0.12024039309949482	1097	365	[(1, 366)]	[(368556, 369653)]	[(1, 366)]		False	gb|CP124080.1|	chromosome	Sh-2-82	912339	907764	99.76188447683398	99.24019470832663	905407	905471	[(2, 905473)]	[(1, 775178), (775211, 905441)]	[(2, 556768), (556585, 775274), (775249, 905473), (434850, 438043), (438097, 441288), (213192, 213997), (213029, 213837), (213354, 213998), (213025, 213675), (213516, 213998)]	9900.388839950592	chromosome
contig_10 [gcode=11] [topology=linear]	UWI247P	24962	RS00670_JD1_JD1_lp25_ParA_X	lp25	RS00670	24962	252	100.0	3.024597388029805	755	251	[(1, 252)]	[(12372, 13127)]	[(1, 252)]		False	gb|CP001265.1|	lp25	156a	24962	24910	98.42836508700736	99.7956894479609	24911	24909	[(1, 24910)]	[(36, 24947)]	[(24910, 1), (19390, 18130), (22040, 20780), (16278, 17089), (11189, 11997)]	9822.726555093503	lp25
contig_11 [gcode=11] [topology=linear]	UWI247P	27011	RS00365_JD1_JD1_lp28-1_ParA_X	lp28-1	RS00365	27011	254	100.0	2.8173707008255895	761	253	[(1, 254)]	[(9774, 10535)]	[(1, 254)]		False	gb|CP001273.1|	lp28-1	156a	27011	24159	93.1694774768679	89.46725408167043	24166	24155	[(1, 24156)]	[(26, 24192)]	[(1, 24156), (15667, 19602), (15064, 19097), (19580, 23672), (15056, 18972), (19583, 23540), (15678, 19598), (19583, 23046), (20214, 23672), (16304, 19598)]	8335.61731407941	lp28-1
contig_12 [gcode=11] [topology=linear]	UWI247P	28598	H28_B31_lp28-3_ParA_X	lp28-3	H28	28598	251	100.0	2.6295545143016996	752	250	[(1, 251)]	[(9912, 10664)]	[(1, 251)]		False	gb|CP001203.1|	lp28-3	ZS7	28598	28414	99.01794784964443	99.41254633191133	28430	28399	[(1, 28400)]	[(41, 11623), (11630, 28478)]	[(11558, 28400), (1, 11587), (19659, 20196), (22600, 23137)]	9843.626328293556	lp28-3
contig_13 [gcode=11] [topology=linear]	UWI247P	29588	I21_B31_lp28-4_ParA_X	lp28-4	I21	29588	250	100.0	2.5314316614843855	749	249	[(1, 250)]	[(14696, 15445)]	[(1, 250)]		False	gb|CP001272.1|	lp28-4	156a	29588	29501	98.2092843096359	99.82425307557118	29536	29500	[(1, 29501)]	[(33, 29569)]	[(29501, 1), (24779, 23598), (25870, 24662), (9572, 10358), (18574, 19366)]	9803.668451295816	lp28-4
contig_14 [gcode=11] [topology=linear]	UWI247P	26785	RS06415_JD1_JD1_lp28-5_ParA_X	lp28-5	RS06415	26785	250	100.0	2.7963412357662873	749	249	[(1, 250)]	[(18674, 19423)]	[(1, 250)]		False	gb|CP094592.1|	lp28-5	B379	26785	27673	99.40891045434495	99.10024267313796	26544	27634	[(3339, 27673), (1, 3301)]	[(68, 26612)]	[(3339, 16670), (15391, 27673), (1, 3301), (14460, 16803), (14992, 17335), (15125, 17468), (14726, 17069), (14859, 17202), (15258, 17601), (14593, 16936)]	9851.447149897826	lp28-5
contig_15 [gcode=11] [topology=linear]	UWI247P	23693	K21_B31_lp36_ParA_X	lp36	K21	23693	249	100.0	3.072637487865614	728	242	[(1, 243)]	[(11906, 12634)]	[(1, 243)]		False	gb|CP001260.1|	lp36	156a	23693	23638	99.1927914398348	99.84383573207276	23656	23637	[(1, 23638)]	[(18, 23674)]	[(23638, 1), (19165, 19905), (20284, 21025), (2735, 3471), (4742, 5482)]	9903.78877432462	lp36
contig_16 [gcode=11] [topology=linear]	UWI247P	30325	RS07790_JD1_JD1_lp38_ParA_X	lp38	RS07790	30325	245	100.0	2.420445177246496	734	244	[(1, 245)]	[(24850, 25584)]	[(1, 245)]		False	gb|CP001267.1|	lp38	156a	30325	30302	99.74562900473323	99.92415498763395	30302	30301	[(1, 30302)]	[(16, 30318)]	[(30302, 1), (3319, 2943), (17052, 16680)]	9966.997692008	lp38
contig_17 [gcode=11] [topology=linear]	UWI247P	53845	A20_B31_lp54_ParA_X	lp54	A20	53845	250	100.0	1.3910298077815952	749	249	[(1, 250)]	[(39531, 40280)]	[(1, 250)]		False	gb|CP001257.1|	lp54	156a	53845	53885	98.85167294796256	99.95728479895998	53822	53884	[(1, 53885)]	[(19, 53841)]	[(53885, 1), (48551, 47266), (49546, 48267)]	9880.94482571314	lp54
contig_2 [gcode=11] [topology=linear]	UWI247P	26521	JD1_cp26_ParA_1	cp26	JD1	26521	253	100.0	2.8581124391991253	758	252	[(1, 253)]	[(4583, 5341)]	[(1, 253)]		False	gb|CP001271.1|	cp26	156a	26521	26522	98.17173377156944	99.99245880622902	26519	26520	[(1, 14615), (14616, 26522)]	[(1, 14615), (14616, 26521)]	[(14615, 1), (26522, 14616), (19317, 17982), (20782, 19449)]	9816.43304508974	cp26
