#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CFHKPG_00021	1	432	+	BBJEMP_00021	16.6	9.5		
CFHKPG_00152	1	435	+	BBJEMP_00147	16.9	10.1		RefSeq:WP_010889695.1, SO:0001217, UniParc:UPI0000057387, UniRef:UniRef100_O51178, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
CFHKPG_00259	1	1014	+	BBJEMP_00244	39.1	4.3		RefSeq:WP_010889720.1, SO:0001217, UniParc:UPI00000573ED, UniRef:UniRef100_O51275, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
CFHKPG_00524	1	423	+	BBJEMP_00483	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
CFHKPG_00553	1	1494	+	BBJEMP_00509	59.3	6.0		RefSeq:WP_044283522.1, SO:0001217, UniParc:UPI00052A3973, UniRef:UniRef100_UPI00052A3973, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
CFHKPG_00622	1	369	+	BBJEMP_00570	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
CFHKPG_00657	1	297	+	BBJEMP_00601	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
CFHKPG_00707	1	540	+	BBJEMP_00649	21.1	9.9		RefSeq:WP_002656268.1, SO:0001217, UniParc:UPI00000575A2, UniRef:UniRef100_O51644, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
CFHKPG_00758	1	1275	+	BBJEMP_00693	48.7	4.6		RefSeq:WP_010889815.1, SO:0001217, UniParc:UPI000233F626, UniRef:UniRef100_O51690, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
CFHKPG_00782	1	435	+	BBJEMP_00716	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
CFHKPG_00860	1	639	+	BBJEMP_00792	24.3	5.5	PF05714.15|PFam54_60	PFAM:PF05714.15
CFHKPG_00877	1	1398	+	BBJEMP_00807	52.8	6.5		RefSeq:WP_012622802.1, SO:0001217, UniParc:UPI000005692B, UniRef:UniRef100_A0A7U4DJ15, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
CFHKPG_00896	1	594	+	BBJEMP_00824	22.7	9.1		RefSeq:WP_010890382.1, SO:0001217, UniParc:UPI0000056917, UniRef:UniRef100_O50923, UniRef:UniRef50_O50923, UniRef:UniRef90_O50923
CFHKPG_00920	1	348	+	BBJEMP_00844	13.1	5.2	PF05714.15|PFam54_60	PFAM:PF05714.15
CFHKPG_00922	1	282	+	BBJEMP_00845	11.3	10.0		RefSeq:WP_038379685.1, SO:0001217, UniParc:UPI00016C583C, UniRef:UniRef100_UPI0000057760, UniRef:UniRef50_A0A1L8ZA91, UniRef:UniRef90_A0A1L8ZA91
CFHKPG_00926	1	513	+	BBJEMP_00847	19.4	8.8		RefSeq:WP_083013073.1, SO:0001217, UniParc:UPI0009F1771F, UniRef:UniRef100_UPI0009F1771F, UniRef:UniRef50_UPI00016C5603, UniRef:UniRef90_UPI0004280BBD
CFHKPG_00927	1	381	+	BBJEMP_00848	14.3	6.7		RefSeq:WP_231013320.1, SO:0001217, UniParc:UPI0003F834B4, UniRef:UniRef100_UPI0000057758, UniRef:UniRef50_UPI0000057758, UniRef:UniRef90_UPI0000057758
CFHKPG_00931	1	381	+	BBJEMP_00852	14.5	6.7		SO:0001217, UniRef:UniRef50_C0R9C5
CFHKPG_00934	1	567	+	BBJEMP_00854	21.8	9.1		RefSeq:WP_010883937.1, SO:0001217, UniParc:UPI0000057752, UniRef:UniRef100_Q9RZY1, UniRef:UniRef90_Q9S073
CFHKPG_00980	1	219	+	BBJEMP_00897	7.7	9.5		
CFHKPG_00985	1	219	+	BBJEMP_00900	7.7	9.5		
CFHKPG_01008	1	276	+	BBJEMP_00921	10.4	9.9		SO:0001217, UniRef:UniRef50_O50768, UniRef:UniRef90_O50768
CFHKPG_01012	1	285	+	BBJEMP_00924	10.9	9.0	PF05714.15|PFam54_60	PFAM:PF05714.15
