ID	group	gene	old_locus_tag	percent_ident	alignment_length	E-score
bglX	bglX	BB_RS00010	BB_0002	99.223	1029	0.0
manB	manB	BB_RS00020	BB_0004	99.387	1794	0.0
perM	perM	BB_RS00030	BB_0006	100.000	1089	0.0
group_291	group_291	BB_RS00035	BB_0007	99.767	858	0.0
cdaA	cdaA	BB_RS00040	BB_0008	100.000	771	0.0
group_193	group_193	BB_RS00045	BB_0009	99.801	1005	0.0
acpS	acpS	BB_RS00050	BB_0010	99.467	375	0.0
group_310	group_310	BB_RS00055	BB_0011	99.524	840	0.0
truA	truA	BB_RS00060	BB_0012	99.460	741	0.0
group_833	group_833	BB_RS00065	BB_0013	99.667	600	0.0
priA	priA	BB_RS00070	BB_0014	99.748	1983	0.0
udk	udk	BB_RS00075	BB_0015	99.678	621	0.0
yitT	yitT	BB_RS00085	BB_0017	99.167	960	0.0
rluD	rluD	BB_RS00090	BB_0018	99.185	981	0.0
group_886	group_886	BB_RS00095	BB_0019	99.415	513	0.0
pfp	pfp	BB_RS00100	BB_0020	99.760	1668	0.0
ruvB	ruvB	BB_RS00110	BB_0022	99.617	1044	0.0
ruvA	ruvA	BB_RS00115	BB_0023	99.327	594	0.0
tACO1	tACO1	BB_RS00125	BB_0025	100.000	732	0.0
folD	folD	BB_RS00130	BB_0026	99.779	906	0.0
group_701	group_701	BB_RS00135	BB_0027	99.687	639	0.0
bamB	bamB	BB_RS00140	BB_0028	99.810	1050	0.0
yaiI	yaiI	BB_RS00145	BB_0029	99.769	432	0.0
group_712	group_712	BB_RS00150	BB_0030	99.843	636	0.0
lepB	lepB	BB_RS00155	BB_0031	99.694	981	0.0
smpB	smpB	BB_RS00165	BB_0033	99.117	453	0.0
group_872	group_872	BB_RS00170	BB_0034	99.444	540	0.0
parC	parC	BB_RS00175	BB_0035	98.990	1881	0.0
parE	parE	BB_RS00180	BB_0036	99.500	1800	0.0
group_75	group_75	BB_RS00190	BB_0038	99.473	1518	0.0
group_76	group_76	BB_RS00195	BB_0039	99.800	1503	0.0
