group	reason
group_1123	no_BB_mapping_for_BB_RS02715
group_965	no_blast_hit
group_986	no_blast_hit
group_1035	no_blast_hit
group_982	no_blast_hit
group_1038	no_blast_hit
group_1135	no_blast_hit
group_1220	no_BB_mapping_for_BB_RS04670
group_1213	no_BB_mapping_for_BB_RS04670
group_1291	no_blast_hit
group_250	no_blast_hit
group_952	no_BB_mapping_for_BB_RS04425
group_736	no_BB_mapping_for_BB_RS04495
group_15	no_BB_mapping_for_BB_RS04910
group_1148	no_BB_mapping_for_BB_RS04910
group_946	no_blast_hit
group_1218	no_BB_mapping_for_BB_RS04670
group_1064	no_blast_hit
group_902	no_blast_hit
group_648	no_BB_mapping_for_BB_RS07780
group_633	no_blast_hit
group_465	no_BB_mapping_for_BB_RS07805
group_914	no_blast_hit
group_103	no_blast_hit
group_1300	no_blast_hit
group_726	no_BB_mapping_for_BB_RS07920
group_1271	no_BB_mapping_for_BB_RS07955
group_961	no_BB_mapping_for_BB_RS04340
group_674	no_BB_mapping_for_BB_RS04475
group_1076	no_blast_hit
group_395	no_BB_mapping_for_BB_RS05830
group_958	no_BB_mapping_for_BB_RS07885
group_953	no_BB_mapping_for_BB_RS05770
group_169	no_BB_mapping_for_BB_RS06255
group_1080	no_blast_hit
group_836	no_BB_mapping_for_BB_RS07930
group_1084	no_blast_hit
group_861	no_BB_mapping_for_BB_RS05810
group_942	no_blast_hit
group_967	no_BB_mapping_for_BB_RS06255
group_977	no_BB_mapping_for_BB_RS07960
group_945	no_BB_mapping_for_BB_RS07695
group_947	no_BB_mapping_for_BB_RS07900
group_907	no_BB_mapping_for_BB_RS05820
group_208	no_BB_mapping_for_BB_RS05810
group_36	no_blast_hit
group_350	no_blast_hit
group_891	no_blast_hit
group_971	no_blast_hit
group_123	no_blast_hit
group_1165	no_BB_mapping_for_BB_RS05020
group_273	no_blast_hit
group_107	no_blast_hit
group_1308	no_blast_hit
aac3Ia	no_blast_hit
aph3Ia	no_blast_hit
group_973	no_blast_hit
group_837	no_BB_mapping_for_BB_RS07930
dcm	no_blast_hit
group_518	no_blast_hit
group_1252	no_BB_mapping_for_BB_RS07955
group_1231	no_BB_mapping_for_BB_RS04820
group_1235	no_BB_mapping_for_BB_RS04830
group_621	no_BB_mapping_for_BB_RS05795
group_1114	no_blast_hit
group_90	no_blast_hit
group_230	no_blast_hit
group_1163	no_blast_hit
group_114	no_BB_mapping_for_BB_RS07930
group_385	no_blast_hit
tnpA	no_blast_hit
group_749	no_blast_hit
group_1136	no_blast_hit
group_280	no_blast_hit
group_593	no_blast_hit
group_204	no_blast_hit
group_983	no_blast_hit
group_231	no_blast_hit
