contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	ESI26H	910396	gb|CP124100.1|	chromosome	NE_5261	910396	910422	99.95206999082606	99.99989015768962	910395	910419	[(1, 910420)]	[(1, 910396)]	[(1, 910420), (438379, 441570), (435132, 438325), (213346, 214318), (213184, 214157), (213184, 213995), (213508, 214318), (213670, 214318), (213184, 213833), (213184, 213671)]	9995.196020116311
contig_10 [gcode=11] [topology=linear]	ESI26H	24163	gb|CP001564.1|	lp17	Bol26	24163	17287	98.66715894406498	99.98758432313868	24160	17286	[(1, 17287)]	[(4756, 22086), (22087, 24163), (1, 4755)]	[(1, 13714), (4755, 1), (13532, 17287), (17287, 15211), (486, 1166), (1166, 486), (2604, 3293), (3293, 2604)]	9865.490874844223
contig_11 [gcode=11] [topology=linear]	ESI26H	18933	gb|CP001570.1|	cp32-9	Bol26	18933	30597	99.92605894158656	99.98943643374002	18931	18931	[(1, 5188), (16853, 30597)]	[(1, 5187), (5188, 18933)]	[(30597, 16853), (5188, 1)]	9991.550318613929
contig_12 [gcode=11] [topology=linear]	ESI26H	11699	gb|CP001206.1|	cp32-1	ZS7	11699	30330	99.88033165227797	99.991452260877	11698	11697	[(16729, 28426)]	[(1, 11699)]	[(28426, 16729)]	9987.179414209315
contig_13 [gcode=11] [topology=linear]	ESI26H	3042	gb|CP124099.1|	lp54	NE_5261	3042	53730	100.0	99.93425378040762	3040	1520	[(1, 1521)]	[(1522, 3042), (1, 1521)]	[(1, 1521), (1521, 1)]	9993.425378040762
contig_14 [gcode=11] [topology=linear]	ESI26H	2402	gb|CP001572.1|	cp32-5	Bol26	2402	30186	99.75020815986679	99.95836802664446	2401	2401	[(1206, 3607)]	[(1, 2402)]	[(3607, 1206)]	9970.868017978359
contig_15 [gcode=11] [topology=linear]	ESI26H	1297	gb|CP019921.1|	cp32-9-4	PAbe	1297	62238	98.96519285042334	99.92289899768697	1296	3186	[(60256, 61552), (29950, 31246), (1, 595)]	[(1, 1297)]	[(60256, 61552), (29950, 31246), (1, 595)]	9888.888969479463
contig_16 [gcode=11] [topology=linear]	ESI26H	1254	gb|CP001570.1|	cp32-9	Bol26	1254	30597	99.60159362549801	99.92025518341308	1253	1253	[(14170, 15423)]	[(1, 1254)]	[(14170, 15423)]	9952.21665173437
contig_17 [gcode=11] [topology=linear]	ESI26H	1083	gb|CP001572.1|	cp32-5	Bol26	1083	30186	100.0	99.90766389658357	1082	1082	[(14450, 15532)]	[(1, 1083)]	[(14450, 15532)]	9990.766389658356
contig_18 [gcode=11] [topology=linear]	ESI26H	1081	gb|CP019847.1|	cp32-3	PAli	1081	30418	99.72247918593895	99.90749306197965	1080	1080	[(5412, 6492)]	[(1, 1081)]	[(5412, 6492)]	9963.022897392606
contig_19 [gcode=11] [topology=linear]	ESI26H	1044	gb|CP001211.1|	cp32-9	ZS7	1044	30467	99.90421455938697	99.90421455938697	1043	1043	[(8062, 9105)]	[(1, 1044)]	[(9105, 8062)]	9980.852086728028
contig_2 [gcode=11] [topology=linear]	ESI26H	61321	gb|CP001565.1|	cp32-12	Bol26	61321	31433	96.769891075734	95.15500399536863	58350	31432	[(1, 31433)]	[(1, 10018), (13829, 17746), (10019, 12397), (39901, 61321), (29828, 39900), (18633, 21939), (22464, 29704)]	[(31433, 10018), (10017, 1), (10071, 1), (17464, 10207), (26899, 22966), (31433, 29079), (22039, 18743)]	9208.139371942856
contig_20 [gcode=11] [topology=linear]	ESI26H	850	gb|CP001211.1|	cp32-9	ZS7	850	30467	100.0	99.88235294117646	849	849	[(7094, 7943)]	[(1, 850)]	[(7943, 7094)]	9988.235294117647
contig_21 [gcode=11] [topology=linear]	ESI26H	800	gb|CP001206.1|	cp32-1	ZS7	800	30330	99.25	99.875	799	799	[(28427, 29226)]	[(1, 800)]	[(28427, 29226)]	9912.59375
contig_22 [gcode=11] [topology=linear]	ESI26H	644	gb|CP001572.1|	cp32-5	Bol26	644	30186	100.0	99.84472049689441	643	643	[(13806, 14449)]	[(1, 644)]	[(13806, 14449)]	9984.47204968944
contig_23 [gcode=11] [topology=linear]	ESI26H	627	gb|CP001206.1|	cp32-1	ZS7	627	30330	99.84051036682615	99.84051036682615	626	625	[(11959, 12584)]	[(1, 627)]	[(11959, 12584)]	9968.12751030832
contig_24 [gcode=11] [topology=linear]	ESI26H	613	gb|CP001200.1|	cp32-12	ZS7	613	29806	100.0	99.836867862969	612	612	[(4103, 4715)]	[(1, 613)]	[(4715, 4103)]	9983.6867862969
contig_25 [gcode=11] [topology=linear]	ESI26H	573	gb|CP001570.1|	cp32-9	Bol26	573	30597	100.0	99.82547993019197	572	572	[(9106, 9678)]	[(1, 573)]	[(9678, 9106)]	9982.547993019198
contig_26 [gcode=11] [topology=linear]	ESI26H	508	gb|CP001206.1|	cp32-1	ZS7	508	30330	99.80276134122288	99.60629921259843	506	506	[(7084, 7590)]	[(2, 508)]	[(7590, 7084)]	9940.983708397398
contig_27 [gcode=11] [topology=linear]	ESI26H	495	gb|CP094600.1|	cp32-3	B31-5A4	495	30224	100.0	99.79797979797979	494	494	[(711, 1205)]	[(1, 495)]	[(1205, 711)]	9979.797979797979
contig_28 [gcode=11] [topology=linear]	ESI26H	455	gb|CP001211.1|	cp32-9	ZS7	455	30467	100.0	99.78021978021978	454	454	[(10480, 10934)]	[(1, 455)]	[(10934, 10480)]	9978.021978021978
contig_29 [gcode=11] [topology=linear]	ESI26H	455	gb|CP001572.1|	cp32-5	Bol26	455	30186	100.0	99.78021978021978	454	454	[(10356, 10810)]	[(1, 455)]	[(10356, 10810)]	9978.021978021978
contig_3 [gcode=11] [topology=linear]	ESI26H	51152	gb|CP001566.1|	lp28-9	Bol26	51152	28200	97.98556124825338	83.35744447919924	42639	28199	[(1, 28200)]	[(4896, 6181), (10850, 51152), (9650, 10702)]	[(7274, 26184), (3406, 19390), (1, 3466), (26069, 28200), (2609, 1325), (6037, 7093)]	8167.825981514457
contig_30 [gcode=11] [topology=linear]	ESI26H	445	gb|AE001575.1|	cp32-1	B31	445	30750	100.0	99.7752808988764	444	444	[(10899, 11343)]	[(1, 445)]	[(10899, 11343)]	9977.52808988764
contig_31 [gcode=11] [topology=linear]	ESI26H	444	gb|CP001208.1|	cp32-4	ZS7	444	30964	99.09909909909909	99.77477477477478	443	443	[(12698, 13141)]	[(1, 444)]	[(13141, 12698)]	9887.5902929957
contig_32 [gcode=11] [topology=linear]	ESI26H	424	gb|CP001570.1|	cp32-9	Bol26	424	30597	100.0	99.76415094339622	423	423	[(13262, 13685)]	[(1, 424)]	[(13685, 13262)]	9976.415094339622
contig_33 [gcode=11] [topology=linear]	ESI26H	399	gb|CP001570.1|	cp32-9	Bol26	399	30597	100.0	99.74937343358395	398	398	[(16454, 16852)]	[(1, 399)]	[(16852, 16454)]	9974.937343358395
contig_35 [gcode=11] [topology=linear]	ESI26H	376	gb|AE001577.1|	cp32-4	B31	376	30299	100.0	99.7340425531915	375	375	[(15577, 15952)]	[(1, 376)]	[(15952, 15577)]	9973.40425531915
contig_37 [gcode=11] [topology=linear]	ESI26H	340	gb|AE001584.1|	lp56	B31	340	52971	100.0	99.70588235294117	339	339	[(11059, 11398)]	[(1, 340)]	[(11059, 11398)]	9970.588235294117
contig_38 [gcode=11] [topology=linear]	ESI26H	308	gb|CP001572.1|	cp32-5	Bol26	308	30186	100.0	99.67532467532467	307	307	[(4868, 5175)]	[(1, 308)]	[(4868, 5175)]	9967.532467532468
contig_39 [gcode=11] [topology=linear]	ESI26H	300	gb|CP001270.1|	cp32-11	156a	300	30439	99.33333333333333	99.66666666666667	299	299	[(16060, 16359)]	[(1, 300)]	[(16359, 16060)]	9900.222222222223
contig_4 [gcode=11] [topology=linear]	ESI26H	34728	gb|CP001567.1|	lp36	Bol26	34728	36936	97.55926463473634	99.99712047915227	34727	34724	[(2172, 36896)]	[(1, 34728)]	[(36896, 2172), (33617, 31115), (31263, 28754), (5335, 6070), (7341, 8081)]	9755.645539537229
contig_40 [gcode=11] [topology=linear]	ESI26H	297	gb|CP001570.1|	cp32-9	Bol26	297	30597	100.0	99.66329966329967	296	296	[(9823, 10119)]	[(1, 297)]	[(10119, 9823)]	9966.329966329968
contig_41 [gcode=11] [topology=linear]	ESI26H	297	gb|CP001211.1|	cp32-9	ZS7	297	30467	100.0	99.66329966329967	296	296	[(10183, 10479)]	[(1, 297)]	[(10479, 10183)]	9966.329966329968
contig_42 [gcode=11] [topology=linear]	ESI26H	296	gb|CP001200.1|	cp32-12	ZS7	296	29806	100.0	99.66216216216216	295	295	[(11259, 11554)]	[(1, 296)]	[(11259, 11554)]	9966.216216216217
contig_43 [gcode=11] [topology=linear]	ESI26H	262	gb|CP001572.1|	cp32-5	Bol26	262	30186	100.0	99.61832061068702	261	261	[(3608, 3869)]	[(1, 262)]	[(3608, 3869)]	9961.832061068702
contig_44 [gcode=11] [topology=linear]	ESI26H	260	gb|AE001581.1|	cp32-9	B31	260	30651	100.0	99.61538461538461	259	259	[(6723, 6982)]	[(1, 260)]	[(6723, 6982)]	9961.538461538461
contig_45 [gcode=11] [topology=linear]	ESI26H	258	gb|CP094605.1|	cp32-9	B31-5A4	258	30652	100.0	99.6124031007752	257	257	[(29693, 29950)]	[(1, 258)]	[(29950, 29693)]	9961.24031007752
contig_46 [gcode=11] [topology=linear]	ESI26H	253	gb|CP001202.1|	cp32-3+10	ZS7	253	48168	100.0	99.60474308300395	252	252	[(3844, 4096)]	[(1, 253)]	[(4096, 3844)]	9960.474308300396
contig_47 [gcode=11] [topology=linear]	ESI26H	242	gb|AE001580.1|	cp32-8	B31	242	30885	100.0	99.58677685950413	241	241	[(11666, 11907)]	[(1, 242)]	[(11907, 11666)]	9958.677685950413
contig_48 [gcode=11] [topology=linear]	ESI26H	235	gb|CP001211.1|	cp32-9	ZS7	235	30467	100.0	99.57446808510639	234	234	[(5189, 5423)]	[(1, 235)]	[(5423, 5189)]	9957.446808510638
contig_49 [gcode=11] [topology=linear]	ESI26H	230	gb|CP001496.1|	cp32-5	94a	230	29459	100.0	99.56521739130434	229	229	[(3870, 4099)]	[(1, 230)]	[(4099, 3870)]	9956.521739130434
contig_5 [gcode=11] [topology=linear]	ESI26H	30286	gb|CP001492.1|	cp32-7	94a	30286	30433	93.78773847008705	88.70765370138017	26866	26796	[(1, 15621), (17901, 21650), (15622, 17379), (28384, 30433), (22931, 26552)]	[(7181, 7426), (12622, 14671), (2080, 5820), (14672, 30286), (7488, 10943), (1, 1764)]	[(1, 15621), (17901, 21650), (23086, 26552), (28384, 30433), (15622, 17379), (22931, 23179)]	8319.690225640092
contig_50 [gcode=11] [topology=linear]	ESI26H	227	gb|AE001577.1|	cp32-4	B31	227	30299	100.0	99.55947136563876	226	226	[(15332, 15558)]	[(1, 227)]	[(15558, 15332)]	9955.947136563876
contig_51 [gcode=11] [topology=linear]	ESI26H	210	gb|CP019759.1|	cp32-4	B31_NRZ	210	30300	100.0	99.52380952380952	209	209	[(10179, 10388)]	[(1, 210)]	[(10179, 10388)]	9952.380952380952
contig_6 [gcode=11] [topology=linear]	ESI26H	27753	gb|CP001202.1|	cp32-3+10	ZS7	27753	48168	94.91495615908349	99.99639678593304	27752	39675	[(8901, 9426), (46175, 48168), (1, 2096), (2123, 4984), (35424, 44779), (12358, 13113), (5259, 5773), (13846, 35423)]	[(1, 27753)]	[(35423, 13846), (44779, 35424), (4984, 2123), (2096, 1), (48168, 46175), (13113, 12358), (9426, 8901), (5773, 5259)]	9491.153617003152
contig_7 [gcode=11] [topology=linear]	ESI26H	26979	gb|CP002314.1|	lp28-3	JD1	26979	28797	91.96559835342546	49.9054820415879	13464	13503	[(8327, 9047), (22299, 22778), (10289, 10761), (10800, 13511), (25360, 26042), (20744, 22255), (13745, 20673)]	[(22634, 23316), (6681, 9848), (20470, 20950), (11738, 20150), (9885, 10608)]	[(13745, 20673), (13511, 10800), (20744, 22255), (9047, 8327), (10761, 10289), (22299, 22778), (25360, 26042)]	4589.58751707076
contig_8 [gcode=11] [topology=linear]	ESI26H	26691	gb|CP001272.1|	lp28-4	156a	26691	29501	97.92672260196314	99.99625341875539	26690	26804	[(9446, 27346), (42, 8946)]	[(1, 26691)]	[(27346, 9446), (8946, 42), (25870, 24662), (24779, 23598), (9572, 10358), (18574, 19366)]	9792.305369774067
