contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	URI101H	910549	gb|CP124084.1|	chromosome	Am388	910549	910563	99.97980762967627	99.99978035229296	910547	910540	[(21, 910561)]	[(2, 910549)]	[(21, 910561), (434993, 438186), (438240, 441431), (213192, 213999), (213354, 214160), (213192, 213838), (213516, 214161), (213192, 213676), (213678, 214161), (213192, 213514)]	9997.95880263213
contig_10 [gcode=11] [topology=linear]	URI101H	30651	gb|CP094605.1|	cp32-9	B31-5A4	30651	30652	99.99673757014224	99.99347492740857	30649	30650	[(1, 5778), (5779, 30652)]	[(24874, 30651), (1, 24873)]	[(5779, 30652), (1, 5778)]	9999.021271042673
contig_11 [gcode=11] [topology=linear]	URI101H	30307	gb|CP019847.1|	cp32-3	PAli	30307	30418	98.99273104880581	95.25852113373148	28870	28846	[(28178, 30224), (1, 1026), (1027, 26802)]	[(27232, 29282), (29282, 30307), (1, 25796)]	[(1027, 26802), (28178, 30224), (1, 1026)]	9429.901162698465
contig_12 [gcode=11] [topology=linear]	URI101H	30299	gb|CP019848.1|	cp32-4	PAli	30299	30299	99.99339912208323	99.99339912208323	30297	30297	[(5927, 30299), (1, 5926)]	[(24374, 30299), (1, 24373)]	[(5927, 30299), (1, 5926)]	9998.679867988236
contig_13 [gcode=11] [topology=linear]	URI101H	30260	gb|CP001491.1|	cp32-11	94a	30260	30648	94.65439730261309	93.67151354923992	28345	28283	[(28250, 30648), (1, 1643), (1644, 17313), (17614, 26188)]	[(28615, 30260), (1, 15741), (16262, 24850), (26242, 28614)]	[(1644, 16958), (17614, 26188), (28250, 30648), (1, 1643), (16856, 17313)]	8866.42065942686
contig_14 [gcode=11] [topology=linear]	URI101H	29790	gb|AE001578.1|	cp32-6	B31	29790	29838	99.7893117517223	99.99328633769721	29788	29836	[(1, 1592), (1593, 29838)]	[(28199, 29790), (1, 28198)]	[(10317, 29838), (1593, 10375), (1, 1592)]	9978.2612234317
contig_15 [gcode=11] [topology=linear]	URI101H	29785	gb|CP094610.1|	lp28-2	B31-5A4	29785	29936	99.99328521067652	99.99664260533827	29784	29784	[(82, 29866)]	[(1, 29785)]	[(29866, 82)]	9998.992804145677
contig_16 [gcode=11] [topology=linear]	URI101H	29020	gb|CP074072.1|	lp21-cp9	B500	29020	24387	96.49512785024255	85.0447966919366	24680	22743	[(1644, 24387)]	[(1, 24681)]	[(3648, 24387), (1644, 9049), (3648, 9049), (3648, 8986), (3648, 9049), (3645, 9049), (3648, 9049), (3648, 9049), (3645, 9049), (3645, 9049)]	8206.408529786308
contig_17 [gcode=11] [topology=linear]	URI101H	28162	gb|AE000784.1|	lp28-3	B31	28162	28601	99.56912512202511	99.87926993821462	28128	26967	[(1634, 28601)]	[(1, 26969), (27002, 28162)]	[(1634, 28601), (28601, 27441), (5385, 5922), (8326, 8863), (10014, 10263), (10068, 10317)]	9944.891525574612
contig_18 [gcode=11] [topology=linear]	URI101H	26498	gb|CP124081.1|	cp26	Am388	26498	26498	98.25505656496401	99.99245226054796	26496	26496	[(1, 10789), (10790, 26498)]	[(1, 10789), (10790, 26498)]	[(26498, 10790), (10789, 1), (19294, 17966), (20759, 19431)]	9824.764052929604
contig_19 [gcode=11] [topology=linear]	URI101H	25084	gb|AE000789.1|	lp28-4	B31	25084	27323	96.43476530293123	99.99601339499281	25083	25116	[(1052, 26168)]	[(1, 25084)]	[(26168, 1052), (24198, 21953), (25289, 23017), (23139, 21953), (25293, 24081), (7919, 8705), (16923, 17714), (6094, 6812), (18530, 19250)]	9643.0920829749
