contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
NZ_CP161904.1 Borreliella burgdorferi strain PFhe_I chromosome, complete genome	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	910259	gb|CP124096.1|	chromosome	NE_5267	910259	910422	99.89816235271077	99.96132968748455	909907	910304	[(1, 910305)]	[(909, 909422), (73, 771), (909450, 910146)]	[(844840, 213669), (213832, 698), (909610, 844464), (441569, 438378), (438324, 435131), (910305, 909607), (699, 1), (213994, 213345), (214156, 213507), (213670, 213183)]	9985.953142113178
NZ_CP161905.1 Borreliella burgdorferi strain PFhe_I plasmid cp26, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	26504	gb|CP001212.1|	cp26	ZS7	26504	26514	97.30312467914713	99.99245396921219	26502	26512	[(2, 26514)]	[(1, 26503)]	[(2, 26514), (19448, 20782), (17976, 19317)]	9729.578215540134
NZ_CP161906.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-5, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	30705	gb|CP001565.1|	cp32-12	Bol26	30705	31433	95.59850073931433	94.37550887477609	28978	28987	[(10310, 17464), (22966, 31433), (1, 10071), (18743, 22039)]	[(745, 7886), (1, 432), (21064, 30705), (8411, 11717), (12604, 21063)]	[(1, 9641), (22966, 31433), (10310, 17464), (18743, 22039), (9640, 10071)]	9022.157154938448
NZ_CP161907.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-7, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	31008	gb|CP001208.1|	cp32-4	ZS7	31008	30964	99.07887953256574	93.78547471620226	29081	29067	[(22876, 30964), (1, 20980)]	[(1, 20989), (22915, 31008)]	[(1, 20980), (22876, 30964)]	9292.159751311094
NZ_CP161908.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-10, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	47043	gb|CP001202.1|	cp32-3+10	ZS7	47043	48168	93.18536500780303	91.60342665221181	43093	43988	[(19931, 44779), (2117, 6669), (8019, 12216), (1, 2096), (46122, 48168), (13680, 19930)]	[(26754, 28803), (40807, 47043), (35048, 39242), (1, 25172), (28864, 34307)]	[(19931, 44747), (13680, 19930), (2117, 6669), (8019, 12216), (30887, 34644), (13846, 17353), (46122, 48168), (2123, 4984), (41407, 44779), (1, 2096)]	8536.098748551869
NZ_CP161909.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-12, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	30708	gb|CP001565.1|	cp32-12	Bol26	30708	31433	99.01000238964942	95.33346359254918	29275	29249	[(29079, 31433), (4992, 26899), (1, 4989)]	[(1, 4990), (4991, 26899), (28330, 30708)]	[(5444, 26899), (1, 4989), (29079, 31433), (5447, 4992)]	9438.96645811185
NZ_CP161910.1 Borreliella burgdorferi strain PFhe_I plasmid lp17, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	17357	gb|CP001564.1|	lp17	Bol26	17357	17287	98.98639637236596	99.52180676384168	17274	17169	[(118, 17287)]	[(83, 17357)]	[(118, 13714), (13532, 17287), (486, 1166), (2604, 3293)]	9851.305012019644
NZ_CP161911.1 Borreliella burgdorferi strain PFhe_I plasmid lp25, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	24466	gb|CP001198.1|	lp25	ZS7	24466	24326	98.97165408112927	99.38690427532086	24316	24325	[(1, 24326)]	[(64, 24380)]	[(1, 24326), (17581, 16577), (12299, 11292)]	9836.486310131364
NZ_CP161912.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-2, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	29969	gb|CP094610.1|	lp28-2	B31-5A4	29969	29936	99.71276844460772	99.893222997097	29937	29935	[(1, 29936)]	[(12, 29949)]	[(1, 29936)]	9960.629813895095
NZ_CP161913.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-3	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	30430	gb|CP001203.1|	lp28-3	ZS7	30430	28414	93.10852840072025	59.93098915543871	18237	11494	[(2465, 6330), (6343, 13055), (1537, 2454)]	[(23806, 24517), (27811, 28722), (24583, 27746), (16806, 23532), (134, 6860)]	[(6343, 13055), (13055, 6343), (5625, 2465), (2454, 1537), (6330, 5621)]	5580.0862058624225
NZ_CP161914.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-4, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	28903	gb|CP001207.1|	lp28-4	ZS7	28903	28885	98.13203919055032	99.33916894440024	28712	28717	[(1, 28718)]	[(33, 28745)]	[(1, 28718), (22968, 24179), (24062, 25240), (9738, 8952), (18736, 17944)]	9748.355220008583
NZ_CP161915.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-7	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	15158	gb|CP002324.1|	lp28-6	JD1	15158	26981	92.46618765849534	61.92769494656287	9387	9419	[(16674, 20117), (20147, 23672), (23840, 25540), (5267, 6018)]	[(1838, 9564), (23, 1684)]	[(23672, 20147), (20117, 16674), (25540, 23840), (6018, 5267)]	5726.217862186936
NZ_CP161916.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-9, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	28224	gb|CP001566.1|	lp28-9	Bol26	28224	28200	99.4538407329105	99.8405612244898	28179	28181	[(3444, 28198), (1, 3428)]	[(43, 28222)]	[(3444, 26184), (1, 3428), (26069, 28198)]	9929.52727470481
