contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
NZ_CP161091.1 Borreliella burgdorferi strain Bb16-134 chromosome, complete genome	GCF_040790755.1_ASM4079075v1_genomic	902698	gb|CP002228.1|	chromosome	N40	902698	902191	99.78655986600093	99.9727483610244	902452	902114	[(1, 902115)]	[(246, 902698)]	[(212832, 902115), (1, 213156), (437231, 440422), (433984, 437177), (212832, 213157), (843297, 843610), (843264, 843577)]	9975.936639296007
NZ_CP161092.1 Borreliella burgdorferi strain Bb16-134 plasmid lp54, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	54723	gb|CP001651.1|	lp54	N40	54723	53786	98.6645525017618	98.85422948303273	54096	53774	[(12, 53786)]	[(20268, 49772), (50357, 54685), (1, 20265)]	[(20235, 47194), (12, 20299), (49456, 53786), (47094, 49662), (48166, 49444), (47164, 48404)]	9753.408314849892
NZ_CP161093.1 Borreliella burgdorferi strain Bb16-134 plasmid lp38, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	39050	gb|CP019853.1|	lp38	PAli	39050	38841	98.84919193753404	99.50832266325223	38858	38697	[(1, 8766), (8886, 34153), (34176, 38841)]	[(17, 10347), (10500, 39028)]	[(10280, 34153), (1, 6060), (34176, 38841), (5938, 8766), (22090, 24626), (31221, 33759), (8886, 10386)]	9836.317286321888
NZ_CP161094.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-9, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	30666	gb|CP002242.1|	cp32-9	N40	30666	30658	99.3617856909079	99.5923824430966	30541	30536	[(1, 14896), (15017, 30658)]	[(1, 14895), (15019, 30666)]	[(15017, 30658), (1, 14896)]	9895.676960757903
NZ_CP161095.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-13, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	30312	gb|CP017205.1|	cp32-11	B331	30312	30176	95.4187822177435	84.83108999736078	25714	25724	[(22953, 26305), (1, 10030), (10207, 14797), (28178, 30176), (15081, 20836)]	[(10193, 14785), (22848, 26209), (15060, 20796), (28314, 30312), (1, 10028)]	[(1, 10030), (15081, 20836), (10207, 14797), (22953, 26305), (28178, 30176)]	8094.479301751967
NZ_CP161096.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-1, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	30221	gb|AE001581.1|	cp32-9	B31	30221	30651	95.34151373656205	90.7613910856689	27429	27385	[(1, 17368), (28652, 30651), (21993, 22399), (18217, 20977), (23072, 27925)]	[(23285, 28146), (1, 16944), (22215, 22621), (18424, 21197), (16956, 17402), (28221, 30221)]	[(1, 10453), (10392, 16985), (23072, 27925), (18217, 20977), (28652, 30651), (16909, 17368), (21993, 22399)]	8653.328414943782
NZ_CP161097.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-10, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	30167	gb|CP002240.1|	cp32-10	N40	30167	30154	99.78784764809228	99.99668511950144	30166	30153	[(1, 30154)]	[(1, 30167)]	[(1, 30154)]	9978.453980019065
NZ_CP161098.1 Borreliella burgdorferi strain Bb16-134 plasmid lp28-2, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	29775	gb|CP002232.1|	lp28-2	N40	29775	29521	99.73941588547835	99.2174643157011	29542	29520	[(1, 29521)]	[(29542, 29773), (174, 29485)]	[(209, 29521), (232, 1)]	9895.89193648632
NZ_CP161099.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-8, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	29617	gb|CP017203.1|	cp32-8	B331	29617	29892	98.31997750597498	95.9212614376878	28409	28419	[(17962, 29892), (1, 16490)]	[(17698, 29617), (1, 16491)]	[(1, 16490), (17962, 29892)]	9430.97626689821
NZ_CP161100.1 Borreliella burgdorferi strain Bb16-134 plasmid lp28-4, complete sequence	GCF_040790755.1_ASM4079075v1_genomic	29570	gb|CP001272.1|	lp28-4	156a	29570	29501	98.18604235546421	99.82076428812987	29517	29500	[(1, 29501)]	[(21, 29538)]	[(7827, 29501), (1, 7865), (24662, 25870), (23598, 24779), (19368, 18574), (10358, 9572)]	9801.005790349129
