contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	URI88H	906672	gb|CP124080.1|	chromosome	Sh-2-82	906672	907764	99.75031578671798	99.89963294333563	905762	905453	[(20, 905473)]	[(775566, 905796), (1, 775533)]	[(213025, 775274), (20, 213998), (775249, 905473), (434850, 438043), (438097, 441288), (213029, 213997), (213192, 213997), (213029, 213837), (213354, 213998), (213029, 213675)]	9965.019933074944
contig_10 [gcode=11] [topology=linear]	URI88H	30636	gb|CP094585.1|	cp32-5	B379	30636	30637	99.97715180990305	99.99347173260217	30634	30635	[(1, 11663), (11664, 30637)]	[(11663, 30636), (1, 11662)]	[(30637, 11664), (11663, 1)]	9997.062503409617
contig_11 [gcode=11] [topology=linear]	URI88H	30439	gb|CP001270.1|	cp32-11	156a	30439	30439	99.9474358553172	99.99342948191466	30437	30437	[(1, 5976), (5977, 30439)]	[(24464, 30439), (1, 24463)]	[(5977, 30439), (1, 5976)]	9994.086879096849
contig_12 [gcode=11] [topology=linear]	URI88H	30300	gb|CP001263.1|	cp32-4	156a	30300	30300	99.97359735973598	99.993399339934	30298	30298	[(1, 12686), (12687, 30300)]	[(1, 12686), (12687, 30300)]	[(30300, 12687), (12686, 1)]	9996.699844241852
contig_13 [gcode=11] [topology=linear]	URI88H	30258	gb|CP001267.1|	lp38	156a	30258	30302	99.758119134389	99.98017053341265	30252	30251	[(1, 30252)]	[(1, 30253)]	[(30252, 1), (3319, 2943), (17052, 16680)]	9973.833763148708
contig_14 [gcode=11] [topology=linear]	URI88H	29970	gb|CP074072.1|	lp21-cp9	B500	29970	24387	96.53548696187804	85.52552552552552	25632	24321	[(66, 24387)]	[(4338, 29970)]	[(24387, 3648), (9049, 66), (9049, 3648), (9049, 3645), (9067, 3648), (9049, 3648), (9049, 3648), (9049, 3711), (9049, 3648), (8986, 3648)]	8256.248254277136
contig_15 [gcode=11] [topology=linear]	URI88H	29050	gb|CP001455.1|	lp28-6	WI91-23	29050	29782	98.24366862212047	95.17728055077453	27649	27610	[(30, 9340), (10590, 28890)]	[(1, 9311), (10711, 29050)]	[(10590, 28890), (30, 9340), (28326, 28600)]	9350.565210784884
contig_16 [gcode=11] [topology=linear]	URI88H	26522	gb|CP001271.1|	cp26	156a	26522	26522	98.09647711321853	99.99245909056633	26520	26520	[(1, 11791), (11792, 26522)]	[(1, 11791), (11792, 26522)]	[(26522, 11792), (11791, 1), (19317, 17982), (20782, 19449)]	9808.90797467218
contig_17 [gcode=11] [topology=linear]	URI88H	21662	gb|CP001258.1|	lp17	156a	21662	17849	99.97693088493126	99.76918105438094	21612	17848	[(1, 17849)]	[(1, 3617), (3636, 21632)]	[(3566, 17849), (1, 3771), (3616, 1)]	9974.616518720037
contig_18 [gcode=11] [topology=linear]	URI88H	21335	gb|CP001268.1|	cp32-7	156a	21335	21329	99.92500585891727	99.99062573236466	21333	21327	[(6547, 21329), (1, 6546)]	[(6547, 21335), (1, 6546)]	[(21329, 6547), (6546, 1)]	9991.563862143343
contig_19 [gcode=11] [topology=linear]	URI88H	16730	gb|CP017214.1|	lp28-11	B331	16730	23104	98.61877356618378	87.22653915122535	14593	15530	[(6257, 20268), (20662, 22181)]	[(1, 13073), (15209, 16730)]	[(11337, 20268), (6257, 12076), (11028, 12698), (10715, 12387), (20662, 22181), (11648, 13009), (10404, 11765), (11959, 13009), (10404, 11454), (12270, 13009)]	8602.174313516558
contig_2 [gcode=11] [topology=linear]	URI88H	59619	gb|CP001265.1|	lp25	156a	59619	24910	98.49770519799338	55.84461329441957	33294	24909	[(1, 24910)]	[(26218, 27372), (27445, 52356), (52389, 59618)]	[(24910, 1), (1, 7231), (19390, 18130), (22040, 20780), (23760, 24910), (11189, 11997), (16278, 17089)]	5500.56625716968
contig_20 [gcode=11] [topology=linear]	URI88H	14883	gb|CP001261.1|	cp32-1	156a	14883	14883	99.97984277363436	99.98656184908955	14881	14881	[(10828, 14883), (1, 10827)]	[(4057, 14883), (1, 4056)]	[(1, 10827), (10828, 14883)]	9996.64073314824
contig_21 [gcode=11] [topology=linear]	URI88H	3168	gb|CP094571.1|	lp28-1	B408	3168	22481	99.90530303030303	99.96843434343434	3167	3167	[(1881, 5048)]	[(1, 3168)]	[(1881, 5048)]	9987.37672654576
contig_22 [gcode=11] [topology=linear]	URI88H	887	gb|CP094571.1|	lp28-1	B408	887	22481	100.0	99.88726042841037	886	886	[(5089, 5975)]	[(1, 887)]	[(5089, 5975)]	9988.726042841037
contig_23 [gcode=11] [topology=linear]	URI88H	623	gb|CP094571.1|	lp28-1	B408	623	22481	100.0	99.83948635634029	622	622	[(1237, 1859)]	[(1, 623)]	[(1237, 1859)]	9983.94863563403
contig_24 [gcode=11] [topology=linear]	URI88H	488	gb|CP002314.1|	lp28-3	JD1	488	28797	99.17355371900827	98.77049180327869	482	240	[(28555, 28795)]	[(1, 242), (247, 488)]	[(28555, 28795), (28795, 28555)]	9795.420674705325
contig_25 [gcode=11] [topology=linear]	URI88H	387	gb|CP002306.1|	lp28-1	JD1	387	24354	98.83268482490273	66.1498708010336	256	255	[(23012, 23267)]	[(1, 257)]	[(23012, 23267)]	6537.769332086589
contig_26 [gcode=11] [topology=linear]	URI88H	356	gb|CP074060.1|	lp28-3	B500	356	27653	100.0	99.71910112359551	355	355	[(26796, 27151)]	[(1, 356)]	[(26796, 27151)]	9971.91011235955
contig_3 [gcode=11] [topology=linear]	URI88H	54954	gb|CP002319.1|	lp28-7	JD1	54954	29993	98.6589239308287	56.68195217818539	31149	29720	[(18716, 29993), (1, 18444)]	[(35016, 53456), (53521, 54954), (23486, 34762)]	[(18444, 1), (29993, 18716), (1, 1437)]	5592.180408198463
contig_4 [gcode=11] [topology=linear]	URI88H	53918	gb|CP001257.1|	lp54	156a	53918	53885	99.05105870689044	99.90726659000705	53868	53884	[(1, 53885)]	[(47, 53915)]	[(53885, 1), (48505, 47266), (49546, 48267)]	9895.920528251743
