contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	UWI248P	910022	gb|CP124084.1|	chromosome	Am388	910022	910563	99.47799605340636	99.99615393913554	909987	910118	[(20319, 904928), (905173, 910562), (42, 20162)]	[(690, 20159), (20159, 910022), (12, 667)]	[(20319, 556913), (556730, 844834), (844489, 904928), (693, 20162), (905173, 910562), (438240, 441431), (434993, 438186), (213362, 214160), (213192, 213999), (42, 698)]	9947.41700691314
contig_10 [gcode=11] [topology=linear]	UWI248P	18037	gb|CP001258.1|	lp17	156a	18037	17849	99.96123387052113	99.88911681543495	18017	17848	[(1, 17849)]	[(10, 18027)]	[(3566, 17849), (1, 3771)]	9985.039367107498
contig_11 [gcode=11] [topology=linear]	UWI248P	24962	gb|CP001265.1|	lp25	156a	24962	24910	98.42836508700736	99.7956894479609	24911	24909	[(1, 24910)]	[(36, 24947)]	[(24910, 1), (19390, 18130), (22040, 20780), (16278, 17089), (11189, 11997)]	9822.726555093503
contig_12 [gcode=11] [topology=linear]	UWI248P	26763	gb|CP001273.1|	lp28-1	156a	26763	24159	93.23511980357294	90.25520307887756	24155	24158	[(1, 24159)]	[(26, 24181)]	[(1, 24159), (15667, 19602), (15056, 18972), (19580, 23672), (15064, 19097), (19583, 23540), (15678, 19598), (19583, 23046), (16304, 19598), (20214, 23672)]	8414.954671954954
contig_13 [gcode=11] [topology=linear]	UWI248P	28598	gb|CP001203.1|	lp28-3	ZS7	28598	28414	99.01794784964443	99.41254633191133	28430	28399	[(1, 28400)]	[(121, 16969), (16976, 28558)]	[(28400, 11558), (11587, 1), (20196, 19659), (23137, 22600)]	9843.626328293556
contig_14 [gcode=11] [topology=linear]	UWI248P	29603	gb|CP001272.1|	lp28-4	156a	29603	29501	97.7707841594545	99.82434212748707	29551	29500	[(1, 29501)]	[(20, 29571)]	[(1, 29501), (23598, 24779), (24662, 25870), (10358, 9572), (19366, 18574), (20895, 20175)]	9759.904208006079
contig_15 [gcode=11] [topology=linear]	UWI248P	26921	gb|CP094592.1|	lp28-5	B379	26921	27673	99.44616843375572	99.09364436685115	26677	27634	[(3339, 27673), (1, 3301)]	[(71, 26748)]	[(3339, 16803), (15258, 27673), (1, 3301), (15125, 17601), (14726, 17202), (14992, 17468), (14460, 16936), (14859, 17335), (14593, 17069), (15391, 17734)]	9854.483248420567
contig_16 [gcode=11] [topology=linear]	UWI248P	23674	gb|CP001260.1|	lp36	156a	23674	23638	99.27487225728885	99.84371039959449	23637	23637	[(1, 23638)]	[(18, 23655)]	[(23638, 1), (19165, 19905), (20284, 21025), (2735, 3471), (4742, 5482)]	9911.971595613484
contig_17 [gcode=11] [topology=linear]	UWI248P	30325	gb|CP001267.1|	lp38	156a	30325	30302	99.74884889074926	99.92415498763395	30302	30301	[(1, 30302)]	[(8, 30310)]	[(1, 30302), (2943, 3319), (16680, 17052)]	9967.319436397309
contig_18 [gcode=11] [topology=linear]	UWI248P	53777	gb|CP001257.1|	lp54	156a	53777	53885	98.82933385205752	99.95723078639567	53754	53884	[(1, 53885)]	[(5, 53759)]	[(1, 47224), (47197, 53885), (47266, 48551), (48267, 49546)]	9878.706532315859
contig_2 [gcode=11] [topology=linear]	UWI248P	26521	gb|CP001271.1|	cp26	156a	26521	26522	98.7170925450775	99.99245880622902	26519	26521	[(1, 26522)]	[(18732, 26521), (1, 18731)]	[(18732, 1), (26522, 18733), (19317, 17982), (20782, 20198)]	9870.96480978436
contig_3 [gcode=11] [topology=linear]	UWI248P	14882	gb|CP001261.1|	cp32-1	156a	14882	14883	99.96640462272391	99.98656094610939	14880	14881	[(2473, 14883), (1, 2472)]	[(2473, 14882), (1, 2472)]	[(14883, 2473), (2472, 1)]	9995.297008373416
contig_4 [gcode=11] [topology=linear]	UWI248P	30440	gb|CP001270.1|	cp32-11	156a	30440	30439	99.81274638633377	99.9934296977661	30438	30437	[(9712, 30439), (1, 9711)]	[(20730, 30440), (1, 20729)]	[(9712, 30439), (1, 9711)]	9980.618838722823
contig_5 [gcode=11] [topology=linear]	UWI248P	30661	gb|CP001266.1|	cp32-12	156a	30661	30652	99.95433938880011	99.99347705554287	30659	30650	[(1, 9696), (9697, 30652)]	[(20965, 30661), (1, 20964)]	[(9697, 30652), (1, 9696)]	9994.781942275928
contig_6 [gcode=11] [topology=linear]	UWI248P	30111	gb|CP001264.1|	cp32-3	156a	30111	30280	97.30193284517449	99.98007372720933	30105	30274	[(12945, 30280), (1, 12940)]	[(12855, 30107), (1, 12854)]	[(30280, 12945), (12940, 1)]	9728.254419660516
contig_7 [gcode=11] [topology=linear]	UWI248P	30301	gb|CP001263.1|	cp32-4	156a	30301	30300	99.78218540642223	99.99339955777037	30299	30298	[(13004, 30300), (1, 13003)]	[(1, 17297), (17298, 30301)]	[(13004, 30300), (1, 13003)]	9977.559934091902
contig_8 [gcode=11] [topology=linear]	UWI248P	30657	gb|CP094586.1|	cp32-6	B379	30657	30642	99.18807877918351	99.99347620445576	30655	30640	[(1, 14311), (14312, 30642)]	[(1, 16347), (16348, 30657)]	[(14312, 30642), (1, 14311)]	9918.16079517197
contig_9 [gcode=11] [topology=linear]	UWI248P	21331	gb|CP001268.1|	cp32-7	156a	21331	21329	99.84998359195536	99.99062397449721	21329	21327	[(1, 8545), (8546, 21329)]	[(1, 12786), (12787, 21331)]	[(8546, 21329), (1, 8545)]	9984.062163202925
