contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	B331P	903654	gb|CP017201.2|	chromosome	B331	903654	903654	99.96726702578377	99.99988933817589	903653	903653	[(1, 903654)]	[(1, 903654)]	[(1, 903654), (435224, 438417), (438473, 441664), (213092, 214221), (213253, 214382), (213086, 214060), (213410, 214383), (213092, 213897), (213577, 214382), (213098, 213736)]	9996.715640018256
contig_10 [gcode=11] [topology=linear]	B331P	8714	gb|CP017210.1|	cp9	B331	8714	8714	100.0	99.98852421390865	8713	8713	[(1, 8714)]	[(1, 8714)]	[(1, 8714)]	9998.852421390864
contig_11 [gcode=11] [topology=linear]	B331P	15594	gb|CP017211.1|	lp17	B331	15594	15594	100.0	99.99358727715789	15593	15593	[(1, 15594)]	[(1, 15594)]	[(1, 15594)]	9999.35872771579
contig_12 [gcode=11] [topology=linear]	B331P	24722	gb|CP017212.1|	lp25	B331	24722	24723	99.03159469059636	99.9959550198204	24721	24721	[(1, 24722)]	[(1, 24722)]	[(1, 24722), (12076, 11071), (17343, 16341)]	9902.758888221959
contig_13 [gcode=11] [topology=linear]	B331P	27641	gb|CP017213.1|	lp28-3	B331	27641	27643	99.55427098930947	99.99638218588329	27640	27640	[(2, 27642)]	[(1, 27641)]	[(2, 27642), (4035, 4572), (6975, 7512)]	9955.066930083984
contig_14 [gcode=11] [topology=linear]	B331P	23102	gb|CP017214.1|	lp28-11	B331	23102	23104	99.94842303427289	99.99567137044411	23101	23101	[(2, 23103)]	[(1, 23102)]	[(2, 23103), (10404, 12698), (10715, 13009), (10406, 12387), (11028, 13009), (10404, 12076), (11337, 13009), (10404, 11765), (11648, 13009), (10404, 11454)]	9994.409663729279
contig_15 [gcode=11] [topology=linear]	B331P	29288	gb|CP017215.2|	lp28-6	B331	29288	29288	100.0	99.9965856323409	29287	29287	[(1, 29288)]	[(1, 29288)]	[(29288, 1)]	9999.65856323409
contig_16 [gcode=11] [topology=linear]	B331P	30208	gb|CP074057.1|	lp36	B500	30208	30208	99.82679698131882	99.99668961864407	30207	30207	[(1, 30208)]	[(1, 30208)]	[(1, 30208), (2629, 3370), (21529, 22271), (5059, 5376), (22368, 22676)]	9982.349233364333
contig_17 [gcode=11] [topology=linear]	B331P	38924	gb|CP017217.1|	lp38	B331	38924	38925	99.77269627676502	99.99743089096701	38923	38923	[(1, 38924)]	[(1, 38924)]	[(1, 38924), (22164, 23760), (31284, 32876), (29205, 28271), (33816, 32880)]	9977.013300741251
contig_18 [gcode=11] [topology=linear]	B331P	53758	gb|CP017218.1|	lp54	B331	53758	53759	99.19058522818041	99.99813981174896	53757	53757	[(2, 53759)]	[(1, 53758)]	[(2, 53759), (4361, 5639), (5401, 6640)]	9918.874009656785
contig_19 [gcode=11] [topology=linear]	B331P	27679	gb|CP017219.1|	lp56	B331	27679	27681	100.0	99.99638715271504	27678	27678	[(2, 27680)]	[(1, 27679)]	[(27680, 2)]	9999.638715271505
contig_2 [gcode=11] [topology=linear]	B331P	26506	gb|CP017202.2|	cp26	B331	26506	26506	98.30763960260363	99.99622726929752	26505	26505	[(1, 26506)]	[(1, 26506)]	[(1, 26506), (17974, 19308), (19439, 20773)]	9830.393072010145
contig_3 [gcode=11] [topology=linear]	B331P	30192	gb|CP017204.1|	cp32-3	B331	30192	30192	100.0	99.99668786433492	30191	30191	[(1, 30192)]	[(1, 30192)]	[(1, 30192)]	9999.66878643349
contig_4 [gcode=11] [topology=linear]	B331P	30176	gb|CP074071.1|	cp32-11	B500	30176	30176	100.0	99.99668610816543	30175	30175	[(1, 30176)]	[(1, 30176)]	[(1, 30176)]	9999.668610816543
contig_5 [gcode=11] [topology=linear]	B331P	29892	gb|CP017203.1|	cp32-8	B331	29892	29892	100.0	99.99665462331059	29891	29891	[(1, 29892)]	[(1, 29892)]	[(1, 29892)]	9999.665462331059
contig_6 [gcode=11] [topology=linear]	B331P	30617	gb|CP017206.1|	cp32-4	B331	30617	30617	100.0	99.99673384067674	30616	30616	[(1, 30617)]	[(1, 30617)]	[(1, 30617)]	9999.673384067673
contig_7 [gcode=11] [topology=linear]	B331P	18340	gb|CP074067.1|	cp32-5	B500	18340	18341	100.0	99.99454743729554	18339	18339	[(1, 18340)]	[(1, 18340)]	[(1, 18340)]	9999.454743729553
contig_8 [gcode=11] [topology=linear]	B331P	30017	gb|CP017208.1|	cp32-6	B331	30017	30017	100.0	99.9966685544858	30016	30016	[(1, 30017)]	[(1, 30017)]	[(1, 30017)]	9999.666855448579
contig_9 [gcode=11] [topology=linear]	B331P	30054	gb|CP017209.1|	cp32-7	B331	30054	30054	100.0	99.99667265588607	30053	30053	[(1, 30054)]	[(1, 30054)]	[(1, 30054)]	9999.667265588607
