contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	UCT30H	905470	gb|CP124080.1|	chromosome	Sh-2-82	905470	907764	99.98308015422167	99.99988956011795	905469	905469	[(2, 905471)]	[(1, 905470)]	[(2, 905471), (434850, 438043), (438097, 441288), (213025, 213837), (213187, 213998), (213025, 213675), (213349, 213998), (213025, 213512), (213511, 213997), (213029, 213350)]	9998.296973302588
contig_10 [gcode=11] [topology=linear]	UCT30H	30260	gb|CP094584.1|	cp32-3	B379	30260	30263	99.43827650013218	99.99339061467283	30258	30261	[(1, 17694), (17695, 30263)]	[(1, 17692), (17693, 30260)]	[(17694, 1), (30263, 17695)]	9943.170424127558
contig_11 [gcode=11] [topology=linear]	UCT30H	26514	gb|CP124077.1|	cp26	Sh-2-82	26514	26514	98.23933975240715	99.51346458474768	26385	26385	[(1, 26386)]	[(129, 26514)]	[(1, 26386), (17971, 19310), (19438, 20775)]	9776.137057280164
contig_12 [gcode=11] [topology=linear]	UCT30H	26498	gb|CP094590.1|	lp28-3	B379	26498	28768	99.54123546356556	99.99622613027398	26497	26537	[(1064, 3131), (3188, 27658)]	[(1, 26498)]	[(3188, 27658), (1064, 3131), (5417, 5954), (8358, 8895), (10046, 10295), (10100, 10349)]	9953.747890701548
contig_13 [gcode=11] [topology=linear]	UCT30H	25841	gb|CP001260.1|	lp36	156a	25841	23638	99.09609233764428	99.62075771061491	25743	22787	[(1, 22788)]	[(3031, 3285), (2738, 2992), (3314, 25841), (1, 2709)]	[(252, 22788), (2979, 252), (21025, 20284), (19905, 19165), (3471, 2735), (5482, 4742), (1, 255), (255, 1)]	9872.027804837184
contig_14 [gcode=11] [topology=linear]	UCT30H	21483	gb|CP094589.1|	lp17	B379	21483	17965	99.9862416876863	99.99534515663548	21482	17957	[(8, 17965)]	[(1, 21483)]	[(8, 14301), (14096, 17965), (17965, 14326)]	9998.158748474967
contig_15 [gcode=11] [topology=linear]	UCT30H	21164	gb|CP094587.1|	cp32-7	B379	21164	21166	99.94802985920816	99.99054999055	21162	21164	[(6610, 21166), (1, 6609)]	[(6610, 21164), (1, 6609)]	[(21166, 6610), (6609, 1)]	9993.858476094138
contig_16 [gcode=11] [topology=linear]	UCT30H	21163	gb|CP094588.1|	cp32-9	B379	21163	21173	99.60328705015586	99.9905495440155	21161	21171	[(1, 13334), (13335, 21173)]	[(13326, 21163), (1, 13325)]	[(13334, 1), (21173, 13335)]	9959.387408535405
contig_17 [gcode=11] [topology=linear]	UCT30H	8754	gb|CP094585.1|	cp32-5	B379	8754	30637	100.0	99.98857665067398	8753	8753	[(20106, 28859)]	[(1, 8754)]	[(28859, 20106)]	9998.857665067399
contig_18 [gcode=11] [topology=linear]	UCT30H	7455	gb|CP094581.1|	cp32-11	B379	7455	30287	99.98658798283262	99.98658618376928	7454	7455	[(20884, 28339)]	[(1, 7455)]	[(20884, 28339)]	9997.317596566523
contig_19 [gcode=11] [topology=linear]	UCT30H	5937	gb|CP094582.1|	cp32-12	B379	5937	30796	99.98315931289997	99.98315647633484	5936	5937	[(16465, 22402)]	[(1, 5937)]	[(16465, 22402)]	9996.631862579992
contig_2 [gcode=11] [topology=linear]	UCT30H	57651	gb|CP001265.1|	lp25	156a	57651	24910	98.88847509095598	53.32604811711852	30743	24909	[(1, 24910)]	[(52970, 57651), (26802, 27950), (28023, 52937)]	[(24910, 1), (1, 4680), (19390, 18130), (22040, 20780), (23760, 24910), (11189, 11997), (16278, 17089)]	5273.331580928794
contig_20 [gcode=11] [topology=linear]	UCT30H	1244	gb|CP124080.1|	chromosome	Sh-2-82	1244	907764	100.0	99.91961414790997	1243	1243	[(905472, 906715)]	[(1, 1244)]	[(906715, 905472)]	9991.961414790996
contig_21 [gcode=11] [topology=linear]	UCT30H	1145	gb|CP094582.1|	cp32-12	B379	1145	30796	99.82532751091703	99.91266375545852	1144	1144	[(14956, 16100)]	[(1, 1145)]	[(16100, 14956)]	9973.814381876777
contig_22 [gcode=11] [topology=linear]	UCT30H	1102	gb|CP094586.1|	cp32-6	B379	1102	30642	100.0	99.90925589836661	1101	1101	[(4116, 5217)]	[(1, 1102)]	[(5217, 4116)]	9990.925589836661
contig_23 [gcode=11] [topology=linear]	UCT30H	1087	gb|CP001272.1|	lp28-4	156a	1087	29501	100.0	99.90800367985281	1086	1086	[(694, 1780)]	[(1, 1087)]	[(1780, 694)]	9990.80036798528
