contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	UNY193P	910086	gb|CP124092.1|	chromosome	Am293	910086	910655	99.45011945643242	99.81309458666544	908385	908536	[(1, 904957), (905275, 908855)]	[(692, 908457), (45, 665)]	[(213280, 904957), (623, 214087), (905275, 908855), (438328, 441519), (435081, 438274), (213118, 213926), (213442, 214249), (213604, 214249), (213118, 213764), (1, 625)]	9926.424179960066
contig_10 [gcode=11] [topology=linear]	UNY193P	24809	gb|CP001265.1|	lp25	156a	24809	24910	97.70559778852798	99.79039864565279	24757	24756	[(17961, 24910), (1, 17808)]	[(17827, 24774), (16, 17826)]	[(1, 17808), (17961, 24910), (20780, 22040), (18124, 19390), (11997, 11189), (17089, 16278)]	9750.080553229018
contig_11 [gcode=11] [topology=linear]	UNY193P	28850	gb|CP001256.1|	lp28-3	156a	28850	28770	99.42445091293993	99.63258232235702	28744	28654	[(116, 28770)]	[(91, 28835)]	[(10039, 28770), (116, 10288), (5409, 5946), (8351, 8888), (10039, 10288)]	9905.914790438632
contig_12 [gcode=11] [topology=linear]	UNY193P	30714	gb|CP002318.1|	lp28-4	JD1	30714	30096	97.08743338878394	97.30741681317966	29887	29514	[(10379, 30096), (1, 9798)]	[(538, 975), (982, 30432)]	[(10379, 30096), (1, 9798), (25504, 26712), (24440, 25621), (1445, 1883), (11210, 10424), (20200, 19407), (21736, 21016), (9225, 8490)]	9447.327348084214
contig_13 [gcode=11] [topology=linear]	UNY193P	26719	gb|CP001262.1|	lp28-6	156a	26719	26705	99.46844351276484	99.97005875968412	26711	26702	[(1, 26703)]	[(8, 26719)]	[(1, 26703)]	9943.866142705421
contig_14 [gcode=11] [topology=linear]	UNY193P	30066	gb|CP002319.1|	lp28-7	JD1	30066	29993	98.7353692990717	98.83922038182665	29717	29720	[(18716, 29993), (1, 18444)]	[(11593, 30034), (63, 11339)]	[(18444, 1), (29993, 18716)]	9758.92692563199
contig_15 [gcode=11] [topology=linear]	UNY193P	30148	gb|CP002232.1|	lp28-2	N40	30148	29521	89.39787957591518	16.49197293352793	4972	4988	[(2949, 4220), (4287, 8004)]	[(18719, 19989), (13852, 17554)]	[(8004, 4287), (4220, 2949)]	1474.3474102807825
contig_16 [gcode=11] [topology=linear]	UNY193P	34344	gb|CP094613.1|	lp36	B31-5A4	34344	36662	96.4561627330073	96.58746797111577	33172	30802	[(3513, 34315)]	[(1172, 34344)]	[(3513, 33286), (28429, 34315), (30790, 33286), (28429, 30933), (5805, 5069), (7815, 7076)]	9316.456528591074
contig_17 [gcode=11] [topology=linear]	UNY193P	27790	gb|CP001267.1|	lp38	156a	27790	30302	98.5277105899674	99.87765383231378	27756	27722	[(1, 17933), (20512, 30302)]	[(8, 17965), (17976, 27775)]	[(1, 17933), (20512, 30302), (16680, 17045), (2940, 3319)]	9840.71657119516
contig_18 [gcode=11] [topology=linear]	UNY193P	54004	gb|CP124107.1|	lp54	80a	54004	54709	98.39578784250193	99.99074142656099	53999	54044	[(5197, 54709), (2, 4534)]	[(1, 4530), (4534, 54004)]	[(5237, 54709), (2, 4534), (5197, 6594), (6352, 7595)]	9838.667779622363
contig_19 [gcode=11] [topology=linear]	UNY193P	5255	gb|CP001462.1|	lp5	WI91-23	5255	5252	99.6952961340697	99.90485252140819	5250	5250	[(2, 5252)]	[(5, 5255)]	[(5252, 2)]	9960.043857352348
