contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	ESI403H	910442	gb|CP001205.1|	chromosome	ZS7	910442	906707	99.94248938792278	99.92662904391494	909774	906426	[(1, 906093), (906094, 906428)]	[(138340, 438182), (909796, 910130), (49, 138088), (438236, 909795)]	[(552989, 906093), (212885, 437686), (1, 138039), (434493, 553112), (138037, 213684), (213047, 213695), (212885, 213522), (213209, 213695), (212885, 213372), (906428, 906094)]	9986.916062792365
contig_10 [gcode=11] [topology=linear]	ESI403H	29808	gb|CP094610.1|	lp28-2	B31-5A4	29808	29936	99.66123297779566	99.99664519592056	29807	29804	[(69, 29873)]	[(1, 29808)]	[(29873, 69)]	9965.78895386861
contig_11 [gcode=11] [topology=linear]	ESI403H	26514	gb|CP001212.1|	cp26	ZS7	26514	26514	98.2233328768999	99.9924568152674	26512	26512	[(4745, 26514), (1, 4744)]	[(4745, 26514), (1, 4744)]	[(26514, 4745), (4744, 1), (20782, 19443), (19317, 17976)]	9821.592370945049
contig_12 [gcode=11] [topology=linear]	ESI403H	25492	gb|CP001207.1|	lp28-4	ZS7	25492	28885	98.01581936181721	99.99607720069041	25491	25555	[(1133, 1724), (1752, 26716)]	[(1, 25492)]	[(26716, 1752), (24179, 22968), (25240, 24062), (1724, 1133), (8952, 9738), (17944, 18736)]	9801.197439793199
contig_13 [gcode=11] [topology=linear]	ESI403H	24417	gb|CP001198.1|	lp25	ZS7	24417	24326	98.97544871551625	99.59454478437154	24318	24325	[(1, 24326)]	[(60, 24378)]	[(24326, 1), (16577, 17581), (11292, 12299)]	9857.414759650752
contig_14 [gcode=11] [topology=linear]	ESI403H	23639	gb|CP001208.1|	cp32-4	ZS7	23639	30964	98.64815155416589	91.84398663226024	21711	21714	[(9273, 20980), (1, 1920), (22876, 30964)]	[(1, 11718), (13644, 21719), (21720, 23639)]	[(9273, 20980), (22876, 30964), (1, 1920)]	9060.239512637994
contig_15 [gcode=11] [topology=linear]	ESI403H	11798	gb|CP001210.1|	lp28-1	ZS7	11798	23422	98.50544445235214	99.99152398711647	11797	14018	[(3132, 3445), (6033, 17831), (1397, 1716), (1967, 2284), (4878, 5194), (824, 1143), (4283, 4603), (245, 561)]	[(1, 11798)]	[(6033, 17831), (4878, 5194), (245, 561), (824, 1143), (3132, 3445), (1967, 2284), (1397, 1716), (4283, 4603)]	9849.709511818937
contig_16 [gcode=11] [topology=linear]	ESI403H	9095	gb|CP001501.1|	cp9	94a	9095	8696	84.13161182840483	51.995601979109395	4729	4771	[(2718, 3347), (189, 1853), (6152, 8630)]	[(2993, 4639), (6176, 6805), (272, 2726)]	[(6152, 8630), (189, 1853), (2718, 3347)]	4374.473802490669
contig_17 [gcode=11] [topology=linear]	ESI403H	3518	gb|CP001210.1|	lp28-1	ZS7	3518	23422	99.94321408290745	99.97157475838546	3517	3520	[(20953, 21947), (18400, 20926)]	[(1, 3518)]	[(20926, 18400), (21947, 20953)]	9991.480498282705
contig_18 [gcode=11] [topology=linear]	ESI403H	3457	gb|CP094609.1|	lp28-1	B31-5A4	3457	28447	92.05053449951409	99.91321955452705	3454	8135	[(24127, 28388), (18910, 22784)]	[(3, 3457)]	[(26619, 24345), (27057, 24911), (22272, 19976), (21678, 19406), (22784, 20560), (21111, 18910), (26637, 28388), (26037, 24127), (27057, 25485), (20541, 18910)]	9197.065263561517
