contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	XYZ459H	903233	gb|CP002228.1|	chromosome	N40	903233	902191	99.4743326759289	99.96080745499776	902879	902100	[(19951, 902101), (1, 19951)]	[(20306, 903233), (197, 20149)]	[(212838, 843612), (19951, 213156), (843264, 902101), (1, 19951), (437231, 440422), (433984, 437177), (212838, 213156), (212838, 213156), (212838, 213156), (843297, 843612)]	9943.534615332921
contig_10 [gcode=11] [topology=linear]	XYZ459H	26537	gb|CP002239.1|	cp26	N40	26537	26498	97.06304704595186	99.99246335305423	26535	26496	[(2586, 26498), (1, 2585)]	[(1, 23952), (23953, 26537)]	[(2586, 26498), (1, 2585), (19422, 20759), (17955, 19300)]	9705.57317467812
contig_11 [gcode=11] [topology=linear]	XYZ459H	23858	gb|CP001459.1|	lp25	WI91-23	23858	24661	95.65952427757027	99.06530304300443	23635	23720	[(19886, 24568), (270, 19308)]	[(31, 940), (7049, 23830), (1011, 6956)]	[(17031, 270), (23665, 19886), (19308, 17124), (24568, 23661), (16312, 17314), (11331, 12047)]	9476.539761507138
contig_12 [gcode=11] [topology=linear]	XYZ459H	16977	gb|CP124090.1|	lp17	Am293	16977	16928	98.09797565898111	96.07115509218355	16310	16310	[(1327, 16891), (134, 880)]	[(98, 841), (1410, 16977)]	[(1327, 16891), (134, 880)]	9424.385833763221
contig_13 [gcode=11] [topology=linear]	XYZ459H	13528	gb|CP094582.1|	cp32-12	B379	13528	30796	89.93210796489485	88.57924305144884	11983	11962	[(18138, 21445), (14370, 17754), (22905, 28176)]	[(1, 3398), (3715, 7029), (8256, 13528)]	[(22905, 28176), (14370, 17754), (18138, 21445)]	7966.118049551559
contig_14 [gcode=11] [topology=linear]	XYZ459H	12936	gb|CP017209.1|	cp32-7	B331	12936	30054	93.0191124068675	95.00618429189858	12290	12291	[(1, 4016), (27297, 30054), (20775, 26294)]	[(6159, 8919), (8920, 12935), (1, 5516)]	[(20775, 26294), (1, 4016), (27297, 30054)]	8837.390935995683
contig_15 [gcode=11] [topology=linear]	XYZ459H	11792	gb|CP074066.1|	cp32-4	B500	11792	30617	98.78761447884867	95.26797829036636	11234	11300	[(17078, 18158), (18652, 28872)]	[(1572, 11792), (7, 1021)]	[(18652, 28872), (17385, 18158), (17078, 17541)]	9411.296311528036
contig_16 [gcode=11] [topology=linear]	XYZ459H	9944	gb|CP001492.1|	cp32-7	94a	9944	30433	93.69996519317786	86.25301689460981	8577	8485	[(22939, 28693), (18903, 21634)]	[(4329, 9943), (94, 2824), (4029, 4262)]	[(23086, 28693), (18903, 21634), (22939, 23172)]	8081.904680831522
contig_17 [gcode=11] [topology=linear]	XYZ459H	7932	gb|CP074066.1|	cp32-4	B500	7932	30617	99.87392839132627	99.98739283913262	7931	7931	[(9888, 17819)]	[(1, 7932)]	[(9888, 17819)]	9986.133712450941
contig_18 [gcode=11] [topology=linear]	XYZ459H	1180	gb|CP074068.1|	cp32-6	B500	1180	30008	98.64406779661017	99.91525423728814	1179	1179	[(9747, 10926)]	[(1, 1180)]	[(10926, 9747)]	9856.047112898594
contig_19 [gcode=11] [topology=linear]	XYZ459H	1162	gb|CP031407.1|	cp32-7	MM1	1162	14018	95.39530842745438	98.62306368330465	1146	1145	[(1876, 3021)]	[(16, 1162)]	[(1876, 3021)]	9408.177578129322
contig_2 [gcode=11] [topology=linear]	XYZ459H	32754	gb|CP001497.1|	lp17	94a	32754	18110	88.2051282051282	11.24442816144593	3683	3636	[(1281, 3850), (105, 1172)]	[(6522, 7604), (8119, 10720)]	[(1281, 3850), (105, 1172)]	991.8162275736922
contig_20 [gcode=11] [topology=linear]	XYZ459H	1106	gb|CP074071.1|	cp32-11	B500	1106	30176	85.87921847246892	99.90958408679927	1105	1107	[(14442, 15549)]	[(1, 1106)]	[(14442, 15549)]	8580.15699928374
contig_21 [gcode=11] [topology=linear]	XYZ459H	878	gb|CP074066.1|	cp32-4	B500	878	30617	100.0	99.88610478359908	877	877	[(9010, 9887)]	[(1, 878)]	[(9010, 9887)]	9988.610478359908
contig_3 [gcode=11] [topology=linear]	XYZ459H	30559	gb|CP094611.1|	lp28-3	B31-5A4	30559	28332	95.84526220236017	86.54733466409242	26448	22700	[(25943, 26445), (3734, 25932)]	[(7186, 26220), (29511, 29988), (26286, 29449), (172, 3946)]	[(3734, 22774), (22770, 25932), (3734, 7511), (8146, 8683), (25943, 26445), (5205, 5742), (8141, 8683), (9834, 10083), (9888, 10137)]	8295.151983795353
contig_4 [gcode=11] [topology=linear]	XYZ459H	30542	gb|CP001500.1|	lp54	94a	30542	53756	98.23456752929835	99.99672582018204	30541	25199	[(28557, 53756)]	[(1, 30542)]	[(47142, 28557), (53756, 47042), (48449, 53756), (49391, 48113), (48351, 47112)]	9823.135115291403
contig_5 [gcode=11] [topology=linear]	XYZ459H	30073	gb|CP002242.1|	cp32-9	N40	30073	30658	97.59361903474382	98.29747614138928	29561	29566	[(6059, 14896), (1, 5710), (19938, 30658), (15029, 17179), (17787, 19937)]	[(27923, 30073), (25402, 27550), (1, 10721), (10722, 16430), (16431, 25266)]	[(19938, 30658), (6059, 14896), (1, 5710), (17787, 19937), (15029, 17179)]	9593.206438619565
contig_6 [gcode=11] [topology=linear]	XYZ459H	29839	gb|CP094610.1|	lp28-2	B31-5A4	29839	29936	97.47241725175526	99.98324340628038	29834	29869	[(38, 29907)]	[(3, 29837)]	[(29907, 38)]	9745.60841948077
contig_7 [gcode=11] [topology=linear]	XYZ459H	29476	gb|CP001272.1|	lp28-4	156a	29476	29501	98.31366923324649	99.87108155787759	29438	29491	[(10, 29501)]	[(1, 29439)]	[(8879, 29501), (10, 9513), (24662, 25870), (23598, 24779), (10358, 9572), (19366, 18574)]	9818.69247824776
contig_8 [gcode=11] [topology=linear]	XYZ459H	28681	gb|CP124095.1|	lp54	NE_5267	28681	53730	99.57693786930527	99.66877026602977	28586	28567	[(1, 28568)]	[(8367, 28624), (1, 8330)]	[(20260, 1), (28568, 20230)]	9924.710944290506
contig_9 [gcode=11] [topology=linear]	XYZ459H	27704	gb|CP002238.1|	cp32-12	N40	27704	27767	97.93257455698027	99.99278082587352	27702	27748	[(1871, 9084), (9101, 27767), (1, 1870)]	[(25835, 27704), (1, 25834)]	[(9101, 27767), (1871, 9084), (1, 1870)]	9792.550463389645
