contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
NZ_CP077727.1 Borreliella burgdorferi strain B-17/2013 chromosome, complete genome	GCF_019134655.1_ASM1913465v1_genomic	909995	gb|CP031412.1|	chromosome	MM1	909995	908512	99.65586204869318	99.80065824537498	908181	908511	[(1, 908512)]	[(298, 904657), (905345, 909167)]	[(213217, 904705), (1, 213704), (904690, 908512), (434869, 438062), (438118, 441309), (213055, 213866), (213379, 214028), (212893, 213542), (213541, 214027), (212897, 213380)]	9945.720630469863
NZ_CP077728.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_cp26, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	26516	gb|CP001493.1|	cp26	94a	26516	26507	97.22060585315762	99.97737215266255	26510	26501	[(5, 26506)]	[(6, 26516)]	[(5, 26506), (19434, 20773), (17983, 19302)]	9719.860692288463
NZ_CP077729.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_cp30-1, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	31004	gb|CP001208.1|	cp32-4	ZS7	31004	30964	99.37450596281403	93.78144755515417	29076	29066	[(22876, 30964), (19080, 20980), (1, 19079)]	[(1, 1898), (11918, 31004), (3824, 11917)]	[(1, 19079), (22876, 30964), (19080, 20980)]	9319.485019271
NZ_CP077730.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_cp30-2, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	30868	gb|CP019756.1|	cp32-5+1	B31_NRZ	30868	61418	93.27749353035301	86.40339510172346	26671	50409	[(21942, 26235), (28663, 40788), (1, 10110), (49621, 51590), (18962, 20828), (53482, 56978), (59406, 61418), (47551, 49533), (40875, 47153), (10197, 16476)]	[(4, 1980), (21613, 27880), (9409, 21538), (2996, 7295), (28790, 30790)]	[(28663, 40788), (1, 10110), (10197, 16476), (40875, 47153), (53482, 56978), (21942, 26235), (59406, 61418), (18962, 20828), (49621, 51590), (47551, 49533)]	8059.492127601546
NZ_CP077731.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_cp30-3, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	29645	gb|CP031408.1|	cp32-1	MM1	29645	30883	93.97116644823068	86.61831674818687	25678	26595	[(22, 4424), (5100, 6115), (8372, 10895), (11113, 11771), (29995, 30877), (17603, 29983), (7179, 8371), (12276, 15819)]	[(2745, 3404), (9255, 26011), (3809, 7346), (28454, 29645), (1, 2521), (26028, 27043)]	[(17603, 29983), (22, 4424), (12276, 15819), (8372, 10895), (5100, 6115), (7179, 8371), (29995, 30877), (11113, 11771)]	8139.624260609436
NZ_CP077732.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_cp30-4, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	28639	gb|CP094585.1|	cp32-5	B379	28639	30637	93.67732026621809	94.47257236635357	27056	27243	[(18933, 26226), (26710, 28035), (1, 2146), (15044, 16463), (17267, 18930), (3429, 9965), (28241, 30637), (10275, 14741)]	[(26969, 28639), (20039, 24510), (24816, 26235), (11119, 19720), (3, 8526), (8746, 11118)]	[(18933, 26226), (3429, 9965), (10275, 14741), (1, 2146), (28241, 30637), (15044, 16463), (17267, 18930), (26710, 28035)]	8849.93741793637
NZ_CP077733.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_lp18, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	18205	gb|CP001497.1|	lp17	94a	18205	18110	99.50205198358412	99.8956330678385	18186	18098	[(1, 18099)]	[(17, 18203)]	[(1, 14530), (14369, 18099)]	9939.820474449112
NZ_CP077734.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_lp28, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	28329	gb|CP001272.1|	lp28-4	156a	28329	29501	97.46839423863136	97.68435172438139	27673	27753	[(9527, 29501), (8637, 8866), (966, 1659), (1708, 8565)]	[(27468, 28159), (35, 27017)]	[(29501, 9527), (8565, 1708), (25870, 24662), (24779, 23598), (1659, 966), (9572, 10358), (18574, 19366), (8866, 8637)]	9521.136904817135
NZ_CP077735.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_lp30, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	30892	gb|CP031409.1|	lp28-8	MM1	30892	28515	92.1098666424336	89.75786611420432	27728	23865	[(1, 17873), (26005, 28486), (19795, 23307)]	[(28389, 30890), (361, 25588)]	[(1, 17873), (26005, 28486), (19823, 22924), (19823, 22924), (19823, 22847), (19910, 22847), (20316, 23307), (20516, 23307), (19795, 22345), (19795, 22345)]	8267.585077888769
NZ_CP077736.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_lp31, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	31390	gb|CP019763.1|	lp36	B31_NRZ	31390	36780	96.56088001011506	69.22586811086333	21730	21715	[(1144, 2818), (19152, 23131), (34523, 35400), (3694, 18879)]	[(3723, 4606), (5241, 6919), (11048, 30217)]	[(18879, 3694), (23131, 19152), (1144, 2818), (7257, 7996), (5250, 5986), (35400, 34523), (19278, 19752)]	6684.510744249124
NZ_CP077737.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_lp52, complete sequence	GCF_019134655.1_ASM1913465v1_genomic	51773	gb|CP124103.1|	lp54	NE_5248	51773	53675	99.13837670170601	99.99227396519422	51769	52188	[(49335, 53675), (1, 10280), (11022, 48591)]	[(2, 51771)]	[(11022, 48591), (1, 10280), (49335, 53675)]	9913.071723621615
