ID	group	gene	old_locus_tag	percent_ident	alignment_length	E-score
AEPIPJ_00937	group_4190	BB_RS05470	BB_C11	81.005	637	3.4299999999999996e-170
AEPIPJ_00957	group_4156	BB_RS05925	BB_P17	99.579	951	0.0
AEPIPJ_00959	group_1	BB_RS05915	BB_P15	91.975	1296	0.0
AEPIPJ_00962	group_4119	BB_RS05900	BB_P12	97.669	429	0.0
AEPIPJ_01042	group_216	BB_RS05260	BB_A38	71.951	246	7.33e-30
AEPIPJ_01056	group_35	BB_RS05915	BB_P15	86.244	647	0.0
AEPIPJ_01057	group_390	BB_RS05920	BB_P16	90.498	642	0.0
AEPIPJ_01059	group_1515	BB_RS05930	BB_P18	88.095	546	0.0
AEPIPJ_01064	group_3749	BB_RS05955	BB_P23	100.0	204	1.73e-103
AEPIPJ_01100	group_4407	BB_RS05235	BB_A31	66.961	566	3.3599999999999998e-40
AEPIPJ_01101	group_139	BB_RS06045	BB_P41	93.474	567	0.0
AEPIPJ_01145	group_2853	BB_RS06035	BB_P39	76.533	1125	0.0
AEPIPJ_01146	group_2855	BB_RS06030	BB_P38	77.041	588	1.8599999999999998e-140
AEPIPJ_01147	group_1495	BB_RS05470	BB_C11	79.417	617	2.32e-153
AEPIPJ_01148	group_3808	BB_RS06020	BB_P36	95.54	426	0.0
AEPIPJ_01156	group_2857	BB_RS05980	BB_P28	93.96	447	0.0
AEPIPJ_01159	group_3853	BB_RS05965	BB_P25	95.833	336	6.51e-156
AEPIPJ_01178	group_415	BB_RS05870	BB_P06	99.271	960	0.0
AEPIPJ_01198	group_3067	BB_RS05980	BB_P28	85.679	405	1.57e-133
AEPIPJ_01208	group_1516	BB_RS05930	BB_P18	87.729	546	0.0
AEPIPJ_01217	group_3737	BB_RS05945	BB_P21	99.175	606	0.0
AEPIPJ_01314	group_4349	BB_RS05300	BB_A46	68.196	327	8.46e-28
AEPIPJ_01315	group_602	BB_RS05890	BB_P10	99.824	567	0.0
AEPIPJ_01321	group_3899	BB_RS05860	BB_P04	95.686	765	0.0
AEPIPJ_01339	group_3068	BB_RS05985	BB_P29	93.458	107	2.09e-41
AEPIPJ_01343	group_2145	BB_RS05965	BB_P25	97.917	336	3.84e-165
AEPIPJ_01344	group_855	BB_RS05960	BB_P24	91.954	348	2.13e-143
