gene,RST1,RST2,RST3,replicon,color,size,Localization,lipo,surface_lipo,refseq_id,old_name,PC1,PC2,PC3,RST_Category
group_1286,1.0,1.0,1.0,lp54,#ffffff,41.0,,Other,Other,BB_RS05120,BB_A01,1.0,0.5259009296105674,0.5304753499527708,Shared
perM,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00030,BB_0006,1.0,0.5259009296105674,0.5304753499527708,Shared
fmhB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02945,BB_0586,1.0,0.5259009296105674,0.5304753499527708,Shared
ispA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01555,BB_0314,1.0,0.5259009296105674,0.5304753499527708,Shared
ruvB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00110,BB_0022,1.0,0.5259009296105674,0.5304753499527708,Shared
group_171,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03875,BB_0765,1.0,0.5259009296105674,0.5304753499527708,Shared
group_170,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03415,BB_0674,1.0,0.5259009296105674,0.5304753499527708,Shared
potD,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS03240,BB_0639,1.0,0.5259009296105674,0.5304753499527708,Shared
mreB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03625,BB_0715,1.0,0.5259009296105674,0.5304753499527708,Shared
dppC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01640,BB_0333,1.0,0.5259009296105674,0.5304753499527708,Shared
bamB,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-OM,Lipoprotein,Other,BB_RS00140,BB_0028,1.0,0.5259009296105674,0.5304753499527708,Shared
nupN,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01580,BB_0319,1.0,0.5259009296105674,0.5304753499527708,Shared
mraY,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01505,BB_0303,1.0,0.5259009296105674,0.5304753499527708,Shared
trpS,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00025,BB_0005,1.0,0.5259009296105674,0.5304753499527708,Shared
pta,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02960,BB_0589,1.0,0.5259009296105674,0.5304753499527708,Shared
group_167,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01810,BB_0368,1.0,0.5259009296105674,0.5304753499527708,Shared
fliM,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01380,BB_0278,1.0,0.5259009296105674,0.5304753499527708,Shared
