gene,Localization,lipo,surface_lipo
aNKYR,,Other,Other
aac3Ia,,Other,Other
ackA,,Other,Other
acpP,,Other,Other
acpS,,Other,Other
acrA,P-IM,Lipoprotein,Other
acyP,,Other,Other
ade,,Other,Other
adeC,,Other,Other
adk,,Other,Other
alaS,,Other,Other
alr,,Other,Other
amiC,,Other,Other
ampS,,Other,Other
amrB,,Other,Other
apeA,,Other,Other
apeB,,Other,Other
aph3Ia,,Other,Other
apt,,Other,Other
arcA,,Other,Other
argF,,Other,Other
argS,,Other,Other
asnS,,Other,Other
aspS,,Other,Other
atpA,,Other,Other
atpB,,Other,Other
atpD,,Other,Other
atpI,,Other,Other
bamA,,Other,Other
bamB,P-OM,Lipoprotein,Other
bamD,P-OM,Lipoprotein,Other
batD,,Other,Other
bcsQ~~~parA,,Other,Other
bdrA,,Other,Other
bdrH,,Other,Other
bdrH~~~repU~~~bdrW,,Other,Other
bdrM,,Other,Other
bdrO,,Other,Other
bdrP,,Other,Other
bdrQ,,Other,Other
bdrR,,Other,Other
bdrW~~~repU,,Other,Other
bepA,,Other,Other
bepA~~~lmp1,,Other,Other
bglX,,Lipoprotein,Other
blyA,,Other,Other
blyB,,Other,Other
bmpA,,Other,Other
bmpB,P-IM,Lipoprotein,Other
bmpC,P-IM,Lipoprotein,Other
bmpD,P-IM,Lipoprotein,Other
bosR,,Other,Other
bppA,,Other,Other
bppA~~~yqaJ,,Other,Other
bppB,,Other,Other
bppC,,Other,Other
bppC1,,Other,Other
bptA,,Other,Other
bpuR,,Other,Other
ccmA,,Other,Other
cdaA,,Other,Other
cdd,,Other,Other
cdnL,,Other,Other
cdsA,,Other,Other
cdsA~~~cdsC,,Lipoprotein,Other
cdsC,,Other,Other
cdsE,,Other,Other
celA,,Other,Other
celB,,Other,Other
celC,,Other,Other
cheA,,Other,Other
cheB,,Other,Other
cheD,,Lipoprotein,Other
cheR,,Other,Other
cheW,,Other,Other
cheX,,Other,Other
cheY,,Lipoprotein,Other
chlD,,Other,Other
chrA,,Other,Other
clpA,,Other,Other
clpP,,Other,Other
clpP2,,Other,Other
clpX,,Lipoprotein,Other
cmk,,Other,Other
cmk2,,Other,Other
coaBC,,Other,Other
coaD,,Other,Other
coaE,,Other,Other
coaX,,Other,Other
cof,,Other,Other
comEC,,Other,Other
comFC,,Other,Other
corB~~~tlyC,,Other,Other
crr,,Other,Other
csd,,Other,Other
cspZ,S,Lipoprotein,Surface
csrA,,Other,Other
ctpA,,Other,Other
cutB,,Other,Other
cutS,,Other,Other
cvpA,,Other,Other
cyaB,,Other,Other
cym1,,Other,Other
cysS,,Other,Other
dacC,,Lipoprotein,Other
dadA,,Other,Other
dbpA,S,Lipoprotein,Surface
dbpB,S,Lipoprotein,Surface
dck,,Other,Other
dcm,,Other,Other
ddl,,Other,Other
dedA,,Other,Other
dedD,,Lipoprotein,Other
def,,Other,Other
degQ,,Other,Other
der,,Other,Other
dksA,,Other,Other
dnaA,,Other,Other
dnaB,,Other,Other
dnaE,,Other,Other
dnaG,,Lipoprotein,Other
dnaJ,,Other,Other
dnaK,,Other,Other
dnaN,,Other,Other
dnaX,,Other,Other
dppB,,Lipoprotein,Other
dppC,,Other,Other
dppD,,Other,Other
dprA,,Other,Other
dusA,,Other,Other
eRG8,,Other,Other
efbC,,Other,Other
efp,,Other,Other
elpB2,S,Lipoprotein,Surface
eno,,Other,Other
eppA,,Other,Other
era,,Other,Other
erpA,S,Lipoprotein,Surface
erpA~~~ospE~~~erpC,S,Lipoprotein,Surface
erpC,S,Lipoprotein,Surface
erpD,S,Lipoprotein,Surface
erpG,S,Lipoprotein,Surface
erpH,S,Lipoprotein,Surface
erpH~~~erpA~~~erpC,S,Lipoprotein,Surface
erpK,S,Lipoprotein,Surface
erpM,S,Lipoprotein,Surface
erpM~~~erpC,S,Lipoprotein,Surface
erpP,S,Lipoprotein,Surface
erpQ,S,Lipoprotein,Surface
erpX,S,Lipoprotein,Surface
erpY,S,Lipoprotein,Surface
erpY~~~erpL,S,Lipoprotein,Surface
fAA1,,Other,Other
fapA,,Other,Other
fbaA,,Other,Other
ffh,,Other,Other
fieF,,Other,Other
flaA,,Other,Other
flaB,,Other,Other
flbF,,Other,Other
flgB,,Other,Other
flgC,,Other,Other
flgD,,Other,Other
flgE,,Other,Other
flgF,,Other,Other
flgG,,Other,Other
flgI,,Other,Other
flgJ1,,Other,Other
flgK,,Other,Other
flgL,,Other,Other
flhA,,Other,Other
flhB,,Other,Other
flhF,,Other,Other
flhG,,Other,Other
fliD,,Other,Other
fliE,,Other,Other
fliF,,Other,Other
fliG,,Other,Other
fliH,,Other,Other
fliI,,Other,Other
fliK,,Other,Other
fliL,,Other,Other
fliM,,Other,Other
fliN,,Other,Other
fliP,,Other,Other
fliQ,,Other,Other
fliR,,Other,Other
fliS,,Other,Other
fliW,,Other,Other
fliZ,,Other,Other
fmhB,,Other,Other
fmt,,Other,Other
fni,,Other,Other
