Isolate,RST,OspC,MLST
B331P,3.0,I,16.0
B418P,3.0,E,19.0
B500P,3.0,I,15.0
ESI26H,1.0,R,20.0
ESI361H,3.0,L,24.0
ESI403H,1.0,B,545.0
ESI425H,3.0,L,24.0
ASM215146v1,1.0,A,1.0
ASM215148v1,1.0,A,1.0
ASM215150v1,1.0,A,1.0
ASM336729v1,3.0,U,928.0
ASM1913465v1,3.0,L,24.0
ASM2466215v1,3.0,I,16.0
ASM2466217v1,2.0,K,3.0
ASM2466219v1,1.0,A,1.0
ASM4079071v1,2.0,L,29.0
ASM4079073v1,2.0,H,4.0
ASM4079074v1,3.0,E,19.0
ASM4079075v1,3.0,N,43.0
ASM4079076v1,3.0,T,46.0
ASM4079077v1,1.0,A,1.0
ASM4079078v1,3.0,T,46.0
ASM4079079v1,2.0,K,3.0
ASM4079080v1,1.0,A,1.0
PFhe_I_PB_Ill_cons,1.0,Q,21.0
UCT109H,1.0,A,1.0
UCT110H,2.0,K,3.0
UCT113H,2.0,H,1.0
UCT124H,1.0,B,59.0
UCT29H,1.0,A,1.0
UCT30H,2.0,K,3.0
UCT31H,1.0,A,1.0
UCT32H,2.0,K,3.0
UCT35H,3.0,G,14.0
UCT50H,3.0,E,19.0
UCT92H,2.0,K,3.0
UCT96H,1.0,B,1.0
UNY1032P,1.0,A,1.0
UNY1038P,2.0,K,3.0
UNY1083P,3.0,C,11.0
UNY1085P,3.0,M,12.0
UNY1090P,2.0,H,4.0
UNY1128P,3.0,C,11.0
UNY149P,2.0,K,3.0
UNY169P,3.0,E,19.0
UNY172P,3.0,M,12.0
UNY193P,3.0,D,38.0
UNY203P,3.0,G,14.0
UNY208P,2.0,H,4.0
UNY990P,2.0,N,9.0
URI101H,1.0,A,1.0
URI102H,1.0,A,1.0
URI103H,2.0,K,3.0
URI107H,1.0,A,1.0
URI111H,1.0,A,1.0
URI112H,2.0,K,3.0
URI117H,2.0,K,3.0
URI118H,2.0,K,3.0
URI120H,1.0,A,1.0
URI33H,2.0,N,9.0
URI34H,3.0,D,38.0
URI36H,3.0,I,16.0
URI39H,1.0,A,1.0
URI40H,1.0,A,1.0
URI41H,1.0,A,1.0
URI42H,1.0,A,1.0
URI44H,2.0,K,3.0
URI46H,2.0,K,3.0
URI47H,2.0,K,3.0
URI48H,2.0,N,9.0
URI56H,3.0,I,16.0
URI86H,2.0,K,3.0
URI87H,1.0,A,1.0
URI88H,2.0,H,4.0
URI89H,1.0,A,1.0
URI91H,1.0,A,1.0
URI93H,1.0,A,1.0
UWI247P,2.0,H,4.0
UWI248P,2.0,H,32.0
UWI263P,2.0,L,29.0
UWI283P,3.0,O,221.0
XYZ459H,3.0,M,12.0
