assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
B331P,contig_1 [gcode=11] [topology=linear],903654,gb|CP017201.2|,chromosome,B331,903654.0,903654.0,99.96726702578376,903653.0,903653.0,"[(1, 903654)]","[(1, 903654)]","[(1, 903654), (435224, 438417), (438473, 441664), (213092, 214221), (213253, 214382), (213086, 214060), (213410, 214383), (213092, 213897), (213577, 214382), (213098, 213736)]",99.99988933817588,pf32
B331P,contig_10 [gcode=11] [topology=linear],8714,gb|CP017210.1|,cp9,B331,8714.0,8714.0,100.0,8713.0,8713.0,"[(1, 8714)]","[(1, 8714)]","[(1, 8714)]",99.98852421390863,wp
B331P,contig_11 [gcode=11] [topology=linear],15594,gb|CP017211.1|,lp17,B331,15594.0,15594.0,100.0,15593.0,15593.0,"[(1, 15594)]","[(1, 15594)]","[(1, 15594)]",99.99358727715789,pf32
B331P,contig_12 [gcode=11] [topology=linear],24722,gb|CP017212.1|,lp25,B331,24722.0,24723.0,99.03159469059636,24721.0,24721.0,"[(1, 24722)]","[(1, 24722)]","[(1, 24722), (12076, 11071), (17343, 16341)]",99.9959550198204,pf32
B331P,contig_13 [gcode=11] [topology=linear],27641,gb|CP017213.1|,lp28-3,B331,27641.0,27643.0,99.55427098930949,27640.0,27640.0,"[(2, 27642)]","[(1, 27641)]","[(2, 27642), (4035, 4572), (6975, 7512)]",99.99638218588328,pf32
B331P,contig_14 [gcode=11] [topology=linear],23102,gb|CP017214.1|,lp28-1,B331,23102.0,23104.0,99.94842303427288,23101.0,23101.0,"[(2, 23103)]","[(1, 23102)]","[(2, 23103), (10404, 12698), (10715, 13009), (10406, 12387), (11028, 13009), (10404, 12076), (11337, 13009), (10404, 11765), (11648, 13009), (10404, 11454)]",99.99567137044411,pf32
B331P,contig_15 [gcode=11] [topology=linear],29288,gb|CP017215.2|,lp28-6,B331,29288.0,29288.0,100.0,29287.0,29287.0,"[(1, 29288)]","[(1, 29288)]","[(29288, 1)]",99.9965856323409,pf32
B331P,contig_16 [gcode=11] [topology=linear],30208,gb|CP074057.1|,lp36,B500,30208.0,30208.0,99.82679698131882,30207.0,30207.0,"[(1, 30208)]","[(1, 30208)]","[(1, 30208), (2629, 3370), (21529, 22271), (5059, 5376), (22368, 22676)]",99.99668961864408,pf32
B331P,contig_17 [gcode=11] [topology=linear],38924,gb|CP017217.1|,lp38,B331,38924.0,38925.0,99.77269627676502,38923.0,38923.0,"[(1, 38924)]","[(1, 38924)]","[(1, 38924), (22164, 23760), (31284, 32876), (29205, 28271), (33816, 32880)]",99.997430890967,pf32
B331P,contig_18 [gcode=11] [topology=linear],53758,gb|CP017218.1|,lp54,B331,53758.0,53759.0,99.1905852281804,53757.0,53757.0,"[(2, 53759)]","[(1, 53758)]","[(2, 53759), (4361, 5639), (5401, 6640)]",99.99813981174896,pf32
B331P,contig_19 [gcode=11] [topology=linear],27679,gb|CP017219.1|,lp56,B331,27679.0,27681.0,100.0,27678.0,27678.0,"[(2, 27680)]","[(1, 27679)]","[(27680, 2)]",99.99638715271504,pf32
B331P,contig_2 [gcode=11] [topology=linear],26506,gb|CP017202.2|,cp26,B331,26506.0,26506.0,98.30763960260364,26505.0,26505.0,"[(1, 26506)]","[(1, 26506)]","[(1, 26506), (17974, 19308), (19439, 20773)]",99.99622726929752,pf32
B331P,contig_3 [gcode=11] [topology=linear],30192,gb|CP017204.1|,cp32-10,B331,30192.0,30192.0,100.0,30191.0,30191.0,"[(1, 30192)]","[(1, 30192)]","[(1, 30192)]",99.99668786433492,pf32
B331P,contig_4 [gcode=11] [topology=linear],30176,gb|CP074071.1|,cp32-11,B500,30176.0,30176.0,100.0,30175.0,30175.0,"[(1, 30176)]","[(1, 30176)]","[(1, 30176)]",99.99668610816543,pf32
B331P,contig_5 [gcode=11] [topology=linear],29892,gb|CP017203.1|,cp32-8,B331,29892.0,29892.0,100.0,29891.0,29891.0,"[(1, 29892)]","[(1, 29892)]","[(1, 29892)]",99.9966546233106,pf32
B331P,contig_6 [gcode=11] [topology=linear],30617,gb|CP017206.1|,cp32-4,B331,30617.0,30617.0,100.0,30616.0,30616.0,"[(1, 30617)]","[(1, 30617)]","[(1, 30617)]",99.99673384067674,pf32
B331P,contig_7 [gcode=11] [topology=linear],18340,gb|CP074067.1|,cp32-5,B500,18340.0,18341.0,100.0,18339.0,18339.0,"[(1, 18340)]","[(1, 18340)]","[(1, 18340)]",99.99454743729554,pf32
B331P,contig_8 [gcode=11] [topology=linear],30017,gb|CP017208.1|,cp32-6,B331,30017.0,30017.0,100.0,30016.0,30016.0,"[(1, 30017)]","[(1, 30017)]","[(1, 30017)]",99.9966685544858,pf32
B331P,contig_9 [gcode=11] [topology=linear],30054,gb|CP017209.1|,cp32-7,B331,30054.0,30054.0,100.0,30053.0,30053.0,"[(1, 30054)]","[(1, 30054)]","[(1, 30054)]",99.99667265588609,pf32
B418P,contig_1 [gcode=11] [topology=linear],902773,gb|CP002228.1|,chromosome,N40,902773.0,902191.0,99.99241112770645,902513.0,902190.0,"[(1, 902191)]","[(245, 902758)]","[(212838, 902191), (1, 213156), (437231, 440422), (433984, 437177), (212832, 213156)]",99.97119984758072,pf32
B418P,contig_10 [gcode=11] [topology=linear],20530,gb|CP002241.1|,lp17,N40,20530.0,20672.0,99.98076275669696,20521.0,20671.0,"[(1, 20672)]","[(1, 20522)]","[(1, 16962), (16842, 20672)]",99.95616171456405,pf32
B418P,contig_11 [gcode=11] [topology=linear],24215,gb|CP074059.1|,lp25,B500,24215.0,24206.0,98.36552748885586,24213.0,24204.0,"[(1, 24205)]","[(1, 24214)]","[(1, 24205), (17344, 16342), (12077, 11070)]",99.9917406566178,pf32
B418P,contig_12 [gcode=11] [topology=linear],29777,gb|CP002232.1|,lp28-2,N40,29777.0,29521.0,100.0,29520.0,29520.0,"[(1, 29521)]","[(4, 29524)]","[(1, 29521)]",99.1369177553145,pf32
B418P,contig_13 [gcode=11] [topology=linear],30920,gb|CP094590.1|,lp28-3,B379,30920.0,28768.0,96.18502453246109,26512.0,22744.0,"[(3946, 26194), (26210, 26706)]","[(4393, 23479), (26724, 30498), (1163, 4327), (608, 1096)]","[(23037, 3946), (26194, 23033), (7723, 3946), (26706, 26210), (8895, 8358), (5954, 5417), (10295, 10046), (10349, 10100)]",85.74385510996119,pf32
B418P,contig_14 [gcode=11] [topology=linear],29677,gb|CP001272.1|,lp28-4,156a,29677.0,29501.0,98.2608695652174,29623.0,29500.0,"[(1, 29501)]","[(22, 29645)]","[(8826, 29501), (1, 9567), (24662, 25870), (23598, 24779), (10358, 9572), (19366, 18574)]",99.81804090709976,pf32
B418P,contig_15 [gcode=11] [topology=linear],29290,gb|CP017215.2|,lp28-6,B331,29290.0,29288.0,100.0,29287.0,29287.0,"[(1, 29288)]","[(3, 29290)]","[(29288, 1)]",99.98975759644932,pf32
B418P,contig_16 [gcode=11] [topology=linear],31165,gb|CP002230.1|,lp36,N40,31165.0,29194.0,97.83733201632398,29892.0,29193.0,"[(1, 29194)]","[(8, 29202), (30135, 30833)]","[(1, 29194), (25233, 26532), (24828, 26133), (23408, 24462), (24263, 25314), (24813, 25725), (25629, 26532), (29194, 28505), (27021, 27973), (27858, 28822)]",95.91528958767849,pf32
B418P,contig_17 [gcode=11] [topology=linear],37889,gb|CP002237.1|,lp38,N40,37889.0,37903.0,99.76241003875252,37666.0,37902.0,"[(1, 37903)]","[(73, 37739)]","[(10076, 37903), (1, 10447), (22367, 24903), (30405, 32938)]",99.41143867613292,pf32
B418P,contig_18 [gcode=11] [topology=linear],53805,gb|CP001651.1|,lp54,N40,53805.0,53786.0,99.16085652952968,53778.0,53785.0,"[(1, 53786)]","[(9, 53787)]","[(1, 53786), (47164, 48404), (48166, 49444)]",99.94981879007528,pf32
B418P,contig_2 [gcode=11] [topology=linear],26498,gb|CP002239.1|,cp26,N40,26498.0,26498.0,98.2049876678542,26496.0,26496.0,"[(1, 11592), (11593, 26498)]","[(1, 11592), (11593, 26498)]","[(26498, 11593), (11592, 1), (19294, 17955), (20759, 19422)]",99.99245226054796,pf32
B418P,contig_3 [gcode=11] [topology=linear],30154,gb|CP002240.1|,cp32-10,N40,30154.0,30154.0,100.0,30152.0,30152.0,"[(14768, 30154), (1, 14767)]","[(14768, 30154), (1, 14767)]","[(30154, 14768), (14767, 1)]",99.99336738077868,pf32
B418P,contig_4 [gcode=11] [topology=linear],27767,gb|CP002238.1|,cp32-12,N40,27767.0,27767.0,100.0,27765.0,27765.0,"[(1, 2978), (2979, 27767)]","[(24790, 27767), (1, 24789)]","[(2979, 27767), (1, 2978)]",99.99279720531568,pf32
B418P,contig_5 [gcode=11] [topology=linear],15915,gb|CP002235.1|,cp32-4,N40,15915.0,15915.0,99.98743323908262,15913.0,15913.0,"[(8682, 15915), (1, 8681)]","[(8682, 15915), (1, 8681)]","[(8681, 1), (15915, 8682)]",99.98743323908262,pf32
B418P,contig_6 [gcode=11] [topology=linear],29615,gb|CP002227.1|,cp32-1+5,N40,29615.0,29615.0,100.0,29613.0,29613.0,"[(1, 2450), (2451, 29615)]","[(1, 2450), (2451, 29615)]","[(29615, 2451), (2450, 1)]",99.99324666554112,pf32
B418P,contig_7 [gcode=11] [topology=linear],17483,gb|CP002229.1|,cp32-7,N40,17483.0,17483.0,100.0,17481.0,17481.0,"[(1, 3315), (3316, 17483)]","[(1, 3315), (3316, 17483)]","[(17483, 3316), (3315, 1)]",99.98856031573528,pf32
B418P,contig_8 [gcode=11] [topology=linear],30658,gb|CP002242.1|,cp32-9,N40,30658.0,30658.0,100.0,30656.0,30656.0,"[(13212, 30658), (1, 13211)]","[(17448, 30658), (1, 17447)]","[(13212, 30658), (1, 13211)]",99.99347641724836,pf32
B418P,contig_9 [gcode=11] [topology=linear],8722,gb|CP002231.1|,cp9,N40,8722.0,8722.0,100.0,8720.0,8720.0,"[(1, 7820), (7821, 8722)]","[(1, 902), (903, 8722)]","[(1, 7820), (7821, 8722)]",99.9770694794772,wp
B500P,contig_1 [gcode=11] [topology=linear],903660,gb|CP074054.1|,chromosome,B500,903660.0,903660.0,99.96726724007188,903659.0,903659.0,"[(1, 903660)]","[(1, 903660)]","[(1, 903660), (435222, 438415), (438471, 441662), (213090, 214219), (213251, 214380), (213084, 214058), (213408, 214381), (213090, 213895), (213575, 214380), (213096, 213734)]",99.99988933891063,pf32
B500P,contig_10 [gcode=11] [topology=linear],15547,gb|CP074063.1|,lp17,B500,15547.0,15547.0,100.0,15546.0,15546.0,"[(1, 15547)]","[(1, 15547)]","[(1, 15547)]",99.99356789091142,pf32
B500P,contig_11 [gcode=11] [topology=linear],24387,gb|CP074072.1|,lp21-cp9,B500,24387.0,24387.0,96.72218111764133,24386.0,24386.0,"[(1, 24387)]","[(1, 24387)]","[(1, 24387), (3648, 8986), (3711, 9049), (3648, 8923), (3772, 9049), (3648, 8860), (3833, 9049), (3645, 8797), (3893, 9049), (3648, 8734)]",99.99589945462746,v11_override
B500P,contig_12 [gcode=11] [topology=linear],24206,gb|CP074059.1|,lp25,B500,24206.0,24206.0,99.01254336802776,24205.0,24205.0,"[(1, 24206)]","[(1, 24206)]","[(1, 24206), (12077, 11072), (17344, 16342)]",99.99586879286127,pf32
B500P,contig_13 [gcode=11] [topology=linear],27653,gb|CP074060.1|,lp28-3,B500,27653.0,27653.0,99.55445716871452,27652.0,27652.0,"[(1, 27653)]","[(1, 27653)]","[(1, 27653), (4034, 4571), (6974, 7511)]",99.9963837558312,pf32
B500P,contig_14 [gcode=11] [topology=linear],28165,gb|CP074061.1|,lp28-4,B500,28165.0,28165.0,97.41502258141192,28164.0,28164.0,"[(1, 28165)]","[(1, 28165)]","[(28165, 1), (23410, 22224), (24500, 23288), (8229, 9015), (17234, 18027), (6206, 6924), (18843, 19563)]",99.99644949405292,pf32
B500P,contig_15 [gcode=11] [topology=linear],29288,gb|CP074062.1|,lp28-6,B500,29288.0,29288.0,100.0,29287.0,29287.0,"[(1, 29288)]","[(1, 29288)]","[(29288, 1)]",99.9965856323409,pf32
B500P,contig_16 [gcode=11] [topology=linear],30208,gb|CP074057.1|,lp36,B500,30208.0,30208.0,99.82679698131882,30207.0,30207.0,"[(1, 30208)]","[(1, 30208)]","[(1, 30208), (2629, 3370), (21529, 22271), (5059, 5376), (22368, 22676)]",99.99668961864408,pf32
B500P,contig_17 [gcode=11] [topology=linear],38930,gb|CP074058.1|,lp38,B500,38930.0,38930.0,99.77272727272728,38929.0,38929.0,"[(1, 38930)]","[(1, 38930)]","[(1, 38930), (22174, 23770), (31294, 32886), (29215, 28281), (33826, 32890)]",99.99743128692523,pf32
B500P,contig_18 [gcode=11] [topology=linear],53758,gb|CP074056.1|,lp54,B500,53758.0,53758.0,99.1905852281804,53757.0,53757.0,"[(1, 53758)]","[(1, 53758)]","[(53758, 1), (48359, 47120), (49399, 48121)]",99.99813981174896,pf32
B500P,contig_19 [gcode=11] [topology=linear],27715,gb|CP074064.1|,lp56,B500,27715.0,27715.0,100.0,27714.0,27714.0,"[(1, 27715)]","[(1, 27715)]","[(1, 27715)]",99.99639184557098,pf32
B500P,contig_2 [gcode=11] [topology=linear],26512,gb|CP074055.1|,cp26,B500,26512.0,26512.0,98.30798739553364,26510.0,26510.0,"[(1, 16102), (16103, 26512)]","[(10411, 26512), (1, 10410)]","[(1, 16102), (16103, 26512), (17980, 19314), (19445, 20779)]",99.99245624622812,pf32
B500P,contig_3 [gcode=11] [topology=linear],30189,gb|CP074065.1|,cp32-10,B500,30189.0,30189.0,100.0,30187.0,30187.0,"[(22076, 30189), (1, 22075)]","[(1, 8114), (8115, 30189)]","[(1, 22075), (22076, 30189)]",99.99337507038987,pf32
B500P,contig_4 [gcode=11] [topology=linear],30176,gb|CP017205.1|,cp32-11,B331,30176.0,30176.0,100.0,30174.0,30174.0,"[(27613, 30176), (1, 27612)]","[(2565, 30176), (1, 2564)]","[(1, 27612), (27613, 30176)]",99.99337221633084,pf32
B500P,contig_5 [gcode=11] [topology=linear],29890,gb|CP074070.1|,cp32-8,B500,29890.0,29890.0,100.0,29888.0,29888.0,"[(5416, 29890), (1, 5415)]","[(5416, 29890), (1, 5415)]","[(29890, 5416), (5415, 1)]",99.9933087989294,pf32
B500P,contig_6 [gcode=11] [topology=linear],30617,gb|CP074066.1|,cp32-4,B500,30617.0,30617.0,100.0,30615.0,30615.0,"[(4831, 30617), (1, 4830)]","[(4831, 30617), (1, 4830)]","[(30617, 4831), (4830, 1)]",99.9934676813535,pf32
B500P,contig_7 [gcode=11] [topology=linear],18340,gb|CP074067.1|,cp32-5,B500,18340.0,18341.0,100.0,18339.0,18339.0,"[(5096, 18341), (1, 5095)]","[(13246, 18340), (1, 13246)]","[(5096, 18341), (1, 5095)]",99.99454743729554,pf32
B500P,contig_8 [gcode=11] [topology=linear],30008,gb|CP074068.1|,cp32-6,B500,30008.0,30008.0,100.0,30006.0,30006.0,"[(8691, 30008), (1, 8690)]","[(8691, 30008), (1, 8690)]","[(30008, 8691), (8690, 1)]",99.99333511063716,pf32
B500P,contig_9 [gcode=11] [topology=linear],30054,gb|CP074069.1|,cp32-7,B500,30054.0,30054.0,100.0,30052.0,30052.0,"[(1, 2171), (2172, 30054)]","[(27884, 30054), (1, 27883)]","[(2172, 30054), (1, 2171)]",99.99334531177216,pf32
