Assembly	UNY990P
# misassemblies	14
  # contig misassemblies	14
    # c. relocations	1
    # c. translocations	12
    # c. inversions	1
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	6
Misassembled contigs length	164428
# local misassemblies	7
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	3
# mismatches	9886
# indels	652
    # indels (<= 5 bp)	580
    # indels (> 5 bp)	72
Indels length	3594
