assembly_id	contig_id	ref_id	ospC_type	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UCT95H	contig_6 [gcode=11] [topology=linear]	U04240.1	E	50792	929	99.19354838709677	1845	928	[(1, 929)]	[(37288, 38212), (10999, 11920)]	[(1, 929), (1, 929)]	3.6324618050086626
UCT95H	contig_6 [gcode=11] [topology=linear]	L25413.1	D	50792	1150	85.54268554268555	2277	1138	[(1, 1139)]	[(37383, 38522), (11094, 12232)]	[(1, 1139), (1, 1139)]	4.482989447157033
UCT95H	contig_6 [gcode=11] [topology=linear]	U01892.1	M	50792	824	86.6626065773447	1603	817	[(7, 824)]	[(11095, 11895), (37384, 38187)]	[(7, 824), (7, 824)]	3.156008820286659
UCT95H	contig_6 [gcode=11] [topology=linear]	U04282.1	B_bissettii25015	50792	962	83.8477366255144	1845	961	[(1, 962)]	[(37288, 38212), (10999, 11920)]	[(1, 962), (1, 962)]	3.6324618050086626
UCT95H	contig_6 [gcode=11] [topology=linear]	U01894.1	A	50792	980	84.94983277591973	1473	744	[(230, 974)]	[(37485, 38223), (11196, 11931)]	[(230, 974), (230, 974)]	2.9000630020475664
UCT95H	contig_8 [gcode=11] [topology=linear]	U04240.1	E	50250	929	99.24731182795699	1846	928	[(1, 929)]	[(20476, 21398), (46722, 47646)]	[(929, 1), (929, 1)]	3.67363184079602
UCT95H	contig_8 [gcode=11] [topology=linear]	L25413.1	D	50250	1150	85.48801369863014	2280	1138	[(1, 1139)]	[(46410, 47551), (20164, 21303)]	[(1139, 1), (1139, 1)]	4.537313432835822
UCT95H	contig_8 [gcode=11] [topology=linear]	U01892.1	M	50250	824	86.6626065773447	1604	817	[(7, 824)]	[(46747, 47550), (20501, 21302)]	[(824, 7), (824, 7)]	3.1920398009950253
UCT95H	contig_8 [gcode=11] [topology=linear]	U04282.1	B_bissettii25015	50250	962	83.7448559670782	1846	961	[(1, 962)]	[(20476, 21398), (46722, 47646)]	[(962, 1), (962, 1)]	3.67363184079602
UCT95H	contig_8 [gcode=11] [topology=linear]	U01894.1	A	50250	980	84.93975903614458	1473	744	[(230, 974)]	[(20465, 21201), (46711, 47448)]	[(974, 230), (974, 230)]	2.9313432835820894
