assembly_id	contig_id	ref_id	ospC_type	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
URI45H	contig_14 [gcode=11] [topology=linear]	L25413.1	D	26514	1150	86.34020618556701	1150	1138	[(1, 1139)]	[(15199, 16349)]	[(1, 1139)]	4.337331221241608
URI45H	contig_14 [gcode=11] [topology=linear]	U04240.1	E	26514	929	88.67521367521367	930	925	[(1, 926)]	[(15105, 16035)]	[(1, 926)]	3.507580900656257
URI45H	contig_14 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(15407, 15989)]	[(1, 583)]	2.1950667571848834
URI45H	contig_14 [gcode=11] [topology=linear]	L42895.1	K	26514	579	100.0	578	578	[(1, 579)]	[(15432, 16010)]	[(1, 579)]	2.1799803877196955
URI45H	contig_14 [gcode=11] [topology=linear]	U01892.1	M	26514	824	86.89320388349515	813	817	[(7, 824)]	[(15200, 16013)]	[(7, 824)]	3.066304593799502
URI45H	contig_15 [gcode=11] [topology=linear]	L25413.1	D	26506	1150	84.74434199497067	1171	1149	[(1, 1150)]	[(17367, 18538)]	[(1150, 1)]	4.417867652606957
URI45H	contig_15 [gcode=11] [topology=linear]	L42897.1	N	26506	579	100.0	578	578	[(1, 579)]	[(17727, 18305)]	[(579, 1)]	2.18063834603486
URI45H	contig_15 [gcode=11] [topology=linear]	DQ437470.1	N	26506	579	100.0	578	578	[(1, 579)]	[(17751, 18329)]	[(579, 1)]	2.18063834603486
URI45H	contig_15 [gcode=11] [topology=linear]	U04240.1	E	26506	929	86.51804670912952	933	928	[(1, 929)]	[(17699, 18632)]	[(929, 1)]	3.519957745416132
URI45H	contig_15 [gcode=11] [topology=linear]	U01892.1	M	26506	824	84.91484184914842	813	817	[(7, 824)]	[(17724, 18537)]	[(824, 7)]	3.0672300611182375
