assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
B331P,contig_1 [gcode=11] [topology=linear],903654,B500_chromosome_ParA_2,chromosome,B500,903654,380,100.0,1091,363,"[(1, 364)]","[(368951, 370042)]","[(1, 364)]",0.120732050098821,pf32
B331P,contig_10 [gcode=11] [topology=linear],8714,gb|CP017210.1|,cp9,B331,8714,8714,100.0,8713,8713,"[(1, 8714)]","[(1, 8714)]","[(1, 8714)]",99.98852421390863,wp
B331P,contig_11 [gcode=11] [topology=linear],15594,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,15594,246,100.0,725,241,"[(1, 242)]","[(12036, 12761)]","[(1, 242)]",4.649224060536104,pf32
B331P,contig_12 [gcode=11] [topology=linear],24722,RS00040_ZS7_ZS7_lp25_ParA_X,lp25,RS00040,24722,252,100.0,755,251,"[(1, 252)]","[(11900, 12655)]","[(1, 252)]",3.0539600355958254,pf32
B331P,contig_13 [gcode=11] [topology=linear],27641,H28_B31_lp28-3_ParA_X,lp28-3,H28,27641,251,100.0,752,250,"[(1, 251)]","[(16701, 17453)]","[(1, 251)]",2.720596215766434,pf32
B331P,contig_14 [gcode=11] [topology=linear],23102,RS01665_B31_NRZ_p_lp28-1_ParA_X,lp28-1,RS01665,23102,249,100.0,746,248,"[(1, 249)]","[(14223, 14969)]","[(1, 249)]",3.229157648688425,pf32
B331P,contig_15 [gcode=11] [topology=linear],29288,RS06425_B331_B331_lp28_6_ParA_X,lp28-6,RS06425,29288,251,100.0,752,250,"[(1, 251)]","[(22964, 23716)]","[(1, 251)]",2.567604479650369,pf32
B331P,contig_16 [gcode=11] [topology=linear],30208,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,30208,249,100.0,728,242,"[(1, 243)]","[(11179, 11907)]","[(1, 243)]",2.409957627118644,pf32
B331P,contig_17 [gcode=11] [topology=linear],38924,RS06690_B331_B331_lp38_ParA_X,lp38,RS06690,38924,245,100.0,734,244,"[(1, 245)]","[(11244, 11978)]","[(1, 245)]",1.8857260302127223,pf32
B331P,contig_18 [gcode=11] [topology=linear],53758,A20_B31_lp54_ParA_X,lp54,A20,53758,250,100.0,749,249,"[(1, 250)]","[(39435, 40184)]","[(1, 250)]",1.3932810000372038,pf32
B331P,contig_19 [gcode=11] [topology=linear],27679,RS07175_B331_B331_lp56_ParA_X,lp56,RS07175,27679,253,100.0,746,248,"[(5, 253)]","[(23919, 24665)]","[(5, 253)]",2.695184074569168,pf32
B331P,contig_2 [gcode=11] [topology=linear],26506,WI91-23_cp26_ParA_1,cp26,WI91-23,26506,253,100.0,758,252,"[(1, 253)]","[(9275, 10033)]","[(1, 253)]",2.859729872481702,pf32
B331P,contig_3 [gcode=11] [topology=linear],30192,RS04790_B331_B331_cp32_10_ParA_X,cp32-10,RS04790,30192,246,100.0,737,245,"[(1, 246)]","[(20971, 21708)]","[(1, 246)]",2.4410439851616323,pf32
B331P,contig_4 [gcode=11] [topology=linear],30176,B500_cp32-11_ParA_1,cp32-11,B500,30176,252,100.0,755,251,"[(1, 252)]","[(20775, 21530)]","[(1, 252)]",2.5019883351007426,pf32
B331P,contig_5 [gcode=11] [topology=linear],29892,RS01500_JD1_JD1_cp32-8_ParA_X,cp32-8,RS01500,29892,246,100.0,731,243,"[(1, 244)]","[(20972, 21703)]","[(1, 244)]",2.445470359962532,pf32
B331P,contig_6 [gcode=11] [topology=linear],30617,RS05205_B331_B331_cp32_4_ParA_X,cp32-4,RS05205,30617,251,100.0,752,250,"[(1, 251)]","[(21267, 22019)]","[(1, 251)]",2.456151811085345,pf32
B331P,contig_7 [gcode=11] [topology=linear],18340,B500_cp32-5_ParA_1,cp32-5,B500,18340,257,100.0,770,256,"[(1, 257)]","[(9692, 10462)]","[(1, 257)]",4.198473282442748,pf32
B331P,contig_8 [gcode=11] [topology=linear],30017,M32_B31_cp32-6_ParA_X,cp32-6,M32,30017,249,100.0,746,248,"[(1, 249)]","[(20675, 21421)]","[(1, 249)]",2.485258353599627,pf32
B331P,contig_9 [gcode=11] [topology=linear],30054,O32_B31_cp32-7_ParA_X,cp32-7,O32,30054,249,100.0,746,248,"[(1, 249)]","[(20778, 21524)]","[(1, 249)]",2.482198708990484,pf32
