assembly_id	contig_id	ref_id	ospC_type	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
K89HH	contig_13 [gcode=11] [topology=linear]	L25413.1	D	26506	1150	87.39352640545145	1157	1138	[(1, 1139)]	[(19213, 20370)]	[(1139, 1)]	4.365049422772203
K89HH	contig_13 [gcode=11] [topology=linear]	U04281.1	I	26506	692	100.0	691	691	[(1, 692)]	[(19534, 20225)]	[(692, 1)]	2.6069569154153776
K89HH	contig_13 [gcode=11] [topology=linear]	U04240.1	E	26506	929	87.15498938428875	931	928	[(1, 929)]	[(19534, 20465)]	[(929, 1)]	3.5124122840111673
K89HH	contig_13 [gcode=11] [topology=linear]	U01892.1	M	26506	824	86.00973236009733	810	817	[(7, 824)]	[(19559, 20369)]	[(824, 7)]	3.05591186901079
K89HH	contig_13 [gcode=11] [topology=linear]	DQ437462.1	C	26506	630	89.84126984126985	629	629	[(1, 630)]	[(19562, 20191)]	[(630, 1)]	2.373047611861465
K89HH	contig_15 [gcode=11] [topology=linear]	L25413.1	D	25057	1150	85.41315345699832	1170	1149	[(1, 1150)]	[(23844, 25014)]	[(1150, 1)]	4.669353873169174
K89HH	contig_15 [gcode=11] [topology=linear]	AF029868.1	H	25057	551	100.0	550	550	[(1, 551)]	[(24255, 24805)]	[(551, 1)]	2.194995410464142
K89HH	contig_15 [gcode=11] [topology=linear]	EF537400.1	H	25057	552	99.45652173913044	551	551	[(1, 552)]	[(24232, 24783)]	[(552, 1)]	2.19898631121044
K89HH	contig_15 [gcode=11] [topology=linear]	GQ478286.1	H	25057	528	99.81060606060606	527	527	[(1, 528)]	[(24217, 24744)]	[(528, 1)]	2.1032046932992774
K89HH	contig_15 [gcode=11] [topology=linear]	U04240.1	E	25057	929	86.71171171171171	878	875	[(54, 929)]	[(24177, 25055)]	[(929, 54)]	3.5040108552500295
