QUERY_ID	QUERY_NAME	QUERY_START	QUERY_END	QUERY_LENGTH	REF_ID	REF_NAME	REF_START	REF_END	REF_LENGTH	IDENTITY	EVALUE
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	18293	17780	513	renamed_GCF_000008685.2	chromosome	18304	17791	513	98.8	2.06e-108
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	25613	24686	927	renamed_GCF_000008685.2	chromosome	25623	24696	927	100.0	1.199e-200
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	26388	27438	1050	renamed_GCF_000008685.2	chromosome	26398	27448	1050	99.7	3.848e-234
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	39815	40667	852	renamed_GCF_000008685.2	chromosome	39825	40677	852	99.6	5.092e-189
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	42473	41432	1041	renamed_GCF_000008685.2	chromosome	42483	41442	1041	99.1	1.075e-229
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	42871	42469	402	renamed_GCF_000008685.2	chromosome	42881	42479	402	100.0	2.405e-88
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	45435	45981	546	renamed_GCF_000008685.2	chromosome	45445	45991	546	98.3	8.811e-115
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	46369	46000	369	renamed_GCF_000008685.2	chromosome	46379	46010	369	100.0	3.085e-80
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	47156	47831	675	renamed_GCF_000008685.2	chromosome	47166	47841	675	99.5	1.946e-144
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	49249	48592	657	renamed_GCF_000008685.2	chromosome	49259	48602	657	99.0	5.221e-139
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	50464	50101	363	renamed_GCF_000008685.2	chromosome	50474	50111	363	100.0	4.578e-75
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	52424	51242	1182	renamed_GCF_000008685.2	chromosome	52434	51252	1182	99.4	1.623e-257
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	53451	52443	1008	renamed_GCF_000008685.2	chromosome	53461	52453	1008	100.0	6.65e-221
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	55494	53523	1971	renamed_GCF_000008685.2	chromosome	55504	53533	1971	99.5	0.0
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	56270	55490	780	renamed_GCF_000008685.2	chromosome	56280	55500	780	99.6	1.628e-172
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	57182	56828	354	renamed_GCF_000008685.2	chromosome	57185	56831	354	99.1	6.554e-78
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	79495	80764	1269	renamed_GCF_000008685.2	chromosome	79504	80773	1269	100.0	1.4e-282
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	160079	161198	1119	renamed_GCF_000008685.2	chromosome	160089	161208	1119	100.0	2.349e-251
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	162791	161189	1602	renamed_GCF_000008685.2	chromosome	162801	161199	1602	100.0	0.0
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	167749	165904	1845	renamed_GCF_000008685.2	chromosome	167759	165914	1845	99.3	0.0
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	179533	178906	627	renamed_GCF_000008685.2	chromosome	179543	178916	627	98.5	6.931e-131
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	182792	181397	1395	renamed_GCF_000008685.2	chromosome	182802	181407	1395	100.0	4.219e-300
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	186543	186936	393	renamed_GCF_000008685.2	chromosome	186553	186946	393	100.0	5.626e-86
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	187821	187167	654	renamed_GCF_000008685.2	chromosome	187831	187177	654	100.0	1.397e-144
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	188227	187813	414	renamed_GCF_000008685.2	chromosome	188237	187823	414	99.2	2.918e-88
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	252115	252721	606	renamed_GCF_000008685.2	chromosome	252433	253039	606	100.0	4.115e-133
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	252840	254613	1773	renamed_GCF_000008685.2	chromosome	253158	254931	1773	99.1	0.0
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	276172	274918	1254	renamed_GCF_000008685.2	chromosome	276496	275242	1254	99.7	2.463e-282
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161126.1	276233	276740	507	renamed_GCF_000008685.2	chromosome	276671	277064	507	100.0	6.298e-87
