# Annotated with Bakta
# Software: v1.10.0
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	64	627	+	MCMNOK_00001		Uncharacterized protein BB_0001	SO:0001217, UniRef:UniRef50_O51035, UniRef:UniRef90_O51035
contig_1	cds	745	1773	-	MCMNOK_00002		Glycoside hydrolase family 3 N-terminal domain-containing protein	RefSeq:WP_106006886.1, SO:0001217, UniParc:UPI000D045255, UniRef:UniRef100_UPI000D045255, UniRef:UniRef50_B5RKT0, UniRef:UniRef90_O54536
contig_1	cds	1761	3227	-	MCMNOK_00003		UTP--glucose-1-phosphate uridylyltransferase	RefSeq:WP_002665530.1, SO:0001217, UniParc:UPI00017F46ED, UniRef:UniRef100_UPI00017F46ED, UniRef:UniRef50_A0A0H3C280, UniRef:UniRef90_A0A0H3C280
contig_1	cds	3373	5166	+	MCMNOK_00004	manB	Phosphomannomutase	COG:COG1109, COG:G, RefSeq:WP_042344265.1, SO:0001217, UniParc:UPI00017F3B05, UniRef:UniRef100_UPI00017F3B05, UniRef:UniRef50_B5RKT2, UniRef:UniRef90_O51892
contig_1	cds	5229	6284	-	MCMNOK_00005	trpS	tryptophan--tRNA ligase	COG:COG0180, COG:J, EC:6.1.1.2, GO:0004830, GO:0005524, GO:0005737, GO:0006436, RefSeq:WP_002664286.1, SO:0001217, UniParc:UPI00017F4A55, UniRef:UniRef100_UPI00017F4A55, UniRef:UniRef50_O51038, UniRef:UniRef90_O51038
contig_1	cds	6287	7375	-	MCMNOK_00006	perM	Putative transport protein BB_0006	COG:COG0628, COG:R, GO:0005886, RefSeq:WP_106006887.1, SO:0001217, UniParc:UPI000D03AC1D, UniRef:UniRef100_UPI000D03AC1D, UniRef:UniRef50_O51039, UniRef:UniRef90_O51039
contig_1	cds	7439	8296	-	MCMNOK_00007		Uncharacterized protein BB_0007	RefSeq:WP_002656463.1, SO:0001217, UniParc:UPI00016B38B9, UniRef:UniRef100_UPI00016B38B9, UniRef:UniRef50_O51040, UniRef:UniRef90_O51040
contig_1	cds	8408	9178	+	MCMNOK_00008	cdaA	diadenylate cyclase CdaA	COG:COG1624, COG:T, EC:2.7.7.85, GO:0004016, RefSeq:WP_002656665.1, SO:0001217, UniParc:UPI00016B2F8E, UniRef:UniRef100_O51041, UniRef:UniRef50_O51041, UniRef:UniRef90_O51041
contig_1	cds	9183	10187	+	MCMNOK_00009		YbbR-like domain-containing protein BB-0009	GO:0016020, RefSeq:WP_002556616.1, SO:0001217, UniParc:UPI00016B2F8D, UniRef:UniRef100_A0A7U8I518, UniRef:UniRef50_O51042, UniRef:UniRef90_O51042
contig_1	cds	10184	10558	+	MCMNOK_00010	acpS	Holo-[acyl-carrier-protein] synthase	EC:2.7.8.7, GO:0000287, GO:0005737, GO:0006633, GO:0008897, RefSeq:WP_002556617.1, SO:0001217, UniParc:UPI00000572F7, UniRef:UniRef100_O51043, UniRef:UniRef50_O51043, UniRef:UniRef90_O51043
