#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	144357	144545	-	MCMNOK_00140	7.3	9.5		SO:0001217, UniParc:UPI00018847F9, UniRef:UniRef100_A0A0H3C4A0, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
contig_1	157619	158053	+	MCMNOK_00151	16.9	10.1		RefSeq:WP_002556754.1, SO:0001217, UniParc:UPI00016B2B02, UniRef:UniRef100_A0A0H3C1D3, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
contig_1	272478	273491	-	MCMNOK_00258	39.2	4.3		RefSeq:WP_002663562.1, SO:0001217, UniParc:UPI00017F2E98, UniRef:UniRef100_UPI00017F2E98, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
contig_1	368333	368758	+	MCMNOK_00353	16.6	9.7		SO:0001217, UniRef:UniRef50_O51335
contig_1	416569	416985	+	MCMNOK_00398	16.2	10.4		RefSeq:WP_002664046.1, SO:0001217, UniParc:UPI00017F449C, UniRef:UniRef100_UPI00017F449C, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
contig_1	535051	535473	-	MCMNOK_00521	16.5	10.2		RefSeq:WP_002657113.1, SO:0001217, UniParc:UPI00016B3076, UniRef:UniRef100_UPI00016B3076, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
contig_1	563923	565416	-	MCMNOK_00550	59.4	5.8		RefSeq:WP_106006912.1, SO:0001217, UniParc:UPI000D033C84, UniRef:UniRef100_UPI000D033C84, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
contig_1	644523	644891	+	MCMNOK_00619	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
contig_1	662354	662668	-	MCMNOK_00634	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
contig_1	689936	690232	+	MCMNOK_00654	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
contig_1	738871	739410	+	MCMNOK_00704	21.1	9.9		RefSeq:WP_002656268.1, SO:0001217, UniParc:UPI00000575A2, UniRef:UniRef100_O51644, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
contig_1	792061	793335	+	MCMNOK_00755	48.5	4.6		RefSeq:WP_042344152.1, SO:0001217, UniParc:UPI00017F3FD1, UniRef:UniRef100_UPI00017F3FD1, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
contig_1	814607	815041	-	MCMNOK_00779	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
