assembly_id	contig_id	resolved_call
B331P	contig_1 [gcode=11] [topology=linear]	chromosome
B331P	contig_10 [gcode=11] [topology=linear]	cp9
B331P	contig_11 [gcode=11] [topology=linear]	lp17
B331P	contig_12 [gcode=11] [topology=linear]	lp25
B331P	contig_13 [gcode=11] [topology=linear]	lp28-3
B331P	contig_14 [gcode=11] [topology=linear]	lp28-1
B331P	contig_15 [gcode=11] [topology=linear]	lp28-6
B331P	contig_16 [gcode=11] [topology=linear]	lp36
B331P	contig_17 [gcode=11] [topology=linear]	lp38
B331P	contig_18 [gcode=11] [topology=linear]	lp54
B331P	contig_19 [gcode=11] [topology=linear]	lp56
B331P	contig_2 [gcode=11] [topology=linear]	cp26
B331P	contig_3 [gcode=11] [topology=linear]	cp32-10
B331P	contig_4 [gcode=11] [topology=linear]	cp32-11
B331P	contig_5 [gcode=11] [topology=linear]	cp32-8
B331P	contig_6 [gcode=11] [topology=linear]	cp32-4
B331P	contig_7 [gcode=11] [topology=linear]	cp32-5
B331P	contig_8 [gcode=11] [topology=linear]	cp32-6
B331P	contig_9 [gcode=11] [topology=linear]	cp32-7
B418P	contig_1 [gcode=11] [topology=linear]	chromosome
B418P	contig_10 [gcode=11] [topology=linear]	lp17
B418P	contig_11 [gcode=11] [topology=linear]	lp25
B418P	contig_12 [gcode=11] [topology=linear]	lp28-2
B418P	contig_13 [gcode=11] [topology=linear]	lp28-3
B418P	contig_14 [gcode=11] [topology=linear]	lp28-4
B418P	contig_15 [gcode=11] [topology=linear]	lp28-6
B418P	contig_16 [gcode=11] [topology=linear]	lp36
B418P	contig_17 [gcode=11] [topology=linear]	lp38
B418P	contig_18 [gcode=11] [topology=linear]	lp54
B418P	contig_2 [gcode=11] [topology=linear]	cp26
B418P	contig_3 [gcode=11] [topology=linear]	cp32-10
B418P	contig_4 [gcode=11] [topology=linear]	cp32-12
B418P	contig_5 [gcode=11] [topology=linear]	cp32-4
B418P	contig_6 [gcode=11] [topology=linear]	cp32-1+5
B418P	contig_7 [gcode=11] [topology=linear]	cp32-7
B418P	contig_8 [gcode=11] [topology=linear]	cp32-9
B418P	contig_9 [gcode=11] [topology=linear]	cp9
B500P	contig_1 [gcode=11] [topology=linear]	chromosome
B500P	contig_10 [gcode=11] [topology=linear]	lp17
B500P	contig_11 [gcode=11] [topology=linear]	chromosome
B500P	contig_12 [gcode=11] [topology=linear]	lp25
B500P	contig_13 [gcode=11] [topology=linear]	lp28-3
B500P	contig_14 [gcode=11] [topology=linear]	lp28-4
B500P	contig_15 [gcode=11] [topology=linear]	lp28-6
B500P	contig_16 [gcode=11] [topology=linear]	lp36
B500P	contig_17 [gcode=11] [topology=linear]	lp38
B500P	contig_18 [gcode=11] [topology=linear]	lp54
B500P	contig_19 [gcode=11] [topology=linear]	lp56
B500P	contig_2 [gcode=11] [topology=linear]	cp26
B500P	contig_3 [gcode=11] [topology=linear]	cp32-10
B500P	contig_4 [gcode=11] [topology=linear]	cp32-11
B500P	contig_5 [gcode=11] [topology=linear]	cp32-8
B500P	contig_6 [gcode=11] [topology=linear]	cp32-4
B500P	contig_7 [gcode=11] [topology=linear]	cp32-5
B500P	contig_8 [gcode=11] [topology=linear]	cp32-6
B500P	contig_9 [gcode=11] [topology=linear]	cp32-7
ESI26H	contig_1 [gcode=11] [topology=linear]	chromosome
ESI26H	contig_10 [gcode=11] [topology=linear]	lp17
ESI26H	contig_11 [gcode=11] [topology=linear]	cp32-9
ESI26H	contig_12 [gcode=11] [topology=linear]	cp32-1
ESI26H	contig_13 [gcode=11] [topology=linear]	lp54
ESI26H	contig_14 [gcode=11] [topology=linear]	cp32-5
ESI26H	contig_15 [gcode=11] [topology=linear]	cp32-9-4
ESI26H	contig_16 [gcode=11] [topology=linear]	cp32-9
ESI26H	contig_17 [gcode=11] [topology=linear]	cp32-5
ESI26H	contig_18 [gcode=11] [topology=linear]	cp32-3
ESI26H	contig_19 [gcode=11] [topology=linear]	cp32-9
ESI26H	contig_2 [gcode=11] [topology=linear]	cp32-1+5
