assembly_id	contig_id	resolved_call
B331P	contig_1	chromosome
B331P	contig_10	cp9
B331P	contig_11	lp17
B331P	contig_12	lp25
B331P	contig_13	lp28-3
B331P	contig_14	lp28-1
B331P	contig_15	lp28-6
B331P	contig_16	lp36
B331P	contig_17	lp38
B331P	contig_18	lp54
B331P	contig_19	lp56
B331P	contig_2	cp26
B331P	contig_3	cp32-10
B331P	contig_4	cp32-11
B331P	contig_5	cp32-8
B331P	contig_6	cp32-4
B331P	contig_7	cp32-5
B331P	contig_8	cp32-6
B331P	contig_9	cp32-7
B418P	contig_1	chromosome
B418P	contig_10	lp17
B418P	contig_11	lp25
B418P	contig_12	lp28-2
B418P	contig_13	lp28-3
B418P	contig_14	lp28-4
B418P	contig_15	lp28-6
B418P	contig_16	lp36
B418P	contig_17	lp38
B418P	contig_18	lp54
B418P	contig_2	cp26
B418P	contig_3	cp32-10
B418P	contig_4	cp32-12
B418P	contig_5	cp32-4
B418P	contig_6	cp32-1+5
B418P	contig_7	cp32-7
B418P	contig_8	cp32-9
B418P	contig_9	cp9
B500P	contig_1	chromosome
B500P	contig_10	lp17
B500P	contig_11	chromosome
B500P	contig_12	lp25
B500P	contig_13	lp28-3
B500P	contig_14	lp28-4
B500P	contig_15	lp28-6
B500P	contig_16	lp36
B500P	contig_17	lp38
B500P	contig_18	lp54
B500P	contig_19	lp56
B500P	contig_2	cp26
B500P	contig_3	cp32-10
B500P	contig_4	cp32-11
B500P	contig_5	cp32-8
B500P	contig_6	cp32-4
B500P	contig_7	cp32-5
B500P	contig_8	cp32-6
B500P	contig_9	cp32-7
ESI26H	contig_1	chromosome
ESI26H	contig_10	lp17
ESI26H	contig_11	cp32-9
ESI26H	contig_12	cp32-1
ESI26H	contig_13	lp54
ESI26H	contig_14	cp32-5
ESI26H	contig_15	cp32-9-4
ESI26H	contig_16	cp32-9
ESI26H	contig_17	cp32-5
ESI26H	contig_18	cp32-3
ESI26H	contig_19	cp32-9
ESI26H	contig_2	cp32-1+5
ESI26H	contig_20	cp32-9
ESI26H	contig_21	cp32-1
ESI26H	contig_22	cp32-5
ESI26H	contig_23	cp32-12
ESI26H	contig_24	cp32-5
ESI26H	contig_25	cp32-9
ESI26H	contig_26	cp32-5
ESI26H	contig_27	cp32-3
ESI26H	contig_28	cp32-9
ESI26H	contig_29	cp32-5
ESI26H	contig_3	lp28-9
ESI26H	contig_30	cp32-8
ESI26H	contig_31	cp32-4
ESI26H	contig_32	cp32-9
ESI26H	contig_33	cp32-9
ESI26H	contig_34	
ESI26H	contig_35	cp32-4
ESI26H	contig_36	
ESI26H	contig_37	lp56
ESI26H	contig_38	cp32-3
ESI26H	contig_39	cp32-11
ESI26H	contig_4	lp36
ESI26H	contig_40	cp32-9
ESI26H	contig_41	cp32-9
ESI26H	contig_42	cp32-12
ESI26H	contig_43	cp32-5
ESI26H	contig_44	cp32-9
ESI26H	contig_45	cp32-9
ESI26H	contig_46	cp32-3+10
ESI26H	contig_5	cp32-6
ESI26H	contig_6	cp32-3+10
