assembly_id	contig_id	contig_len	old_call	new_call	plasmid_name_pf32	plasmid_name_wp	resolved_call	override_call	category	action	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	overall_percent_identity_wp	query_coverage_percent_wp	ref_length_wp	ref_covered_length_wp	wp_ref_cov_pct
URI112H	contig_2 [gcode=11] [topology=linear]	71363	chromosome	chromosome*	chromosome	lp28-3	chromosome		annotation_suffix	KEEP	82.51473477	2.1369617308689377	1525	97.36056228	44.13631713913372	28797	28290	98.2
URI41H	contig_6 [gcode=11] [topology=linear]	34091	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.232260713971429	761	96.03239603239602	97.91733889	28447	28446	100
UCT31H	contig_5 [gcode=11] [topology=linear]	33647	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.261717240764407	761	96.06886814939767	97.99982167800992	28447	28275	99.4
URI111H	contig_6 [gcode=11] [topology=linear]	33475	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.2733383121732635	761	96.08023555391976	97.98655713	28447	27863	97.9
URI42H	contig_5 [gcode=11] [topology=linear]	33453	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.274833348279676	761	96.05265580410568	97.98523301	28447	27855	97.9
URI40H	contig_5 [gcode=11] [topology=linear]	33437	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.275921882944044	761	96.06106364172068	97.98426892364743	28447	27818	97.8
URI93H	contig_7 [gcode=11] [topology=linear]	33271	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.287277208	761	95.94123184259584	97.97421177602116	28447	27889	98
UCT29H	contig_5 [gcode=11] [topology=linear]	33021	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.304594046213016	761	95.88476602379671	97.83168286847764	28447	28446	100
UCT109H	contig_7 [gcode=11] [topology=linear]	32634	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.331923760495189	761	95.90198163	97.93466936	28447	27825	97.8
URI91H	contig_6 [gcode=11] [topology=linear]	32383	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.3499984559799896	761	96.06873906991684	98.07923910693884	28447	27931	98.2
URI101H	contig_6 [gcode=11] [topology=linear]	32342	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.3529775524086327	761	95.96348541482747	97.95621792096964	28447	27827	97.8
URI89H	contig_6 [gcode=11] [topology=linear]	31871	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.387750619685608	761	95.54829487	92.69869160051456	28447	28446	100
URI39H	contig_6 [gcode=11] [topology=linear]	31809	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.3924046653462856	761	95.90977326340824	95.19004055456004	28447	27056	95.1
GCF_024662175.1_ASM2466217v1_genomic	"NZ_CP094594.1 Borreliella burgdorferi strain B379 plasmid p36, complete sequence"	31386	lp36	lp36*	lp36	lp36	lp36		annotation_suffix	KEEP	100	4.639011024	1456	99.72877187906842	99.99681386605494	31386	31385	100
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	NZ_CP161913.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-3	30430	lp28-3	lp28-3*	lp28-3	lp28-3	lp28-3		annotation_suffix	KEEP	98.80478087649402	4.942490962865593	1504	93.10852840072025	59.93098915543871	28414	11494	40.5
UNY1032P	contig_11 [gcode=11] [topology=linear]	30086	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.5294156750648145	761	95.34158608786028	98.24503091138736	28447	28446	100
GCF_040790805.1_ASM4079080v1_genomic	"NZ_CP161196.1 Borreliella burgdorferi strain B31 plasmid lp28-1, complete sequence"	30068	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.5309298922442465	761	95.66065787028434	98.24065451642944	28447	28446	100
GCF_024662195.1_ASM2466219v1_genomic	"NZ_CP094609.1 Borreliella burgdorferi strain B31-5A4 plasmid p28-1, complete sequence"	28447	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.675150279467079	761	95.65876366785751	99.99648469082857	28447	28446	100
GCF_002151485.1_ASM215148v1_genomic	"NZ_CP019923.1 Borreliella burgdorferi strain PAbe plasmid p_lp28-1, complete sequence"	28157	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.702702702702702	761	95.70085656213703	99.99644848527898	28157	28156	100
URI102H	contig_14 [gcode=11] [topology=linear]	27792	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.738198042602188	761	95.75266693006716	97.68278641335635	28447	26464	93
URI107H	contig_16 [gcode=11] [topology=linear]	26680	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.8523238380809595	761	95.85123384	97.66866566716642	28447	25713	90.4
URI87H	contig_16 [gcode=11] [topology=linear]	26671	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	2.8532863409695923	761	95.85600930580368	97.66787896966744	28447	25713	90.4
GCF_024662175.1_ASM2466217v1_genomic	"NZ_CP094580.1 Borreliella burgdorferi strain B379 plasmid p26, complete sequence"	26515	cp26	cp26*	cp26	cp26	cp26		annotation_suffix	KEEP	100	2.7531585894776542	730	98.24711561505016	99.99622854987744	26515	26514	100
URI120H	contig_19 [gcode=11] [topology=linear]	24037	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	3.165952489911387	761	96.46746900262536	98.70200108166576	28447	28288	99.4
URI40H	contig_18 [gcode=11] [topology=linear]	22212	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.528002881325409	1450	99.96811515	98.82495948136145	16928	16849	99.5
URI42H	contig_16 [gcode=11] [topology=linear]	22110	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.558118498417007	1450	99.96834011759384	99.98643148	16928	16927	100
URI91H	contig_21 [gcode=11] [topology=linear]	22110	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.558118498417007	1450	99.97738579828132	99.98643148	16928	16927	100
URI111H	contig_19 [gcode=11] [topology=linear]	22096	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.562273714699493	1450	99.96832005792903	99.98642288	16928	16927	100
URI89H	contig_20 [gcode=11] [topology=linear]	22075	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.5685164212910525	1450	99.94563986409966	99.98640996602492	16904	16903	100
UCT109H	contig_17 [gcode=11] [topology=linear]	22043	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.5780519892936535	1450	99.95409685563462	98.81595064192716	16904	16825	99.5
UCT31H	contig_20 [gcode=11] [topology=linear]	21959	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.603215082654038	1450	99.98178423425476	99.98633817569106	16928	16927	100
URI102H	contig_16 [gcode=11] [topology=linear]	21941	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.608632241009982	1450	99.95442322592407	99.98632696777722	16904	16903	100
URI87H	contig_19 [gcode=11] [topology=linear]	21941	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.608632241009982	1450	99.95442322592407	99.98632696777722	16904	16903	100
URI107H	contig_19 [gcode=11] [topology=linear]	21938	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.609535964992251	1450	99.95441699334488	99.98632509800346	16904	16903	100
GCF_002151505.1_ASM215150v1_genomic	NZ_CP019762.1 Borreliella burgdorferi strain B31_NRZ isolate B31 plasmid p_lp28-1	21891	lp28-1	lp28-1*	lp28-1	lp28-1	lp28-1		annotation_suffix	KEEP	100	3.476314467132612	761	95.08661758336945	99.99543191265818	21891	21890	100
URI88H	contig_17 [gcode=11] [topology=linear]	21662	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.693749422952636	1450	99.97693088493126	99.76918105438094	17849	17848	100
URI47H	contig_16 [gcode=11] [topology=linear]	21620	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.706753006475486	1450	99.98632759092152	99.99537465309898	17965	17952	99.9
URI120H	contig_21 [gcode=11] [topology=linear]	21582	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.718561764433324	1450	99.96756556389585	99.98609952738391	16928	16927	100
UCT32H	contig_18 [gcode=11] [topology=linear]	21572	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.721676246986835	1450	99.88879621907144	99.93973669571668	17944	17942	100
URI103H	contig_15 [gcode=11] [topology=linear]	21567	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.723234571335837	1450	99.97247075017206	99.99072657300503	17944	17887	99.7
URI86H	contig_12 [gcode=11] [topology=linear]	21563	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.724481751	1450	100	99.99536242637852	17965	17960	100
URI112H	contig_13 [gcode=11] [topology=linear]	21546	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.729787431541817	1450	99.96788254	99.99071753457716	17944	17943	100
URI44H	contig_15 [gcode=11] [topology=linear]	21544	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.730412179725214	1450	100	99.99535833642776	17965	17945	99.9
UCT30H	contig_14 [gcode=11] [topology=linear]	21483	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.749522878555137	1450	99.98624169	99.99534515663548	17965	17957	100
UCT110H	contig_14 [gcode=11] [topology=linear]	21482	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.749837072898241	1450	99.98624105668684	99.99534493994972	17965	17945	99.9
URI46H	contig_13 [gcode=11] [topology=linear]	21420	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.769374416	1450	99.98614830547604	99.99533147	17965	17962	100
URI117H	contig_15 [gcode=11] [topology=linear]	20991	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	6.907722357200704	1450	99.98593794	99.99523605354676	17965	17463	97.2
UCT96H	contig_18 [gcode=11] [topology=linear]	20525	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	7.064555420219245	1450	99.95842428022034	93.13032886723508	16517	15440	93.5
UCT124H	contig_20 [gcode=11] [topology=linear]	18735	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	7.739524953	1450	99.94704231319176	99.98932479316788	16517	15081	91.3
URI39H	contig_20 [gcode=11] [topology=linear]	17931	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	8.086554012603871	1450	99.97769226479282	99.98884613239642	16928	14306	84.5
URI56H	contig_7 [gcode=11] [topology=linear]	16377	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	8.853880442	1450	99.85919804101624	99.73133052	15386	12711	82.6
URI36H	contig_20 [gcode=11] [topology=linear]	16368	lp17	lp17*	lp17	lp17	lp17		annotation_suffix	KEEP	100	8.858748778103617	1450	99.98774960186206	99.73118279569891	15386	12711	82.6
URI56H	contig_12 [gcode=11] [topology=linear]	8780	chromosome	lp21		lp21	chromosome	lp21	different	OVERRIDE - chromosome paralog bug				98.61361181130717	99.97722095671982	18777	5541	29.5
URI40H	contig_21 [gcode=11] [topology=linear]	6295	cp9-3	lp21-cp9		lp21-cp9	cp9-3	cp9-3	different	REVIEW				97.52763819095478	99.98411437648927	24387	9573	39.3
GCF_040790765.1_ASM4079076v1_genomic	"NZ_CP161125.1 Borreliella burgdorferi strain Bb16-23-2 plasmid lp5, complete sequence"	4753	chromosome	lp5		lp5	chromosome	lp5	different	OVERRIDE - chromosome paralog bug				97.98215803	98.63244266778877	5252	4703	89.5
UCT110H	contig_19 [gcode=11] [topology=linear]	4449	chromosome	lp21		lp21	chromosome	lp21	different	OVERRIDE - chromosome paralog bug				98.26969826969828	99.39312204989884	18777	6775	36.1
URI117H	contig_25 [gcode=11] [topology=linear]	4113	chromosome	lp21		lp21	chromosome	chromosome	different	OVERRIDE - chromosome paralog bug				98.87612997801124	87.77048383175298	18777	4088	21.8
UCT113H	contig_17 [gcode=11] [topology=linear]	3168	chromosome	lp21-cp9		lp21-cp9	chromosome	chromosome	different	OVERRIDE - chromosome paralog bug				99.93678887484198	99.81060606060606	24387	1581	6.5
URI101H	contig_22 [gcode=11] [topology=linear]	1025	lp56	lp36		lp36	lp56	lp56	different	REVIEW				98.6328125	99.70731707317071	30210	545	1.8
URI101H	contig_23 [gcode=11] [topology=linear]	1007	lp28-4	lp17		lp17	lp28-4	lp28-4	different	REVIEW				94.80840543881337	99.90069513406156	17266	1611	9.3
URI93H	contig_18 [gcode=11] [topology=linear]	1007	lp28-4	lp17		lp17	lp28-4	lp28-4	different	REVIEW				94.80840543881337	99.90069513406156	17266	1611	9.3
UCT29H	contig_22 [gcode=11] [topology=linear]	1005	lp28-4	lp17		lp17	lp28-4	lp28-4	different	REVIEW				94.8019802	99.90049751	17266	1611	9.3
UCT110H	contig_27 [gcode=11] [topology=linear]	1000	lp36	lp28-3		lp28-3	lp36		different	REVIEW				99	99.8	28797	498	1.7
URI46H	contig_27 [gcode=11] [topology=linear]	1000	lp36	lp28-3		lp28-3	lp36		different	REVIEW				99	99.8	28797	498	1.7
URI47H	contig_21 [gcode=11] [topology=linear]	1000	lp36	lp28-3		lp28-3	lp36		different	REVIEW				99	99.8	28797	498	1.7
UNY1085P	contig_1 [gcode=11] [topology=linear]	903386	chromosome	chromosome	lp54	chromosome	chromosome		exact_match	REVIEW - pf32/wp family conflict	99.72527472527472	0.120767867	1091	99.47449442322852	99.95372963495116	902191	902190	100
UNY172P	contig_1 [gcode=11] [topology=linear]	903384	chromosome	chromosome	lp54	chromosome	chromosome		exact_match	REVIEW - pf32/wp family conflict	99.72527472527472	0.1207681340382384	1091	99.47449326920965	99.95372953251332	902191	902190	100
UWI283P	contig_1 [gcode=11] [topology=linear]	903355	chromosome	chromosome	lp54	chromosome	chromosome		exact_match	REVIEW - pf32/wp family conflict	99.72527472527472	0.1207720110034261	1091	99.39477874581476	99.95228897	907764	902983	99.5
XYZ459H	contig_1 [gcode=11] [topology=linear]	903233	chromosome	chromosome	lp54	chromosome	chromosome		exact_match	REVIEW - pf32/wp family conflict	99.72527472527472	0.1207883237215646	1091	99.47433268	99.96080745499776	902191	902100	100
ESI425H	contig_2 [gcode=11] [topology=linear]	342816	chromosome	chromosome	lp56	chromosome	chromosome		exact_match	REVIEW - pf32/wp family conflict	100	0.2823672173994212	968	99.59335394216718	99.99970829832914	908512	342826	37.7
ESI425H	contig_3 [gcode=11] [topology=linear]	108461	chromosome	chromosome	lp54	chromosome	chromosome		exact_match	REVIEW - pf32/wp family conflict	100	0.6905708042522196	749	99.78333625291576	99.99907800960716	908512	108460	11.9
URI41H	contig_2 [gcode=11] [topology=linear]	60093	lp56	lp56	lp56	cp32-3	lp56		exact_match	REVIEW - lp56/cp32 conflict	100	1.2513936731399664	752	96.79128311	88.08679879520078	30418	30223	99.4
URI112H	contig_4 [gcode=11] [topology=linear]	44674	lp38	lp38	lp38	lp28-5	lp38		exact_match	REVIEW - pf32/wp family conflict	100	1.6430138335497158	734	99.02411855869818	58.188207906164656	27342	25999	95.1
UNY1085P	contig_16 [gcode=11] [topology=linear]	35946	lp36	lp36	lp36	lp17	lp36		exact_match	REVIEW - pf32/wp family conflict	100	2.075335225059812	746	88.20512821	10.245924442218884	18110	3636	20.1
UWI283P	contig_15 [gcode=11] [topology=linear]	35937	lp36	lp36	lp36	lp17	lp36		exact_match	REVIEW - pf32/wp family conflict	100	2.075854968416952	746	88.17813765182187	10.24849041377967	18110	3636	20.1
UNY172P	contig_14 [gcode=11] [topology=linear]	35925	lp36	lp36	lp36	lp17	lp36		exact_match	REVIEW - pf32/wp family conflict	100	2.0765483646485734	746	88.20512821	10.251913709116216	18110	3636	20.1
UCT30H	contig_6 [gcode=11] [topology=linear]	34559	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.271477762666744	785	97.16457776864598	57.45825979	24387	23823	97.7
XYZ459H	contig_2 [gcode=11] [topology=linear]	32754	lp36	lp36	lp36	lp17	lp36		exact_match	REVIEW - pf32/wp family conflict	100	2.277584417170422	746	88.20512821	11.24442816144593	18110	3636	20.1
URI33H	contig_6 [gcode=11] [topology=linear]	30965	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.535120297	785	96.70028877605486	86.50088809946715	24387	24277	99.5
URI111H	contig_9 [gcode=11] [topology=linear]	30763	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.5517667327633844	785	96.65006790402896	85.89214316	24387	23295	95.5
UCT31H	contig_12 [gcode=11] [topology=linear]	30338	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.587514008833806	785	96.65382697	86.08345969	24387	23295	95.5
URI48H	contig_10 [gcode=11] [topology=linear]	30219	lp56	lp56	lp56	cp32-1+5	lp56		exact_match	REVIEW - lp56/cp32 conflict	99.60159363	2.488500612197624	752	93.67877073	91.72705913	60739	50671	83.4
UNY990P	contig_5 [gcode=11] [topology=linear]	30213	lp56	lp56	lp56	cp32-1+5	lp56		exact_match	REVIEW - lp56/cp32 conflict	99.60159363	2.488994803561381	752	93.69595975475556	91.72541621156456	60739	50671	83.4
URI33H	contig_11 [gcode=11] [topology=linear]	30208	lp56	lp56	lp56	cp32-1+5	lp56		exact_match	REVIEW - lp56/cp32 conflict	99.60159363	2.489406779661017	752	93.82410192886216	91.72404661	60739	50650	83.4
URI41H	contig_11 [gcode=11] [topology=linear]	30141	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.6044258651006933	785	96.63318813639265	85.60100859294649	24387	23295	95.5
URI88H	contig_14 [gcode=11] [topology=linear]	29970	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.6192859526192858	785	96.53548696187804	85.52552552552552	24387	24321	99.7
URI39H	contig_14 [gcode=11] [topology=linear]	29953	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.620772543651721	785	96.64678135405106	85.51397188929323	24387	23295	95.5
UWI263P	contig_3 [gcode=11] [topology=linear]	29792	lp56	lp56	lp56	cp32-10	lp56		exact_match	REVIEW - lp56/cp32 conflict	99.60159363	2.524167561761547	752	94.82637424434137	94.31055316863588	30314	28090	92.7
UCT29H	contig_15 [gcode=11] [topology=linear]	29761	chromosome	chromosome	chromosome	lp21-cp9	chromosome	lp21-cp9	exact_match	OVERRIDE - chromosome paralog bug	100	2.6376801854776386	785	96.37732396123612	85.41715668156313	24387	23295	95.5
