assembly_id	contig_id	contig_len	old_call	new_call	resolved_call	override_call	category	action	plasmid_name_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	plasmid_name_wp	overall_percent_identity_wp	query_coverage_percent_wp	ref_length_wp	ref_covered_length_wp	wp_ref_cov_pct
URI112H	contig_2 [gcode=11] [topology=linear]	71363	chromosome	chromosome*	chromosome		annotation_suffix	KEEP	chromosome	82.5147347740668	2.1369617308689377	1525.0	lp28-3	97.3605622756478	44.13631713913372	28797.0	28290.0	98.2
URI41H	contig_6 [gcode=11] [topology=linear]	34091	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.232260713971429	761.0	lp28-1	96.03239603239602	97.9173388870963	28447.0	28446.0	100.0
UCT31H	contig_5 [gcode=11] [topology=linear]	33647	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.261717240764407	761.0	lp28-1	96.06886814939767	97.99982167800992	28447.0	28275.0	99.4
URI111H	contig_6 [gcode=11] [topology=linear]	33475	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.2733383121732635	761.0	lp28-1	96.08023555391976	97.9865571321882	28447.0	27863.0	97.9
URI42H	contig_5 [gcode=11] [topology=linear]	33453	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.274833348279676	761.0	lp28-1	96.05265580410568	97.9852330134816	28447.0	27855.0	97.9
URI40H	contig_5 [gcode=11] [topology=linear]	33437	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.275921882944044	761.0	lp28-1	96.06106364172068	97.98426892364743	28447.0	27818.0	97.8
URI93H	contig_7 [gcode=11] [topology=linear]	33271	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.28727720837967	761.0	lp28-1	95.94123184259584	97.97421177602116	28447.0	27889.0	98.0
UCT29H	contig_5 [gcode=11] [topology=linear]	33021	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.304594046213016	761.0	lp28-1	95.88476602379671	97.83168286847764	28447.0	28446.0	100.0
UCT109H	contig_7 [gcode=11] [topology=linear]	32634	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.331923760495189	761.0	lp28-1	95.9019816263002	97.9346693632408	28447.0	27825.0	97.8
URI91H	contig_6 [gcode=11] [topology=linear]	32383	lp28-1	lp28-1*	lp28-1		annotation_suffix	KEEP	lp28-1	100.0	2.3499984559799896	761.0	lp28-1	96.06873906991684	98.07923910693884	28447.0	27931.0	98.2
