assembly_id	contig_id	contig_len	old_call	new_call	category	resolved_call
B331P	contig_1	903654	chromosome	chromosome	exact_match	chromosome
B331P	contig_10	8714	cp9	cp9	exact_match	cp9
B331P	contig_11	15594	lp17	lp17	exact_match	lp17
B331P	contig_12	24722	lp25	lp25	exact_match	lp25
B331P	contig_13	27641	lp28-3	lp28-3	exact_match	lp28-3
B331P	contig_14	23102	lp28-1	lp28-1	exact_match	lp28-1
B331P	contig_15	29288	lp28-6	lp28-6	exact_match	lp28-6
B331P	contig_16	30208	lp36	lp36	exact_match	lp36
B331P	contig_17	38924	lp38	lp38	exact_match	lp38
B331P	contig_18	53758	lp54	lp54	exact_match	lp54
B331P	contig_19	27679	lp56	lp56	exact_match	lp56
B331P	contig_2	26506	cp26	cp26	exact_match	cp26
B331P	contig_3	30192	cp32-10	cp32-10	exact_match	cp32-10
B331P	contig_4	30176	cp32-11	cp32-11	exact_match	cp32-11
B331P	contig_5	29892	cp32-8	cp32-8	exact_match	cp32-8
B331P	contig_6	30617	cp32-4	cp32-4	exact_match	cp32-4
B331P	contig_7	18340	cp32-5	cp32-5	exact_match	cp32-5
B331P	contig_8	30017	cp32-6	cp32-6	exact_match	cp32-6
B331P	contig_9	30054	cp32-7	cp32-7	exact_match	cp32-7
B418P	contig_1	902773	chromosome	chromosome	exact_match	chromosome
B418P	contig_10	20530	lp17	lp17	exact_match	lp17
B418P	contig_11	24215	lp25	lp25	exact_match	lp25
B418P	contig_12	29777	lp28-2	lp28-2	exact_match	lp28-2
B418P	contig_13	30920	lp28-3	lp28-3	exact_match	lp28-3
B418P	contig_14	29677	lp28-4	lp28-4	exact_match	lp28-4
B418P	contig_15	29290	lp28-6	lp28-6	exact_match	lp28-6
B418P	contig_16	31165	lp36	lp36	exact_match	lp36
B418P	contig_17	37889	lp38	lp38	exact_match	lp38
B418P	contig_18	53805	lp54	lp54	exact_match	lp54
B418P	contig_2	26498	cp26	cp26	exact_match	cp26
B418P	contig_3	30154	cp32-10	cp32-10	exact_match	cp32-10
B418P	contig_4	27767	cp32-12	cp32-12	exact_match	cp32-12
B418P	contig_5	15915	cp32-4	cp32-4	exact_match	cp32-4
B418P	contig_6	29615	cp32-1+5	cp32-1+5	exact_match	cp32-1+5
B418P	contig_7	17483	cp32-7	cp32-7	exact_match	cp32-7
B418P	contig_8	30658	cp32-9	cp32-9	exact_match	cp32-9
B418P	contig_9	8722	cp9	cp9	exact_match	cp9
B500P	contig_1	903660	chromosome	chromosome	exact_match	chromosome
B500P	contig_10	15547	lp17	lp17	exact_match	lp17
B500P	contig_11	24387	chromosome	chromosome	exact_match	chromosome
B500P	contig_12	24206	lp25	lp25	exact_match	lp25
B500P	contig_13	27653	lp28-3	lp28-3	exact_match	lp28-3
B500P	contig_14	28165	lp28-4	lp28-4	exact_match	lp28-4
B500P	contig_15	29288	lp28-6	lp28-6	exact_match	lp28-6
B500P	contig_16	30208	lp36	lp36	exact_match	lp36
B500P	contig_17	38930	lp38	lp38	exact_match	lp38
B500P	contig_18	53758	lp54	lp54	exact_match	lp54
