#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	144362	144550	-	JKOCPB_00141	7.3	9.3		SO:0001217, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
contig_1	157623	158057	+	JKOCPB_00152	16.9	10.1		RefSeq:WP_002660853.1, SO:0001217, UniParc:UPI00016C4AA2, UniRef:UniRef100_UPI00016C4AA2, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
contig_1	272322	273335	-	JKOCPB_00259	39.2	4.3		RefSeq:WP_002661064.1, SO:0001217, UniParc:UPI00016C413F, UniRef:UniRef100_UPI00016C413F, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
contig_1	368159	368584	+	JKOCPB_00354	16.5	9.8		SO:0001217, UniParc:UPI00016C4CFD, UniRef:UniRef100_A0A7U8EY71, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
contig_1	416397	416813	+	JKOCPB_00400	16.3	10.5		RefSeq:WP_002661094.1, SO:0001217, UniParc:UPI00016C516C, UniRef:UniRef100_UPI00016C516C, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
contig_1	534889	535311	-	JKOCPB_00523	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
contig_1	563844	565331	-	JKOCPB_00552	59.1	5.7		RefSeq:WP_002661247.1, SO:0001217, UniParc:UPI00016C3C19, UniRef:UniRef100_UPI00016C3C19, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
contig_1	644421	644789	+	JKOCPB_00621	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
contig_1	662244	662558	-	JKOCPB_00636	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
contig_1	689825	690121	+	JKOCPB_00656	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
