#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	144204	144392	-	PCFIDF_00140	7.3	9.3		SO:0001217, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
contig_1	157462	157896	+	PCFIDF_00151	16.9	10.1		RefSeq:WP_002556754.1, SO:0001217, UniParc:UPI00016B2B02, UniRef:UniRef100_A0A0H3C1D3, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
contig_1	272304	273317	-	PCFIDF_00258	39.1	4.3		RefSeq:WP_002657018.1, SO:0001217, UniParc:UPI00016B3360, UniRef:UniRef100_UPI00016B3360, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
contig_1	368127	368552	+	PCFIDF_00353	16.5	9.8		SO:0001217, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
contig_1	416372	416788	+	PCFIDF_00399	16.3	10.4		RefSeq:WP_002556999.1, SO:0001217, UniParc:UPI000005747C, UniRef:UniRef100_O51365, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
contig_1	534853	535275	-	PCFIDF_00522	16.5	10.2		RefSeq:WP_002657113.1, SO:0001217, UniParc:UPI00016B3076, UniRef:UniRef100_UPI00016B3076, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
contig_1	563796	565289	-	PCFIDF_00551	59.3	5.7		RefSeq:WP_002656753.1, SO:0001217, UniParc:UPI00016B2D98, UniRef:UniRef100_UPI00016B2D98, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
contig_1	644374	644742	+	PCFIDF_00620	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
contig_1	662205	662519	-	PCFIDF_00635	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
contig_1	689799	690095	+	PCFIDF_00655	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
contig_1	738735	739274	+	PCFIDF_00705	21.1	9.9		RefSeq:WP_002656268.1, SO:0001217, UniParc:UPI00000575A2, UniRef:UniRef100_O51644, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
contig_1	791901	793175	+	PCFIDF_00756	48.6	4.5		RefSeq:WP_002656749.1, SO:0001217, UniParc:UPI00016B2C50, UniRef:UniRef100_UPI00016B2C50, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
contig_1	814449	814883	-	PCFIDF_00780	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
contig_1	907770	907979	-	PCFIDF_00853	7.9	9.8		SO:0001217, UniRef:UniRef50_A0A0H3C428, UniRef:UniRef90_A0A0H3C428
contig_1	907972	908070	-	PCFIDF_00854	4.0	9.7		
contig_1	910045	910785	+	PCFIDF_00856	30.2	6.2		RefSeq:WP_233189320.1, SO:0001217, UniParc:UPI001E3170B3, UniRef:UniRef100_UPI001E3170B3, UniRef:UniRef50_UPI001E3170B3, UniRef:UniRef90_UPI001E3170B3
contig_1	910931	911119	-	PCFIDF_00857	7.4	9.6		RefSeq:WP_002656472.1, SO:0001217, UniParc:UPI00016B30A5, UniRef:UniRef100_UPI00016B30A5, UniRef:UniRef50_UPI00017F3722, UniRef:UniRef90_UPI00016B30A5
contig_2	25958	26212	-	PCFIDF_00885	9.4	5.6		
contig_3	7250	7342	-	PCFIDF_00895	3.5	8.9		
contig_5	26579	27145	-	PCFIDF_00984	21.8	8.8		RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
contig_8	10180	10653	+	PCFIDF_01084	19.0	9.2		RefSeq:WP_012621301.1, SO:0001217, UniParc:UPI00016B3CEA, UniRef:UniRef100_A0A9N7AWA4, UniRef:UniRef50_A0A7W9SK25, UniRef:UniRef90_Q9X3P1
contig_9	6231	6914	+	PCFIDF_01109	26.7	9.4		RefSeq:WP_012622432.1, SO:0001217, UniParc:UPI00016B27D7, UniRef:UniRef100_A0A9N7B4Y8, UniRef:UniRef50_C0R8X6, UniRef:UniRef90_A0A5J6WFZ6
contig_11	662	808	+	PCFIDF_01136	5.9	9.4		SO:0001217, UniRef:UniRef50_UPI001E5069D0
contig_11	2644	2850	-	PCFIDF_01138	8.0	7.7		RefSeq:WP_002660755.1, SO:0001217, UniParc:UPI00016B34C8, UniRef:UniRef100_A0A7U8EX71, UniRef:UniRef50_A0A7U8EX71, UniRef:UniRef90_A0A7U8EX71
contig_11	5646	5768	+	PCFIDF_01139	4.6	6.1		
contig_11	6232	6381	-	PCFIDF_01140	5.7	9.0		
contig_11	8443	8685	-	PCFIDF_01141	9.4	10.1		RefSeq:WP_052307598.1, SO:0001217, UniParc:UPI00016B2F38, UniRef:UniRef100_UPI00016B2F38, UniRef:UniRef50_UPI0018ED75EB, UniRef:UniRef90_UPI0018ED75EB
contig_11	23112	25229	-	PCFIDF_01155	67.8	5.3		
contig_12	420	551	+	PCFIDF_01157	5.2	10.0		SO:0001217, UniRef:UniRef50_UPI00017F3A61, UniRef:UniRef90_UPI00017F3A61
contig_12	14515	14634	+	PCFIDF_01168	4.4	4.6		SO:0001217, UniRef:UniRef50_A0A0H3C151, UniRef:UniRef90_A0A0H3C151
contig_13	2229	2405	-	PCFIDF_01178	6.9	9.6		RefSeq:WP_010257051.1, SO:0001217, UniParc:UPI00016B2F6F, UniRef:UniRef100_A0A7U4DJ52, UniRef:UniRef50_A0A7U4DJ52, UniRef:UniRef90_A0A7U4DJ52
contig_13	4964	5800	+	PCFIDF_01181	32.2	9.1	PF05714.15|PFam54_60	PFAM:PF05714.15, RefSeq:WP_012622389.1, SO:0001217, UniParc:UPI00016B2F6C, UniRef:UniRef100_A0A7U4DJ06, UniRef:UniRef90_Q66YX5
contig_13	19968	20888	-	PCFIDF_01192	37.6	10.9		
contig_13	24218	24457	-	PCFIDF_01196	8.8	9.7		RefSeq:WP_012615028.1, SO:0001217, UniParc:UPI00016B2DFC, UniRef:UniRef100_A0A7U3YBR9, UniRef:UniRef50_A0A7U3YBR9, UniRef:UniRef90_A0A7U3YBR9
contig_13	26674	26772	-	PCFIDF_01199	3.6	8.5		
contig_13	26979	27335	-	PCFIDF_01200	14.3	9.6		RefSeq:WP_012615033.1, SO:0001217, UniParc:UPI00017F4968, UniRef:UniRef100_A0A7U3YBP9, UniRef:UniRef50_Q44728, UniRef:UniRef90_A0A7U3YBP9
contig_13	28639	29403	-	PCFIDF_01203	29.8	9.9		RefSeq:WP_012622391.1, SO:0001217, UniParc:UPI00016B2F44, UniRef:UniRef100_A0A7U4DJ44, UniRef:UniRef50_O50757, UniRef:UniRef90_A0A0H3C5A6
contig_14	1977	2135	+	PCFIDF_01205	6.1	9.3		RefSeq:WP_199183298.1, SO:0001217, UniParc:UPI0018EBDAC6, UniRef:UniRef100_UPI0018EBDAC6, UniRef:UniRef50_G0AP55, UniRef:UniRef90_G0AP55
contig_14	4538	4636	+	PCFIDF_01208	4.0	9.7		
contig_14	4629	4916	+	PCFIDF_01209	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
contig_14	20060	20287	+	PCFIDF_01217	9.0	9.7		RefSeq:WP_233189281.1, SO:0001217, UniParc:UPI001E48DE6B, UniRef:UniRef100_UPI001E48DE6B, UniRef:UniRef50_A0A7X0DQW6, UniRef:UniRef90_UPI001E48DE6B
contig_14	25651	26004	-	PCFIDF_01222	14.1	9.3		RefSeq:WP_106007396.1, SO:0001217, UniParc:UPI000D03C6FE, UniRef:UniRef100_UPI000D03C6FE, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
contig_15	6296	6517	-	PCFIDF_01231	8.9	9.5		SO:0001217, UniParc:UPI00000568BF, UniRef:UniRef100_O50837, UniRef:UniRef50_O50837, UniRef:UniRef90_O50837
contig_15	6536	6730	-	PCFIDF_01232	7.4	10.3		RefSeq:WP_168455023.1, SO:0001217, UniParc:UPI00016B3A36, UniRef:UniRef100_UPI00016B3A36, UniRef:UniRef50_O50836, UniRef:UniRef90_O50836
contig_15	19587	19862	-	PCFIDF_01245	10.7	8.9		SO:0001217, UniRef:UniRef50_O50813, UniRef:UniRef90_O50813
contig_16	6619	6894	+	PCFIDF_01250	10.5	6.3		RefSeq:WP_012622534.1, SO:0001217, UniParc:UPI00016B2DC2, UniRef:UniRef100_A0A7U3YBH5, UniRef:UniRef50_A0A7U3YBH5, UniRef:UniRef90_A0A7U3YBH5
contig_16	11074	11280	-	PCFIDF_01255	8.4	9.6		
contig_16	11310	11474	+	PCFIDF_01256	6.4	9.5		RefSeq:WP_012622541.1, SO:0001217, UniParc:UPI00016B2DBB, UniRef:UniRef100_UPI00016B2DBB, UniRef:UniRef50_G0AP55, UniRef:UniRef90_UPI00016B2DBB
contig_16	12799	12933	-	PCFIDF_01260	5.5	8.0		
contig_16	13534	13686	-	PCFIDF_01261	5.8	9.7		SO:0001217, UniRef:UniRef50_UPI000518A4E0, UniRef:UniRef50_UPI000854F44B, UniRef:UniRef90_UPI001E5D53A5
contig_16	29876	30112	-	PCFIDF_01276	9.1	8.0		SO:0001217, UniRef:UniRef50_UPI0021504E40, UniRef:UniRef90_UPI0021ABFA59
contig_17	19495	20892	-	PCFIDF_01299	52.8	6.5		RefSeq:WP_012622802.1, SO:0001217, UniParc:UPI000005692B, UniRef:UniRef100_A0A7U4DJ15, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
contig_17	35092	35685	-	PCFIDF_01318	22.7	9.1		RefSeq:WP_010258362.1, SO:0001217, UniParc:UPI00016B33CF, UniRef:UniRef100_A0A0H3C267, UniRef:UniRef50_O50923, UniRef:UniRef90_O50923
contig_17	38529	38687	-	PCFIDF_01322	6.1	10.2		RefSeq:WP_012666186.1, SO:0001217, UniParc:UPI00016B38CC, UniRef:UniRef100_UPI00016B38CC, UniRef:UniRef50_C0RC30, UniRef:UniRef90_A0A9N7G314
