# Annotated with Bakta
# Software: v1.10.0
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	112	675	+	JFIHAH_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51035
contig_1	cds	794	1822	-	JFIHAH_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000D02C7E8
contig_1	cds	1810	3279	-	JFIHAH_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000D025573
contig_1	cds	3425	5218	+	JFIHAH_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003125A08
contig_1	cds	5281	6336	-	JFIHAH_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F3654
contig_1	cds	6339	7427	-	JFIHAH_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51039
contig_1	cds	7488	8345	-	JFIHAH_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B38B9
contig_1	cds	8457	9227	+	JFIHAH_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51041
contig_1	cds	9232	10236	+	JFIHAH_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A17
contig_1	cds	10233	10607	+	JFIHAH_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51043
contig_1	cds	10611	11450	+	JFIHAH_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51044
contig_1	cds	11451	12191	+	JFIHAH_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A18
contig_1	cds	12184	12783	+	JFIHAH_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A19
contig_1	cds	12776	14758	+	JFIHAH_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A1A
contig_1	cds	14755	15375	-	JFIHAH_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q5W608
contig_1	cds	15375	15752	-	JFIHAH_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q5W610
contig_1	cds	16025	16834	+	JFIHAH_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51049
contig_1	cds	16837	17817	-	JFIHAH_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A1B
contig_1	cds	17822	18334	-	JFIHAH_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B376F
contig_1	cds	18342	20009	-	JFIHAH_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70826
contig_1	cds	20140	20622	-	JFIHAH_00021	-	-	-	-	-	-
contig_1	cds	20629	20955	-	JFIHAH_00022	178.0	1.4e-56	0.880	1.0	0.958	UniRef:UniRef90_A0A7U8EZ11
contig_1	cds	20930	21973	-	JFIHAH_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70828
contig_1	cds	22018	22611	-	JFIHAH_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8I676
contig_1	cds	22691	23830	+	JFIHAH_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A1C
contig_1	cds	23837	24568	-	JFIHAH_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51056
contig_1	cds	24569	25495	-	JFIHAH_00027	586.0	3.0e-211	1.0	1.0	0.990	UniRef:UniRef90_O51057
contig_1	cds	25625	26263	+	JFIHAH_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51058
contig_1	cds	26271	27320	+	JFIHAH_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A1E
contig_1	cds	27306	27737	-	JFIHAH_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F495C
contig_1	cds	27727	28362	-	JFIHAH_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A1F
contig_1	cds	28364	29344	-	JFIHAH_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51062
contig_1	cds	29415	30887	+	JFIHAH_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A20
contig_1	cds	30893	31351	+	JFIHAH_00034	275.0	2.7e-93	0.987	1.0	0.967	UniRef:UniRef90_O51064
contig_1	cds	31422	31961	-	JFIHAH_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7BSC0
contig_1	cds	32029	33909	-	JFIHAH_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51066
contig_1	cds	33909	35708	-	JFIHAH_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A21
contig_1	cds	35729	36481	-	JFIHAH_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360E
contig_1	cds	36478	37995	-	JFIHAH_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A22
contig_1	cds	38008	39510	-	JFIHAH_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F3447
contig_1	cds	39698	40549	+	JFIHAH_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F3448
contig_1	cds	40633	41304	-	JFIHAH_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51071
contig_1	cds	41315	42355	-	JFIHAH_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016C4878
contig_1	cds	42352	42753	-	JFIHAH_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51073
contig_1	cds	42779	45226	-	JFIHAH_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F3449
contig_1	cds	45318	45863	+	JFIHAH_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7J0Y4
contig_1	cds	45883	46251	-	JFIHAH_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F344A
contig_1	tRNA	46402	46473	+	JFIHAH_00048	56.0	-	-	-	-	-
contig_1	cds	47039	47713	+	JFIHAH_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A31
contig_1	cds	47777	48478	+	JFIHAH_00051	427.0	1.2e-150	1.0	1.0	0.991	UniRef:UniRef90_O51080
contig_1	cds	48475	49131	-	JFIHAH_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A33
contig_1	cds	49213	49884	+	JFIHAH_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51082
contig_1	cds	49984	50346	-	JFIHAH_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51083
contig_1	cds	50362	51123	-	JFIHAH_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q59182
contig_1	cds	51125	52306	-	JFIHAH_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q59181
contig_1	cds	52326	53333	-	JFIHAH_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P46795
contig_1	cds	53406	55376	-	JFIHAH_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F3506
contig_1	cds	55373	56152	-	JFIHAH_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8EZS0
contig_1	cds	56153	56620	-	JFIHAH_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A34
contig_1	cds	56704	57057	-	JFIHAH_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q000U1
contig_1	cds	57131	57847	+	JFIHAH_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A35
contig_1	cds	57901	58908	-	JFIHAH_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8F0I1
contig_1	cds	58972	59910	-	JFIHAH_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34B5
contig_1	cds	59907	60404	-	JFIHAH_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A36
contig_1	cds	60439	61128	-	JFIHAH_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A37
contig_1	cds	61125	62903	-	JFIHAH_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A38
contig_1	cds	63018	63899	+	JFIHAH_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8I7J7
contig_1	cds	63909	65147	+	JFIHAH_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F35A2
contig_1	cds	65162	65623	+	JFIHAH_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51097
contig_1	cds	65639	67111	+	JFIHAH_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002D90F0B
contig_1	cds	67119	69440	+	JFIHAH_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A39
contig_1	cds	69437	69997	+	JFIHAH_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51100
contig_1	cds	70242	71090	+	JFIHAH_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3C4C6
contig_1	cds	71072	72481	+	JFIHAH_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001F23A3B
contig_1	cds	72518	73363	+	JFIHAH_00076	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8EYA6
contig_1	cds	73360	74388	+	JFIHAH_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F350F
contig_1	cds	74389	75642	+	JFIHAH_00078	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q84BW8
contig_1	cds	75644	76324	+	JFIHAH_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51107
contig_1	cds	76321	77571	+	JFIHAH_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51108
contig_1	cds	77581	78873	-	JFIHAH_00081	768.0	3.4e-279	0.998	0.993	0.937	UniRef:UniRef90_O51109
contig_1	cds	78866	79216	-	JFIHAH_00082	219.0	2.0e-72	1.0	0.983	0.966	UniRef:UniRef90_O51110
