Assembly	UWI283P
# misassemblies	20
  # contig misassemblies	20
    # c. relocations	2
    # c. translocations	18
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	8
Misassembled contigs length	240737
# local misassemblies	8
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	10431
# indels	616
    # indels (<= 5 bp)	538
    # indels (> 5 bp)	78
Indels length	2521
