contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
contig_1 [gcode=11] [topology=linear]	UCT96H	900898	NE_5261_chromosome_ParA_2	chromosome	NE_5261	900898	380	100.0	0.12176739209100254	1097	365	[(1, 366)]	[(368895, 369992)]	[(1, 366)]		False
contig_10 [gcode=11] [topology=linear]	UCT96H	29968	L32_B31_cp32-8_ParA_X	cp32-8	L32	29968	246	100.0	2.459289909236519	737	245	[(1, 246)]	[(19060, 19797)]	[(1, 246)]		False
contig_11 [gcode=11] [topology=linear]	UCT96H	29818	RS06245_ZS7_ZS7_lp28-2_ParA_X	lp28-2	RS06245	29818	255	100.0	2.5622107451874707	764	254	[(1, 255)]	[(5903, 6667)]	[(1, 255)]		False
contig_12 [gcode=11] [topology=linear]	UCT96H	29547	O32_B31_cp32-7_ParA_X	cp32-7	O32	29547	249	100.0	2.524791010931736	746	248	[(1, 249)]	[(18780, 19526)]	[(1, 249)]		False
contig_13 [gcode=11] [topology=linear]	UCT96H	28984	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	28984	250	99.2	2.5841843775876345	749	249	[(1, 250)]	[(15661, 16410)]	[(1, 250)]		False
contig_14 [gcode=11] [topology=linear]	UCT96H	27034	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	27034	252	99.60317460317461	2.792779462898572	755	251	[(1, 252)]	[(14773, 15528)]	[(1, 252)]		False
contig_15 [gcode=11] [topology=linear]	UCT96H	26525	NE_5261_cp26_ParA_1	cp26	NE_5261	26525	253	100.0	2.8576814326107445	758	252	[(1, 253)]	[(5808, 6566)]	[(1, 253)]		False
contig_16 [gcode=11] [topology=linear]	UCT96H	22594	RS05390_N40_N40_lp28-5_ParA_X	lp28-5	RS05390	22594	245	100.0	3.2486500840931223	734	244	[(1, 245)]	[(9756, 10490)]	[(1, 245)]		False
contig_17 [gcode=11] [topology=linear]	UCT96H	22413	N32_B31_cp32-9_ParA_X	cp32-9	N32	22413	251	100.0	3.3150403783518496	743	247	[(1, 248)]	[(21651, 22394)]	[(1, 248)]		False
contig_18 [gcode=11] [topology=linear]	UCT96H	20525	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	20525	246	100.0	7.064555420219245	1450	241	[(1, 242)]	[(52, 777), (6452, 7177)]	[(1, 242), (1, 242)]	lp17*	True
contig_19 [gcode=11] [topology=linear]	UCT96H	16881	H28_B31_lp28-3_ParA_X	lp28-3	H28	16881	251	100.0	4.454712398554588	752	250	[(1, 251)]	[(7682, 8434)]	[(1, 251)]		False
contig_2 [gcode=11] [topology=linear]	UCT96H	53553	A20_B31_lp54_ParA_X	lp54	A20	53553	250	100.0	1.3986144567064402	749	249	[(1, 250)]	[(13536, 14285)]	[(1, 250)]		False
contig_20 [gcode=11] [topology=linear]	UCT96H	12133				12133										False
contig_21 [gcode=11] [topology=linear]	UCT96H	10686	F24_B31_lp28-1_ParA_X	lp28-1	F24	10686	254	100.0	7.121467340445442	761	253	[(1, 254)]	[(3711, 4472)]	[(1, 254)]		False
contig_22 [gcode=11] [topology=linear]	UCT96H	7250				7250										False
contig_23 [gcode=11] [topology=linear]	UCT96H	3852				3852										False
contig_24 [gcode=11] [topology=linear]	UCT96H	2354				2354										False
contig_25 [gcode=11] [topology=linear]	UCT96H	742				742										False
contig_26 [gcode=11] [topology=linear]	UCT96H	643				643										False
contig_27 [gcode=11] [topology=linear]	UCT96H	448				448										False
contig_28 [gcode=11] [topology=linear]	UCT96H	445				445										False
contig_29 [gcode=11] [topology=linear]	UCT96H	336				336										False
contig_3 [gcode=11] [topology=linear]	UCT96H	44256	J17_B31_lp38_ParA_X	lp38	J17	44256	245	100.0	1.658532176428055	734	244	[(1, 245)]	[(11307, 12041)]	[(1, 245)]		False
contig_30 [gcode=11] [topology=linear]	UCT96H	248				248										False
contig_31 [gcode=11] [topology=linear]	UCT96H	225				225										False
contig_32 [gcode=11] [topology=linear]	UCT96H	164				164										False
contig_33 [gcode=11] [topology=linear]	UCT96H	140				140										False
contig_34 [gcode=11] [topology=linear]	UCT96H	133				133										False
contig_35 [gcode=11] [topology=linear]	UCT96H	104				104										False
contig_4 [gcode=11] [topology=linear]	UCT96H	35443	K21_B31_lp36_ParA_X	lp36	K21	35443	249	100.0	2.0540022007166434	728	242	[(1, 243)]	[(13709, 14437)]	[(1, 243)]		False
contig_5 [gcode=11] [topology=linear]	UCT96H	30892	P32_B31_cp32-1_ParA_X	cp32-1	P32	30892	246	100.0	2.3857309335750356	737	245	[(1, 246)]	[(20161, 20898)]	[(1, 246)]		False
contig_6 [gcode=11] [topology=linear]	UCT96H	30747	M32_B31_cp32-6_ParA_X	cp32-6	M32	30747	249	100.0	2.4262529677692135	746	248	[(1, 249)]	[(19715, 20461)]	[(1, 249)]		False
contig_7 [gcode=11] [topology=linear]	UCT96H	30738	RS00880_JD1_JD1_cp32-11_ParA_X	cp32-11	RS00880	30738	252	100.0	2.456243086733034	755	251	[(1, 252)]	[(20663, 21418)]	[(1, 252)]		False
contig_8 [gcode=11] [topology=linear]	UCT96H	30375	RS01165_B31_NRZ_p_cp32-4_ParA_X	cp32-4	RS01165	30375	251	100.0	2.4757201646090534	752	250	[(1, 251)]	[(20485, 21237)]	[(1, 251)]		False
contig_9 [gcode=11] [topology=linear]	UCT96H	30177	S35_B31_cp32-3_ParA_X	cp32-3	S35	30177	246	100.0	2.442257348311628	737	245	[(1, 246)]	[(25522, 26259)]	[(1, 246)]		False
