contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
NZ_CP161904.1 Borreliella burgdorferi strain PFhe_I chromosome, complete genome	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	910259	NE_5261_chromosome_ParA_2	chromosome	NE_5261	910259	380	100.0	0.12051515008365751	1097	365	[(1, 366)]	[(540650, 541747)]	[(1, 366)]		False
NZ_CP161905.1 Borreliella burgdorferi strain PFhe_I plasmid cp26, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	26504	NE_5261_cp26_ParA_1	cp26	NE_5261	26504	253	100.0	2.859945668578328	758	252	[(1, 253)]	[(9275, 10033)]	[(1, 253)]		False
NZ_CP161906.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-5, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	30705	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	30705	257	100.0	2.5077348965966455	770	256	[(1, 257)]	[(11022, 11792)]	[(1, 257)]		False
NZ_CP161907.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-7, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	31008	O32_B31_cp32-7_ParA_X	cp32-7	O32	31008	249	100.0	2.405830753353973	746	248	[(1, 249)]	[(20909, 21655)]	[(1, 249)]		False
NZ_CP161908.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-10, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	47043	RS01095_ZS7_ZS7_cp32-3+10_ParA_X	cp32-3+10	RS01095	47043	251	100.0	1.5985375082371447	752	250	[(1, 251)]	[(19428, 20180)]	[(1, 251)]	cp32-3+10:::cp32-6	True
NZ_CP161909.1 Borreliella burgdorferi strain PFhe_I plasmid cp32-12, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	30708	RS00580_ZS7_ZS7_cp32-12_ParA_X	cp32-12	RS00580	30708	260	100.0	2.5367982284746646	779	259	[(1, 260)]	[(21349, 22128)]	[(1, 260)]		False
NZ_CP161910.1 Borreliella burgdorferi strain PFhe_I plasmid lp17, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	17357	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	17357	246	99.58677685950413	4.17698911102149	725	241	[(1, 242)]	[(13797, 14522)]	[(1, 242)]		False
NZ_CP161911.1 Borreliella burgdorferi strain PFhe_I plasmid lp25, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	24466	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	24466	252	100.0	3.085915147551704	755	251	[(1, 252)]	[(12186, 12941)]	[(1, 252)]		False
NZ_CP161912.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-2, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	29969	RS06245_ZS7_ZS7_lp28-2_ParA_X	lp28-2	RS06245	29969	255	100.0	2.5493009443091195	764	254	[(1, 255)]	[(6040, 6804)]	[(1, 255)]		False
NZ_CP161913.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-3	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	30430	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	30430	251	98.80478087649402	4.942490962865593	1504	250	[(1, 251)]	[(3687, 4439), (19226, 19978)]	[(1, 251), (1, 251)]	lp28-3*	True
NZ_CP161914.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-4, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	28903	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	28903	250	100.0	2.5914264955194963	749	249	[(1, 250)]	[(13479, 14228)]	[(1, 250)]		False
NZ_CP161915.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-7	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	15158	RS06620_JD1_JD1_lp28-7_ParA_X	lp28-7	RS06620	15158	253	96.04743083003953	5.00065971764085	758	252	[(1, 253)]	[(10946, 11704)]	[(1, 253)]		False
NZ_CP161916.1 Borreliella burgdorferi strain PFhe_I plasmid lp28-9, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	28224	RS05395_Bol26_Bol26_lp28-9_ParA_X	lp28-9	RS05395	28224	254	100.0	2.696286848072562	761	253	[(1, 254)]	[(3461, 4222)]	[(1, 254)]		False
NZ_CP161917.1 Borreliella burgdorferi strain PFhe_I plasmid lp36, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	36994	K21_B31_lp36_ParA_X	lp36	K21	36994	249	99.58847736625515	1.9678866843271883	728	242	[(1, 243)]	[(13645, 14373)]	[(1, 243)]		False
NZ_CP161918.1 Borreliella burgdorferi strain PFhe_I plasmid lp54, complete sequence	GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	53783	A20_B31_lp54_ParA_X	lp54	A20	53783	250	100.0	1.392633359983638	749	249	[(1, 250)]	[(13575, 14324)]	[(1, 250)]		False
