contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
contig_1 [gcode=11] [topology=linear]	ESI361H	909934	B379_chromosome_ParA_2	chromosome	B379	909934	380	99.72677595628416	0.12055819433057782	1097	365	[(1, 366)]	[(368494, 369591)]	[(1, 366)]		False
contig_10 [gcode=11] [topology=linear]	ESI361H	3866	O32_B31_cp32-7_ParA_X	cp32-7	O32	3866	249	100.0	19.296430419037765	746	248	[(1, 249)]	[(2193, 2939)]	[(1, 249)]		False
contig_11 [gcode=11] [topology=linear]	ESI361H	3395				3395										False
contig_2 [gcode=11] [topology=linear]	ESI361H	56559	RS01335_MM1_plsm_lp36_ParA_X	lp36	RS01335	56559	249	100.0	1.287151470146219	728	242	[(1, 243)]	[(16492, 17220)]	[(1, 243)]	lp36:::lp28-4	True
contig_3 [gcode=11] [topology=linear]	ESI361H	52615	A20_B31_lp54_ParA_X	lp54	A20	52615	250	100.0	1.4235484177515918	749	249	[(1, 250)]	[(38314, 39063)]	[(1, 250)]		False
contig_4 [gcode=11] [topology=linear]	ESI361H	29589	Q40_B31_lp56_ParA_X	lp56	Q40	29589	251	99.60159362549801	2.541485011321775	752	250	[(1, 251)]	[(27230, 27982)]	[(1, 251)]		False
contig_5 [gcode=11] [topology=linear]	ESI361H	28638	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	28638	257	100.0	2.688735246874782	770	256	[(1, 257)]	[(24316, 25086)]	[(1, 257)]		False
contig_6 [gcode=11] [topology=linear]	ESI361H	28079	RS00880_JD1_JD1_cp32-11_ParA_X	cp32-11	RS00880	28079	252	99.57805907172997	2.5285800776380927	710	236	[(16, 252)]	[(7015, 7725)]	[(16, 252)]		False
contig_7 [gcode=11] [topology=linear]	ESI361H	26516	MM1_cp26_ParA_1	cp26	MM1	26516	253	100.0	2.8586513802986877	758	252	[(1, 253)]	[(94, 852)]	[(1, 253)]		False
contig_8 [gcode=11] [topology=linear]	ESI361H	24840	RS00670_JD1_JD1_lp25_ParA_X	lp25	RS00670	24840	252	99.60317460317461	3.0394524959742353	755	251	[(1, 252)]	[(11790, 12545)]	[(1, 252)]		False
contig_9 [gcode=11] [topology=linear]	ESI361H	18047	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	18047	246	100.0	4.017288191943259	725	241	[(1, 242)]	[(2768, 3493)]	[(1, 242)]		False
