contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
contig_1 [gcode=11] [topology=linear]	XYZ459H	903233	RS00395_29805_29805_lp54_ParA_X	lp54	RS00395	903233	380	99.72527472527473	0.12078832372156466	1091	363	[(1, 364)]	[(368762, 369853)]	[(1, 364)]		False
contig_10 [gcode=11] [topology=linear]	XYZ459H	26537	RS05220_29805_29805_cp26_ParA_X	cp26	RS05220	26537	253	99.60474308300395	2.8563891924482796	758	252	[(1, 253)]	[(6688, 7446)]	[(1, 253)]		False
contig_11 [gcode=11] [topology=linear]	XYZ459H	23858	RS05540_29805_29805_lp25_ParA_X	lp25	RS05540	23858	252	100.0	3.1645569620253164	755	251	[(1, 252)]	[(11468, 12223)]	[(1, 252)]		False
contig_12 [gcode=11] [topology=linear]	XYZ459H	16977	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	16977	246	100.0	4.270483595452671	725	241	[(1, 242)]	[(13456, 14181)]	[(1, 242)]		False
contig_13 [gcode=11] [topology=linear]	XYZ459H	13528	S35_B31_cp32-3_ParA_X	cp32-3	S35	13528	246	100.0	5.4479597871082195	737	245	[(1, 246)]	[(6326, 7063)]	[(1, 246)]		False
contig_14 [gcode=11] [topology=linear]	XYZ459H	12936	RS06545_29805_29805_cp32-7_ParA_X	cp32-7	RS06545	12936	249	100.0	5.766852195423624	746	248	[(1, 249)]	[(4, 750)]	[(1, 249)]		False
contig_15 [gcode=11] [topology=linear]	XYZ459H	11792	RS05205_B331_B331_cp32_4_ParA_X	cp32-4	RS05205	11792	251	100.0	6.377204884667571	752	250	[(1, 251)]	[(4187, 4939)]	[(1, 251)]		False
contig_16 [gcode=11] [topology=linear]	XYZ459H	9944	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	9944	257	100.0	7.7433628318584065	770	256	[(1, 257)]	[(2112, 2882)]	[(1, 257)]		False
contig_17 [gcode=11] [topology=linear]	XYZ459H	7932				7932										False
contig_18 [gcode=11] [topology=linear]	XYZ459H	1180				1180										False
contig_19 [gcode=11] [topology=linear]	XYZ459H	1162				1162										False
contig_2 [gcode=11] [topology=linear]	XYZ459H	32754	RS06330_29805_29805_lp36_ParA_X	lp36	RS06330	32754	249	100.0	2.277584417170422	746	248	[(1, 249)]	[(14825, 15571)]	[(1, 249)]		False
contig_20 [gcode=11] [topology=linear]	XYZ459H	1106				1106										False
contig_21 [gcode=11] [topology=linear]	XYZ459H	878				878										False
contig_22 [gcode=11] [topology=linear]	XYZ459H	733				733										False
contig_23 [gcode=11] [topology=linear]	XYZ459H	440				440										False
contig_24 [gcode=11] [topology=linear]	XYZ459H	231				231										False
contig_3 [gcode=11] [topology=linear]	XYZ459H	30559	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	30559	251	100.0	2.4608135082954288	752	250	[(1, 251)]	[(21215, 21967)]	[(1, 251)]		False
contig_4 [gcode=11] [topology=linear]	XYZ459H	30542				30542										False
contig_5 [gcode=11] [topology=linear]	XYZ459H	30073	RS01730_MM1_plsm_cp32-9_ParA_X	cp32-9	RS01730	30073	251	100.0	2.4706547401323444	743	247	[(1, 248)]	[(862, 1605)]	[(1, 248)]		False
contig_6 [gcode=11] [topology=linear]	XYZ459H	29839	RS05185_N40_N40_lp28-2_ParA_X	lp28-2	RS05185	29839	255	100.0	2.560407520359261	764	254	[(1, 255)]	[(23086, 23850)]	[(1, 255)]		False
contig_7 [gcode=11] [topology=linear]	XYZ459H	29476	I21_B31_lp28-4_ParA_X	lp28-4	I21	29476	250	100.0	2.5410503460442393	749	249	[(1, 250)]	[(14038, 14787)]	[(1, 250)]		False
contig_8 [gcode=11] [topology=linear]	XYZ459H	28681	A20_B31_lp54_ParA_X	lp54	A20	28681	250	100.0	2.6114849551968202	749	249	[(1, 250)]	[(14294, 15043)]	[(1, 250)]		False
contig_9 [gcode=11] [topology=linear]	XYZ459H	27704	RS06035_N40_N40_cp32-12_ParA_X	cp32-12	RS06035	27704	260	100.0	2.811868322263933	779	259	[(1, 260)]	[(17631, 18410)]	[(1, 260)]		False
