contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
contig_1 [gcode=11] [topology=linear]	UNY193P	910086	B379_chromosome_ParA_2	chromosome	B379	910086	380	99.72677595628416	0.12053805904057419	1097	365	[(1, 366)]	[(368724, 369821)]	[(1, 366)]		False
contig_10 [gcode=11] [topology=linear]	UNY193P	24809	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	24809	252	99.60317460317461	3.043250433310492	755	251	[(1, 252)]	[(11839, 12594)]	[(1, 252)]		False
contig_11 [gcode=11] [topology=linear]	UNY193P	28850	H28_B31_lp28-3_ParA_X	lp28-3	H28	28850	251	100.0	2.6065857885615253	752	250	[(1, 251)]	[(18012, 18764)]	[(1, 251)]		False
contig_12 [gcode=11] [topology=linear]	UNY193P	30714	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	30714	250	99.6	2.4386273360682424	749	249	[(1, 250)]	[(15268, 16017)]	[(1, 250)]		False
contig_13 [gcode=11] [topology=linear]	UNY193P	26719	RS06425_B331_B331_lp28_6_ParA_X	lp28-6	RS06425	26719	251	100.0	2.814476589692728	752	250	[(1, 251)]	[(2966, 3718)]	[(1, 251)]		False
contig_14 [gcode=11] [topology=linear]	UNY193P	30066	RS06620_JD1_JD1_lp28-7_ParA_X	lp28-7	RS06620	30066	253	100.0	2.5211202022217787	758	252	[(1, 253)]	[(23541, 24299)]	[(1, 253)]		False
contig_15 [gcode=11] [topology=linear]	UNY193P	30148	RS05185_N40_N40_lp28-2_ParA_X	lp28-2	RS05185	30148	255	94.50980392156862	2.5341647870505506	764	254	[(1, 255)]	[(15034, 15798)]	[(1, 255)]		False
contig_16 [gcode=11] [topology=linear]	UNY193P	34344	K21_B31_lp36_ParA_X	lp36	K21	34344	249	100.0	2.1197297926857672	728	242	[(1, 243)]	[(11020, 11748)]	[(1, 243)]		False
contig_17 [gcode=11] [topology=linear]	UNY193P	27790	RS07790_JD1_JD1_lp38_ParA_X	lp38	RS07790	27790	245	100.0	2.6412378553436486	734	244	[(1, 245)]	[(4760, 5494)]	[(1, 245)]		False
contig_18 [gcode=11] [topology=linear]	UNY193P	54004	A20_B31_lp54_ParA_X	lp54	A20	54004	250	100.0	1.3869343011628767	749	249	[(1, 250)]	[(39689, 40438)]	[(1, 250)]		False
contig_19 [gcode=11] [topology=linear]	UNY193P	5255				5255										False
contig_2 [gcode=11] [topology=linear]	UNY193P	26511	94a_cp26_ParA_1	cp26	94a	26511	253	100.0	2.8591905246878655	758	252	[(1, 253)]	[(2751, 3509)]	[(1, 253)]		False
contig_3 [gcode=11] [topology=linear]	UNY193P	30274	RS06010_72a_72a_cp32-10_ParA_X	cp32-10	RS06010	30274	251	100.0	2.483979652507102	752	250	[(1, 251)]	[(151, 903)]	[(1, 251)]		False
contig_4 [gcode=11] [topology=linear]	UNY193P	27704	RS06035_N40_N40_cp32-12_ParA_X	cp32-12	RS06035	27704	260	100.0	2.811868322263933	779	259	[(1, 260)]	[(17045, 17824)]	[(1, 260)]		False
contig_5 [gcode=11] [topology=linear]	UNY193P	30779	RS04795_72a_72a_cp32-13_ParA_X	cp32-13	RS04795	30779	254	100.0	2.472464992364924	761	253	[(1, 254)]	[(22511, 23272)]	[(1, 254)]		False
contig_6 [gcode=11] [topology=linear]	UNY193P	30692	RS01520_MM1_plsm_cp32-6_ParA_X	cp32-6	RS01520	30692	249	99.19678714859438	2.4306008080281507	746	248	[(1, 249)]	[(22541, 23287)]	[(1, 249)]		False
contig_7 [gcode=11] [topology=linear]	UNY193P	27416	O32_B31_cp32-7_ParA_X	cp32-7	O32	27416	249	100.0	2.7210388094543334	746	248	[(1, 249)]	[(25366, 26112)]	[(1, 249)]		False
contig_8 [gcode=11] [topology=linear]	UNY193P	9394				9394										False
contig_9 [gcode=11] [topology=linear]	UNY193P	18328	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	18328	246	100.0	3.9556962025316458	725	241	[(1, 242)]	[(2832, 3557)]	[(1, 242)]		False
