contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
contig_1 [gcode=11] [topology=linear]	URI36H	927732	B500_chromosome_ParA_2	chromosome	B500	927732	380	100.0	0.11759861684193279	1091	363	[(1, 364)]	[(557705, 558796)]	[(1, 364)]		False
contig_10 [gcode=11] [topology=linear]	URI36H	27351	RS06425_B331_B331_lp28_6_ParA_X	lp28-6	RS06425	27351	251	100.0	2.7494424335490475	752	250	[(1, 251)]	[(3620, 4372)]	[(1, 251)]		False
contig_11 [gcode=11] [topology=linear]	URI36H	27047	RS07175_B331_B331_lp56_ParA_X	lp56	RS07175	27047	253	100.0	2.7581617184900358	746	248	[(5, 253)]	[(23711, 24457)]	[(5, 253)]		False
contig_12 [gcode=11] [topology=linear]	URI36H	26648	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	26648	250	100.0	2.8107175022515762	749	249	[(1, 250)]	[(11671, 12420)]	[(1, 250)]		False
contig_13 [gcode=11] [topology=linear]	URI36H	26506	WI91-23_cp26_ParA_1	cp26	WI91-23	26506	253	100.0	2.859729872481702	758	252	[(1, 253)]	[(20041, 20799)]	[(1, 253)]		False
contig_14 [gcode=11] [topology=linear]	URI36H	24799	RS01335_MM1_plsm_lp36_ParA_X	lp36	RS01335	24799	249	100.0	2.935602242025888	728	242	[(1, 243)]	[(13803, 14531)]	[(1, 243)]		False
contig_15 [gcode=11] [topology=linear]	URI36H	24712	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	24712	252	100.0	3.055195856264163	755	251	[(1, 252)]	[(12058, 12813)]	[(1, 252)]		False
contig_16 [gcode=11] [topology=linear]	URI36H	23172	H28_B31_lp28-3_ParA_X	lp28-3	H28	23172	251	100.0	3.2452960469532193	752	250	[(1, 251)]	[(13986, 14738)]	[(1, 251)]		False
contig_17 [gcode=11] [topology=linear]	URI36H	22119	U05_B31_lp21_ParA_X	lp21	U05	22119	262	100.0	3.5489850354898502	785	261	[(1, 262)]	[(19528, 20313)]	[(1, 262)]		False
contig_18 [gcode=11] [topology=linear]	URI36H	18340	B500_cp32-5_ParA_1	cp32-5	B500	18340	257	100.0	4.198473282442748	770	256	[(1, 257)]	[(6853, 7623)]	[(1, 257)]		False
contig_19 [gcode=11] [topology=linear]	URI36H	16394	RS06670_WI91-23_WI91-23_lp28-1_ParA_X	lp28-1	RS06670	16394	254	100.0	4.641942173966084	761	253	[(1, 254)]	[(4100, 4861)]	[(1, 254)]		False
contig_2 [gcode=11] [topology=linear]	URI36H	53765	A20_B31_lp54_ParA_X	lp54	A20	53765	250	100.0	1.3930996001115967	749	249	[(1, 250)]	[(39442, 40191)]	[(1, 250)]		False
