contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
contig_1 [gcode=11] [topology=linear]	UWI247P	912339	B379_chromosome_ParA_2	chromosome	B379	912339	380	100.0	0.12024039309949482	1097	365	[(1, 366)]	[(368556, 369653)]	[(1, 366)]		False
contig_10 [gcode=11] [topology=linear]	UWI247P	24962	RS00670_JD1_JD1_lp25_ParA_X	lp25	RS00670	24962	252	100.0	3.024597388029805	755	251	[(1, 252)]	[(12372, 13127)]	[(1, 252)]		False
contig_11 [gcode=11] [topology=linear]	UWI247P	27011	RS00365_JD1_JD1_lp28-1_ParA_X	lp28-1	RS00365	27011	254	100.0	2.8173707008255895	761	253	[(1, 254)]	[(9774, 10535)]	[(1, 254)]		False
contig_12 [gcode=11] [topology=linear]	UWI247P	28598	H28_B31_lp28-3_ParA_X	lp28-3	H28	28598	251	100.0	2.6295545143016996	752	250	[(1, 251)]	[(9912, 10664)]	[(1, 251)]		False
contig_13 [gcode=11] [topology=linear]	UWI247P	29588	I21_B31_lp28-4_ParA_X	lp28-4	I21	29588	250	100.0	2.5314316614843855	749	249	[(1, 250)]	[(14696, 15445)]	[(1, 250)]		False
contig_14 [gcode=11] [topology=linear]	UWI247P	26785	RS06415_JD1_JD1_lp28-5_ParA_X	lp28-5	RS06415	26785	250	100.0	2.7963412357662873	749	249	[(1, 250)]	[(18674, 19423)]	[(1, 250)]		False
contig_15 [gcode=11] [topology=linear]	UWI247P	23693	K21_B31_lp36_ParA_X	lp36	K21	23693	249	100.0	3.072637487865614	728	242	[(1, 243)]	[(11906, 12634)]	[(1, 243)]		False
contig_16 [gcode=11] [topology=linear]	UWI247P	30325	RS07790_JD1_JD1_lp38_ParA_X	lp38	RS07790	30325	245	100.0	2.420445177246496	734	244	[(1, 245)]	[(24850, 25584)]	[(1, 245)]		False
contig_17 [gcode=11] [topology=linear]	UWI247P	53845	A20_B31_lp54_ParA_X	lp54	A20	53845	250	100.0	1.3910298077815952	749	249	[(1, 250)]	[(39531, 40280)]	[(1, 250)]		False
contig_2 [gcode=11] [topology=linear]	UWI247P	26521	JD1_cp26_ParA_1	cp26	JD1	26521	253	100.0	2.8581124391991253	758	252	[(1, 253)]	[(4583, 5341)]	[(1, 253)]		False
contig_3 [gcode=11] [topology=linear]	UWI247P	14882				14882										False
contig_4 [gcode=11] [topology=linear]	UWI247P	30439	RS00880_JD1_JD1_cp32-11_ParA_X	cp32-11	RS00880	30439	252	100.0	2.4803705772200138	755	251	[(1, 252)]	[(18431, 19186)]	[(1, 252)]		False
contig_5 [gcode=11] [topology=linear]	UWI247P	30140	S35_B31_cp32-3_ParA_X	cp32-3	S35	30140	246	100.0	2.4452554744525545	737	245	[(1, 246)]	[(3174, 3911)]	[(1, 246)]		False
contig_6 [gcode=11] [topology=linear]	UWI247P	30301	B379_cp32-2_ParA_1	cp32-2	B379	30301	251	100.0	2.481766278340649	752	250	[(1, 251)]	[(8416, 9168)]	[(1, 251)]		False
contig_7 [gcode=11] [topology=linear]	UWI247P	30657	M32_B31_cp32-6_ParA_X	cp32-6	M32	30657	249	99.59839357429718	2.433375738004371	746	248	[(1, 249)]	[(6596, 7342)]	[(1, 249)]		False
contig_8 [gcode=11] [topology=linear]	UWI247P	21331	O32_B31_cp32-7_ParA_X	cp32-7	O32	21331	249	100.0	3.497257512540434	746	248	[(1, 249)]	[(3628, 4374)]	[(1, 249)]		False
contig_9 [gcode=11] [topology=linear]	UWI247P	17869	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	17869	246	100.0	4.057305948849963	725	241	[(1, 242)]	[(14310, 15035)]	[(1, 242)]		False
