contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	concat_call	multiple_loci
NZ_CP019844.1 Borreliella burgdorferi strain PAli chromosome, complete genome	GCF_002151465.1_ASM215146v1_genomic	909921	NE_5261_chromosome_ParA_2	chromosome	NE_5261	909921	380	100.0	0.12055991674002468	1097	365	[(1, 366)]	[(368075, 369172)]	[(1, 366)]		False
NZ_CP019845.1 Borreliella burgdorferi isolate yes plasmid cp26, complete sequence	GCF_002151465.1_ASM215146v1_genomic	26498	NE_5261_cp26_ParA_1	cp26	NE_5261	26498	253	100.0	2.86059325232093	758	252	[(1, 253)]	[(9275, 10033)]	[(1, 253)]		False
NZ_CP019846.1 Borreliella burgdorferi isolate yes plasmid cp32-1, complete sequence	GCF_002151465.1_ASM215146v1_genomic	30726	P32_B31_cp32-1_ParA_X	cp32-1	P32	30726	246	100.0	2.3986200611859663	737	245	[(1, 246)]	[(20742, 21479)]	[(1, 246)]		False
NZ_CP019847.1 Borreliella burgdorferi isolate yes plasmid cp32-3, complete sequence	GCF_002151465.1_ASM215146v1_genomic	30418	S35_B31_cp32-3_ParA_X	cp32-3	S35	30418	246	100.0	2.4229074889867843	737	245	[(1, 246)]	[(21257, 21994)]	[(1, 246)]		False
NZ_CP019848.1 Borreliella burgdorferi isolate yes plasmid cp32-4, complete sequence	GCF_002151465.1_ASM215146v1_genomic	30299	RS01165_B31_NRZ_p_cp32-4_ParA_X	cp32-4	RS01165	30299	251	100.0	2.4819300967028615	752	250	[(1, 251)]	[(20609, 21361)]	[(1, 251)]		False
NZ_CP019849.1 Borreliella burgdorferi isolate yes plasmid cp32-5, complete sequence	GCF_002151465.1_ASM215146v1_genomic	30674	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	30674	257	100.0	2.5102692834322227	770	256	[(1, 257)]	[(20761, 21531)]	[(1, 257)]		False
NZ_CP019850.1 Borreliella burgdorferi isolate yes plasmid cp32-9, complete sequence	GCF_002151465.1_ASM215146v1_genomic	30580	N32_B31_cp32-9_ParA_X	cp32-9	N32	30580	251	100.0	2.4296926095487246	743	247	[(1, 248)]	[(20746, 21489)]	[(1, 248)]		False
NZ_CP019851.1 Borreliella burgdorferi isolate yes plasmid lp17, complete sequence	GCF_002151465.1_ASM215146v1_genomic	16820	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	16820	246	100.0	4.310344827586207	725	241	[(1, 242)]	[(2757, 3482)]	[(1, 242)]		False
NZ_CP019852.1 Borreliella burgdorferi isolate yes plasmid lp36, complete sequence	GCF_002151465.1_ASM215146v1_genomic	36714	K21_B31_lp36_ParA_X	lp36	K21	36714	249	100.0	1.9828948085199107	728	242	[(1, 243)]	[(13466, 14194)]	[(1, 243)]		False
NZ_CP019853.1 Borreliella burgdorferi isolate yes plasmid lp38, complete sequence	GCF_002151465.1_ASM215146v1_genomic	38841	J17_B31_lp38_ParA_X	lp38	J17	38841	245	100.0	1.8897556705543113	734	244	[(1, 245)]	[(11169, 11903)]	[(1, 245)]		False
NZ_CP019854.1 Borreliella burgdorferi isolate yes plasmid lp54, complete sequence	GCF_002151465.1_ASM215146v1_genomic	53650	A20_B31_lp54_ParA_X	lp54	A20	53650	250	100.0	1.3960857409133272	749	249	[(1, 250)]	[(13555, 14304)]	[(1, 250)]		False
NZ_CP019855.1 Borreliella burgdorferi isolate yes plasmid lp56, complete sequence	GCF_002151465.1_ASM215146v1_genomic	52971	Q40_B31_lp56_ParA_X	lp56	Q40	52971	251	100.0	1.419644711257103	752	250	[(1, 251)]	[(24518, 25270)]	[(1, 251)]		False
