# Annotated with Bakta
# Software: v1.10.0
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
CFHKPG_00001	cds	1	564	+	DGBGBC_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51035
CFHKPG_00002	cds	1	1029	+	DGBGBC_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O54536
CFHKPG_00003	cds	1	1467	+	DGBGBC_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F46ED
CFHKPG_00004	cds	1	1794	+	DGBGBC_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51037
CFHKPG_00005	cds	16	1056	+	DGBGBC_00005	659.0	1.6e-238	0.997	0.980	0.971	UniRef:UniRef90_O51038
CFHKPG_00006	cds	1	1089	+	DGBGBC_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51039
CFHKPG_00007	cds	1	858	+	DGBGBC_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51040
CFHKPG_00008	cds	1	771	+	DGBGBC_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51041
CFHKPG_00009	cds	91	1005	+	DGBGBC_00009	576.0	6.1e-207	1.0	0.910	1.0	UniRef:UniRef90_O51042
CFHKPG_00010	cds	1	375	+	DGBGBC_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51043
CFHKPG_00011	cds	1	840	+	DGBGBC_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51044
CFHKPG_00012	cds	1	741	+	DGBGBC_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70830
CFHKPG_00013	cds	1	600	+	DGBGBC_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51046
CFHKPG_00014	cds	1	1983	+	DGBGBC_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q45032
CFHKPG_00015	cds	1	621	+	DGBGBC_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q59190
CFHKPG_00016	cds	1	378	+	DGBGBC_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q5W610
CFHKPG_00017	cds	1	810	+	DGBGBC_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51049
CFHKPG_00018	cds	1	981	+	DGBGBC_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70870
CFHKPG_00019	cds	1	513	+	DGBGBC_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51051
CFHKPG_00020	cds	1	1668	+	DGBGBC_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3C4C8
CFHKPG_00021	cds	1	432	+	DGBGBC_00021	149.0	8.7e-44	0.958	0.979	0.555	UniRef:UniRef90_A0A940B393
CFHKPG_00023	cds	1	1044	+	DGBGBC_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70828
CFHKPG_00024	cds	1	594	+	DGBGBC_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70827
CFHKPG_00025	cds	1	1140	+	DGBGBC_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51055
CFHKPG_00026	cds	1	732	+	DGBGBC_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51056
CFHKPG_00027	cds	1	927	+	DGBGBC_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51057
CFHKPG_00028	cds	1	639	+	DGBGBC_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51058
CFHKPG_00029	cds	1	1050	+	DGBGBC_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51059
CFHKPG_00030	cds	1	432	+	DGBGBC_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51060
CFHKPG_00031	cds	1	636	+	DGBGBC_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51061
CFHKPG_00032	cds	1	981	+	DGBGBC_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51062
CFHKPG_00033	cds	1	1473	+	DGBGBC_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003845F87
CFHKPG_00034	cds	1	453	+	DGBGBC_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51064
CFHKPG_00035	cds	1	540	+	DGBGBC_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7BSC0
CFHKPG_00036	cds	1	1881	+	DGBGBC_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51066
CFHKPG_00037	cds	1	1800	+	DGBGBC_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q59189
CFHKPG_00038	cds	58	753	+	DGBGBC_00037	348.0	1.4e-119	0.848	0.800	0.908	UniRef:UniRef90_UPI001AEE3B67
