Assembly	GCF_000181715.2_ASM18171v2_genomic
# misassemblies	16
  # contig misassemblies	16
    # c. relocations	2
    # c. translocations	13
    # c. inversions	1
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	6
Misassembled contigs length	167894
# local misassemblies	9
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	2
# mismatches	9300
# indels	502
    # indels (<= 5 bp)	454
    # indels (> 5 bp)	48
Indels length	1842
