Assembly	UNY193P
# misassemblies	10
  # contig misassemblies	10
    # c. relocations	2
    # c. translocations	8
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	6
Misassembled contigs length	182795
# local misassemblies	9
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	2
# mismatches	9343
# indels	568
    # indels (<= 5 bp)	524
    # indels (> 5 bp)	44
Indels length	1989
