	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	Pfam_ACC	Pfam	COG20_PATHWAY_ACC	COG20_PATHWAY	KEGG_BRITE_ACC	KEGG_BRITE	KEGG_Module_ACC	KEGG_Module	KOfam_ACC	KOfam	KEGG_Class_ACC	KEGG_Class	COG20_CATEGORY_ACC	COG20_CAT_ACC	COG20_CATEGORY	COG20_FUNCTION_ACC	COG20_FUNCTION
GC_00000001	87	1119	23	0	0.706910535	0.70833576	0.70762243	PF02890.19	Borrelia_family_of_unknown_function_DUF226	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000002	87	779	15	0	0.743916821	0.709734991	0.726424023	PF02989.19	Lyme_disease_proteins_of_unknown_function	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000003	87	743	14	0	0.940164189	0.743740826	0.830496357	PF03112.19	Uncharacterized_protein_family_(ORF7)_DUF	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000004	87	695	15	0	0.985265916	0.69982617	0.818370555	PF06381.16	Anti-CBASS_protein_Acb1-like	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	S	S	Function_unknown	COG3567	Uncharacterized_conserved_protein,_DUF1073_domain
GC_00000005	87	688	27	0	0.981525243	0.701326772	0.818099185	PF03237.20	Terminase_large_subunit,_T4likevirus-type,_N-terminal	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09192_Unclassified:_genetic_information_processing>>>99976_Replication_and_repair	ND	ND	K06909	phage_terminase_large_subunit	ND	ND	X	X	Mobilome:_prophages,_transposons	COG1783	Phage_terminase_large_subunit_(XtmB)_(PDB:4IDH)
GC_00000006	87	651	12	0	0.665870302	0.70213837	0.683523574	PF03304.18	Mlp_lipoprotein_family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000007	87	631	13	0	0.7970314	0.702907374	0.747016156	PF02524.19	KID_repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000008	87	623	12	0	0.914184566	0.743459812	0.820030514	PF04645.17	Protein_of_unknown_function,_DUF603	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000009	87	608	15	0	0.975081078	0.758111188	0.853015432	PF07094.16	Protein_of_unknown_function_(DUF1357)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000010	87	601	11	0	0.978220299	0.947576934	0.962654817	PF03196.18	Protein_of_unknown_function,_DUF261	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000011	87	593	11	0	0.968621622	0.73428044	0.835326854	PF05289.16	Borrelia_hemolysin_accessory_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000012	87	581	14	0	0.973136359	0.932465245	0.952366782	PF02999.19	Borrelia_orf-D_family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000013	87	579	12	0	0.977020446	0.826865034	0.895693272		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000014	87	570	12	0	0.967475945	0.836436338	0.897196659	PF03434.18	DUF276_	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000015	87	563	11	0	0.977296273	0.975840711	0.976567949	PF05289.16	Borrelia_hemolysin_accessory_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000016	87	559	16	0	0.943017893	0.809395728	0.871112442	PF02989.19	Lyme_disease_proteins_of_unknown_function	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000017	87	557	11	0	0.989617341	0.948841331	0.968800469	PF05102.17	holin,_BlyA_family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000018	87	551	16	0	0.961032341	0.706388889	0.814266432	PF05619.16	Borrelia_burgdorferi_protein_of_unknown_function_(DUF787)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000019	87	548	12	0	0.963819032	0.875148891	0.917346242	PF05246.16	Protein_of_unknown_function_(DUF735)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000020	87	548	12	0	0.906652438	0.725350564	0.805930941	PF05606.16	Borrelia_burgdorferi_protein_of_unknown_function_(DUF777)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000021	87	546	18	0	0.964851499	0.885756225	0.92361359	PF13029.11	Domain_of_unknown_function_(DUF3890)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
