Group,Nodes,Surface Lipos,p-values,osp,mlp,erp,dbp,vls,Genes
4,27,10,0.0001599808207750578,1,1,1,0,0,"['group_986', 'group_1302', 'group_1303', 'group_1304', 'tM2', 'group_1098', 'group_314', 'group_817', 'group_7', 'group_610', 'group_1030', 'group_639', 'erpY~~~erpL', 'mlpG', 'erpM~~~erpC', 'group_213', 'group_638', 'ospC', 'group_705', 'group_810', 'mlpI~~~mlpG', 'group_206', 'group_647', 'group_173', 'group_936', 'group_246', 'group_397']"
16,73,14,0.012205952438525349,1,0,1,1,0,"['group_468', 'group_582', 'group_688', 'group_5', 'group_230', 'erpA~~~ospE~~~erpC', 'group_1042', 'group_1160', 'group_1111', 'group_600', 'group_545', 'cdsA~~~cdsC', 'group_680', 'group_1090', 'group_601', 'group_1112', 'group_1249', 'group_1255', 'group_1250', 'group_1251', 'group_1253', 'group_1254', 'group_1262', 'group_1258', 'group_1256', 'group_1257', 'group_1259', 'group_1260', 'group_1247', 'group_1248', 'group_1246', 'group_1245', 'dbpB', 'group_1244', 'ospA', 'group_1243', 'group_1242', 'group_1241', 'group_1264', 'group_1263', 'group_1275', 'group_1265', 'group_1283', 'group_1266', 'group_1299', 'group_1298', 'group_1297', 'group_1296', 'group_1295', 'group_1294', 'group_1293', 'group_1292', 'group_1291', 'group_1289', 'group_1288', 'group_1287', 'group_1285', 'group_1282', 'group_1276', 'group_1267', 'group_1269', 'group_1270', 'group_1272', 'group_1273', 'group_1274', 'group_1277', 'dbpA', 'group_1278', 'group_1279', 'group_1280', 'group_1281', 'group_1006', 'group_1031']"
15,20,5,0.0452309566869273,0,0,1,0,0,"['group_985', 'group_675', 'group_768', 'group_228', 'group_467', 'group_718', 'erpK', 'erpH', 'group_745', 'group_244', 'group_548', 'group_1039', 'group_495', 'group_695', 'group_475', 'group_123', 'group_594', 'revA', 'group_296', 'group_252']"
6,22,5,0.06516101857082306,0,1,0,0,0,"['group_469', 'group_1218', 'group_1221', 'group_263', 'group_591', 'group_984', 'group_809', 'group_288', 'group_723', 'mlpJ', 'group_1284', 'group_1040', 'group_460', 'group_367', 'group_1037', 'group_445', 'group_90', 'group_280', 'group_156', 'group_819', 'group_750', 'group_708']"
30,23,5,0.07670827663945898,0,0,1,0,0,"['group_227', 'erpP', 'group_1316', 'group_141', 'tsaC', 'group_150', 'group_390', 'group_1055', 'group_1062', 'group_642', 'group_613', 'group_346', 'erpH~~~erpA~~~erpC', 'group_1059', 'group_990', 'group_113', 'group_498', 'group_1171', 'group_1034', 'group_820', 'group_300', 'group_779', 'group_1056']"
10,46,8,0.08822151393125852,0,0,0,0,0,"['group_930', 'group_574', 'group_877', 'group_897', 'group_938', 'group_981', 'group_1146', 'group_983', 'group_204', 'group_1319', 'tnpB', 'group_793', 'group_720', 'group_749', 'group_27', 'group_669', 'group_92', 'group_158', 'group_1038', 'group_523', 'group_607', 'group_700', 'group_826', 'group_1102', 'group_1026', 'group_1028', 'group_433', 'group_370', 'group_685', 'group_332', 'group_132', 'group_276', 'group_759', 'group_765', 'group_726', 'bdrO', 'group_855', 'group_115', 'group_1169', 'group_496', 'group_1050', 'group_581', 'cspZ', 'group_420', 'group_512', 'group_998']"
34,2,1,0.19400555776101625,0,0,0,0,0,"['group_631', 'group_811']"
7,45,6,0.3080559955106836,0,1,0,0,0,"['group_1310', 'group_350', 'group_535', 'group_432', 'group_703', 'group_729', 'group_730', 'group_738', 'group_742', 'group_383', 'bdrM', 'group_411', 'bppC', 'group_781', 'group_49', 'group_51', 'group_120', 'group_137', 'group_140', 'group_363', 'group_235', 'mtnN', 'group_847', 'group_481', 'group_1185', 'group_1184', 'group_1165', 'group_956', 'group_645', 'group_863', 'group_279', 'mlpA', 'group_236', 'group_520', 'group_320', 'group_655', 'group_632', 'group_573', 'group_459', 'group_575', 'group_596', 'group_289', 'group_443', 'group_96', 'group_1052']"
21,146,17,0.31384084804707624,1,1,1,0,0,"['group_1088', 'group_1307', 'aph3Ia', 'group_1309', 'group_1308', 'group_1306', 'aac3Ia', 'group_962', 'group_746', 'cdsE', 'group_1182', 'erpC', 'group_687', 'group_778', 'group_551', 'erpA', 'group_454', 'group_44', 'group_239', 'group_126', 'group_52', 'group_48', 'group_957', 'group_969', 'group_868', 'group_706', 'group_942', 'group_758', 'group_477', 'group_1148', 'bdrR', 'group_883', 'group_59', 'group_125', 'group_128', 'group_159', 'mlpC', 'group_351', 'group_641', 'erpQ', 'group_955', 'group_160', 'group_691', 'group_841', 'group_967', 'group_335', 'group_740', 'group_201', 'group_916', 'group_311', 'group_1210', 'group_1209', 'group_1213', 'group_1207', 'group_1206', 'group_1205', 'group_1212', 'group_1208', 'group_1214', 'group_1226', 'group_1215', 'group_1239', 'group_1237', 'group_1232', 'group_1230', 'group_1227', 'group_1231', 'ospD', 'group_1225', 'group_1224', 'group_1223', 'group_1222', 'lolC', 'group_1219', 'group_344', 'group_1094', 'group_32', 'group_318', 'group_1144', 'group_595', 'group_378', 'erpY', 'group_529', 'group_483', 'group_458', 'group_10', 'group_875', 'group_887', 'group_1175', 'group_1168', 'group_977', 'group_963', 'group_954', 'group_947', 'group_945', 'group_928', 'group_917', 'group_68', 'cdsC', 'group_1234', 'group_1290', 'group_562', 'group_1217', 'group_1228', 'group_808', 'group_1220', 'group_775', 'group_3', 'group_437', 'group_846', 'group_1167', 'group_1216', 'group_1233', 'group_109', 'group_377', 'group_991', 'group_207', 'yqaJ~~~bppA', 'group_232', 'group_97', 'group_716', 'group_569', 'group_1149', 'group_628', 'group_1017', 'group_658', 'group_827', 'group_494', 'group_1236', 'group_290', 'group_949', 'group_1076', 'group_1074', 'group_402', 'group_199', 'group_521', 'group_567', 'group_739', 'group_328', 'xtmB', 'group_281', 'group_277', 'group_422', 'group_566', 'group_996', 'group_275']"
31,15,2,0.46355423117582345,1,0,0,0,0,"['tnpB~~~insQ', 'group_1325', 'group_1326', 'group_202', 'group_1029', 'group_1027', 'group_531', 'ospB', 'group_590', 'group_267', 'pncA', 'group_304', 'group_464', 'group_497', 'group_598']"
