'NCBI_ID','Name'
'NC_001318.1','chromosome'
'NC_000957.1','lp5'
'NC_001904.1','cp9'
'NC_001849.2','lp17'
'NC_000955.2','lp21'
'NC_001850.1','lp25'
'NC_001903.1','cp26'
'NC_001851.2','lp28-1'
'NC_001852.1','lp28-2'
'NC_001853.1','lp28-3'
'NC_001854.1','lp28-4'
'NC_000948.1','cp32-1'
'NC_000949.1','cp32-3'
'NC_000950.1','cp32-4'
'NC_000951.1','cp32-6'
'NC_000952.1','cp32-7'
'NC_000953.1','cp32-8'
'NC_000954.1','cp32-9'
'NC_001855.1','lp36'
'NC_001856.1','lp38'
'NC_001857.2','lp54'
'NC_000956.1','lp56'
