Assembly	GCA_040790805.1_ASM4079080v1_genomic
# misassemblies	4
  # contig misassemblies	4
    # c. relocations	4
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	3
Misassembled contigs length	968626
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	629
# indels	161
    # indels (<= 5 bp)	134
    # indels (> 5 bp)	27
Indels length	1744
